count,lon,lat,area
342,153.2,-28.3,"POLYGON((153.2 -28.3,153.2 -28.2,153.3 -28.2,153.3 -28.3,153.2 -28.3))"
266,153.3,-28.3,"POLYGON((153.3 -28.3,153.3 -28.2,153.4 -28.2,153.4 -28.3,153.3 -28.3))"
31,153.4,-28.3,"POLYGON((153.4 -28.3,153.4 -28.2,153.5 -28.2,153.5 -28.3,153.4 -28.3))"
1,153.1,-28.2,"POLYGON((153.1 -28.2,153.1 -28.1,153.2 -28.1,153.2 -28.2,153.1 -28.2))"
584,153.2,-28.2,"POLYGON((153.2 -28.2,153.2 -28.1,153.3 -28.1,153.3 -28.2,153.2 -28.2))"
4469,153.3,-28.2,"POLYGON((153.3 -28.2,153.3 -28.1,153.4 -28.1,153.4 -28.2,153.3 -28.2))"
25695,153.4,-28.2,"POLYGON((153.4 -28.2,153.4 -28.1,153.5 -28.1,153.5 -28.2,153.4 -28.2))"
2373,153.5,-28.2,"POLYGON((153.5 -28.2,153.5 -28.1,153.6 -28.1,153.6 -28.2,153.5 -28.2))"
982,153.2,-28.1,"POLYGON((153.2 -28.1,153.2 -28.0,153.3 -28.0,153.3 -28.1,153.2 -28.1))"
32238,153.3,-28.1,"POLYGON((153.3 -28.1,153.3 -28.0,153.4 -28.0,153.4 -28.1,153.3 -28.1))"
39889,153.4,-28.1,"POLYGON((153.4 -28.1,153.4 -28.0,153.5 -28.0,153.5 -28.1,153.4 -28.1))"
4088,153.2,-28.0,"POLYGON((153.2 -28.0,153.2 -27.9,153.3 -27.9,153.3 -28.0,153.2 -28.0))"
51352,153.3,-28.0,"POLYGON((153.3 -28.0,153.3 -27.9,153.4 -27.9,153.4 -28.0,153.3 -28.0))"
16951,153.4,-28.0,"POLYGON((153.4 -28.0,153.4 -27.9,153.5 -27.9,153.5 -28.0,153.4 -28.0))"
176,153.1,-27.9,"POLYGON((153.1 -27.9,153.1 -27.8,153.2 -27.8,153.2 -27.9,153.1 -27.9))"
10199,153.2,-27.9,"POLYGON((153.2 -27.9,153.2 -27.8,153.3 -27.8,153.3 -27.9,153.2 -27.9))"
24887,153.3,-27.9,"POLYGON((153.3 -27.9,153.3 -27.8,153.4 -27.8,153.4 -27.9,153.3 -27.9))"
1449,153.4,-27.9,"POLYGON((153.4 -27.9,153.4 -27.8,153.5 -27.8,153.5 -27.9,153.4 -27.9))"
88,153.1,-27.8,"POLYGON((153.1 -27.8,153.1 -27.7,153.2 -27.7,153.2 -27.8,153.1 -27.8))"
7932,153.2,-27.8,"POLYGON((153.2 -27.8,153.2 -27.7,153.3 -27.7,153.3 -27.8,153.2 -27.8))"
1536,153.3,-27.8,"POLYGON((153.3 -27.8,153.3 -27.7,153.4 -27.7,153.4 -27.8,153.3 -27.8))"
41,153.4,-27.8,"POLYGON((153.4 -27.8,153.4 -27.7,153.5 -27.7,153.5 -27.8,153.4 -27.8))"
49,153.2,-27.7,"POLYGON((153.2 -27.7,153.2 -27.6,153.3 -27.6,153.3 -27.7,153.2 -27.7))"
