count,lon,lat,area
64,-36.6,-10.5,"POLYGON((-36.6 -10.5,-36.6 -10.4,-36.5 -10.4,-36.5 -10.5,-36.6 -10.5))"
2806,-36.5,-10.5,"POLYGON((-36.5 -10.5,-36.5 -10.4,-36.4 -10.4,-36.4 -10.5,-36.5 -10.5))"
76,-36.4,-10.5,"POLYGON((-36.4 -10.5,-36.4 -10.4,-36.3 -10.4,-36.3 -10.5,-36.4 -10.5))"
165,-36.6,-10.4,"POLYGON((-36.6 -10.4,-36.6 -10.3,-36.5 -10.3,-36.5 -10.4,-36.6 -10.4))"
1902,-36.5,-10.4,"POLYGON((-36.5 -10.4,-36.5 -10.3,-36.4 -10.3,-36.4 -10.4,-36.5 -10.4))"
547,-36.4,-10.4,"POLYGON((-36.4 -10.4,-36.4 -10.3,-36.3 -10.3,-36.3 -10.4,-36.4 -10.4))"
39,-36.9,-10.3,"POLYGON((-36.9 -10.3,-36.9 -10.2,-36.8 -10.2,-36.8 -10.3,-36.9 -10.3))"
347,-36.8,-10.3,"POLYGON((-36.8 -10.3,-36.8 -10.2,-36.7 -10.2,-36.7 -10.3,-36.8 -10.3))"
806,-36.7,-10.3,"POLYGON((-36.7 -10.3,-36.7 -10.2,-36.6 -10.2,-36.6 -10.3,-36.7 -10.3))"
17856,-36.6,-10.3,"POLYGON((-36.6 -10.3,-36.6 -10.2,-36.5 -10.2,-36.5 -10.3,-36.6 -10.3))"
52,-36.5,-10.3,"POLYGON((-36.5 -10.3,-36.5 -10.2,-36.4 -10.2,-36.4 -10.3,-36.5 -10.3))"
2172,-36.4,-10.3,"POLYGON((-36.4 -10.3,-36.4 -10.2,-36.3 -10.2,-36.3 -10.3,-36.4 -10.3))"
840,-36.3,-10.3,"POLYGON((-36.3 -10.3,-36.3 -10.2,-36.2 -10.2,-36.2 -10.3,-36.3 -10.3))"
319,-36.2,-10.3,"POLYGON((-36.2 -10.3,-36.2 -10.2,-36.1 -10.2,-36.1 -10.3,-36.2 -10.3))"
508,-37.0,-10.2,"POLYGON((-37.0 -10.2,-37.0 -10.1,-36.9 -10.1,-36.9 -10.2,-37.0 -10.2))"
4298,-36.9,-10.2,"POLYGON((-36.9 -10.2,-36.9 -10.1,-36.8 -10.1,-36.8 -10.2,-36.9 -10.2))"
806,-36.8,-10.2,"POLYGON((-36.8 -10.2,-36.8 -10.1,-36.7 -10.1,-36.7 -10.2,-36.8 -10.2))"
3267,-36.7,-10.2,"POLYGON((-36.7 -10.2,-36.7 -10.1,-36.6 -10.1,-36.6 -10.2,-36.7 -10.2))"
1334,-36.6,-10.2,"POLYGON((-36.6 -10.2,-36.6 -10.1,-36.5 -10.1,-36.5 -10.2,-36.6 -10.2))"
369,-36.5,-10.2,"POLYGON((-36.5 -10.2,-36.5 -10.1,-36.4 -10.1,-36.4 -10.2,-36.5 -10.2))"
3938,-36.4,-10.2,"POLYGON((-36.4 -10.2,-36.4 -10.1,-36.3 -10.1,-36.3 -10.2,-36.4 -10.2))"
564,-36.3,-10.2,"POLYGON((-36.3 -10.2,-36.3 -10.1,-36.2 -10.1,-36.2 -10.2,-36.3 -10.2))"
12031,-36.2,-10.2,"POLYGON((-36.2 -10.2,-36.2 -10.1,-36.1 -10.1,-36.1 -10.2,-36.2 -10.2))"
580,-37.0,-10.1,"POLYGON((-37.0 -10.1,-37.0 -10.0,-36.9 -10.0,-36.9 -10.1,-37.0 -10.1))"
1347,-36.9,-10.1,"POLYGON((-36.9 -10.1,-36.9 -10.0,-36.8 -10.0,-36.8 -10.1,-36.9 -10.1))"
1464,-36.8,-10.1,"POLYGON((-36.8 -10.1,-36.8 -10.0,-36.7 -10.0,-36.7 -10.1,-36.8 -10.1))"
1144,-36.7,-10.1,"POLYGON((-36.7 -10.1,-36.7 -10.0,-36.6 -10.0,-36.6 -10.1,-36.7 -10.1))"
1480,-36.6,-10.1,"POLYGON((-36.6 -10.1,-36.6 -10.0,-36.5 -10.0,-36.5 -10.1,-36.6 -10.1))"
994,-36.5,-10.1,"POLYGON((-36.5 -10.1,-36.5 -10.0,-36.4 -10.0,-36.4 -10.1,-36.5 -10.1))"
509,-36.4,-10.1,"POLYGON((-36.4 -10.1,-36.4 -10.0,-36.3 -10.0,-36.3 -10.1,-36.4 -10.1))"
82,-36.3,-10.1,"POLYGON((-36.3 -10.1,-36.3 -10.0,-36.2 -10.0,-36.2 -10.1,-36.3 -10.1))"
2483,-36.1,-10.1,"POLYGON((-36.1 -10.1,-36.1 -10.0,-36.0 -10.0,-36.0 -10.1,-36.1 -10.1))"
59,-37.2,-10.0,"POLYGON((-37.2 -10.0,-37.2 -9.9,-37.1 -9.9,-37.1 -10.0,-37.2 -10.0))"
1886,-37.1,-10.0,"POLYGON((-37.1 -10.0,-37.1 -9.9,-37.0 -9.9,-37.0 -10.0,-37.1 -10.0))"
1683,-37.0,-10.0,"POLYGON((-37.0 -10.0,-37.0 -9.9,-36.9 -9.9,-36.9 -10.0,-37.0 -10.0))"
1673,-36.9,-10.0,"POLYGON((-36.9 -10.0,-36.9 -9.9,-36.8 -9.9,-36.8 -10.0,-36.9 -10.0))"
2578,-36.8,-10.0,"POLYGON((-36.8 -10.0,-36.8 -9.9,-36.7 -9.9,-36.7 -10.0,-36.8 -10.0))"
2857,-36.7,-10.0,"POLYGON((-36.7 -10.0,-36.7 -9.9,-36.6 -9.9,-36.6 -10.0,-36.7 -10.0))"
7059,-36.6,-10.0,"POLYGON((-36.6 -10.0,-36.6 -9.9,-36.5 -9.9,-36.5 -10.0,-36.6 -10.0))"
3938,-36.5,-10.0,"POLYGON((-36.5 -10.0,-36.5 -9.9,-36.4 -9.9,-36.4 -10.0,-36.5 -10.0))"
11500,-36.4,-10.0,"POLYGON((-36.4 -10.0,-36.4 -9.9,-36.3 -9.9,-36.3 -10.0,-36.4 -10.0))"
202,-36.3,-10.0,"POLYGON((-36.3 -10.0,-36.3 -9.9,-36.2 -9.9,-36.2 -10.0,-36.3 -10.0))"
37,-36.2,-10.0,"POLYGON((-36.2 -10.0,-36.2 -9.9,-36.1 -9.9,-36.1 -10.0,-36.2 -10.0))"
625,-36.1,-10.0,"POLYGON((-36.1 -10.0,-36.1 -9.9,-36.0 -9.9,-36.0 -10.0,-36.1 -10.0))"
2,-36.0,-10.0,"POLYGON((-36.0 -10.0,-36.0 -9.9,-35.9 -9.9,-35.9 -10.0,-36.0 -10.0))"
272,-37.4,-9.9,"POLYGON((-37.4 -9.9,-37.4 -9.8,-37.3 -9.8,-37.3 -9.9,-37.4 -9.9))"
