count,lon,lat,area
8,-39.7,-18.4,"POLYGON((-39.7 -18.4,-39.7 -18.3,-39.6 -18.3,-39.6 -18.4,-39.7 -18.4))"
37,-39.8,-18.3,"POLYGON((-39.8 -18.3,-39.8 -18.2,-39.7 -18.2,-39.7 -18.3,-39.8 -18.3))"
337,-39.7,-18.3,"POLYGON((-39.7 -18.3,-39.7 -18.2,-39.6 -18.2,-39.6 -18.3,-39.7 -18.3))"
1,-40.1,-18.2,"POLYGON((-40.1 -18.2,-40.1 -18.1,-40.0 -18.1,-40.0 -18.2,-40.1 -18.2))"
20,-40.0,-18.2,"POLYGON((-40.0 -18.2,-40.0 -18.1,-39.9 -18.1,-39.9 -18.2,-40.0 -18.2))"
122,-39.9,-18.2,"POLYGON((-39.9 -18.2,-39.9 -18.1,-39.8 -18.1,-39.8 -18.2,-39.9 -18.2))"
117,-39.8,-18.2,"POLYGON((-39.8 -18.2,-39.8 -18.1,-39.7 -18.1,-39.7 -18.2,-39.8 -18.2))"
154,-39.7,-18.2,"POLYGON((-39.7 -18.2,-39.7 -18.1,-39.6 -18.1,-39.6 -18.2,-39.7 -18.2))"
25,-39.6,-18.2,"POLYGON((-39.6 -18.2,-39.6 -18.1,-39.5 -18.1,-39.5 -18.2,-39.6 -18.2))"
9,-40.2,-18.1,"POLYGON((-40.2 -18.1,-40.2 -18.0,-40.1 -18.0,-40.1 -18.1,-40.2 -18.1))"
62,-40.1,-18.1,"POLYGON((-40.1 -18.1,-40.1 -18.0,-40.0 -18.0,-40.0 -18.1,-40.1 -18.1))"
82,-40.0,-18.1,"POLYGON((-40.0 -18.1,-40.0 -18.0,-39.9 -18.0,-39.9 -18.1,-40.0 -18.1))"
5132,-39.9,-18.1,"POLYGON((-39.9 -18.1,-39.9 -18.0,-39.8 -18.0,-39.8 -18.1,-39.9 -18.1))"
379,-39.8,-18.1,"POLYGON((-39.8 -18.1,-39.8 -18.0,-39.7 -18.0,-39.7 -18.1,-39.8 -18.1))"
456,-39.7,-18.1,"POLYGON((-39.7 -18.1,-39.7 -18.0,-39.6 -18.0,-39.6 -18.1,-39.7 -18.1))"
5361,-39.6,-18.1,"POLYGON((-39.6 -18.1,-39.6 -18.0,-39.5 -18.0,-39.5 -18.1,-39.6 -18.1))"
1,-39.5,-18.1,"POLYGON((-39.5 -18.1,-39.5 -18.0,-39.4 -18.0,-39.4 -18.1,-39.5 -18.1))"
761,-40.3,-18.0,"POLYGON((-40.3 -18.0,-40.3 -17.9,-40.2 -17.9,-40.2 -18.0,-40.3 -18.0))"
91,-40.2,-18.0,"POLYGON((-40.2 -18.0,-40.2 -17.9,-40.1 -17.9,-40.1 -18.0,-40.2 -18.0))"
611,-40.1,-18.0,"POLYGON((-40.1 -18.0,-40.1 -17.9,-40.0 -17.9,-40.0 -18.0,-40.1 -18.0))"
