count,lon,lat,area
19,-51.0,-19.5,"POLYGON((-51.0 -19.5,-51.0 -19.4,-50.9 -19.4,-50.9 -19.5,-51.0 -19.5))"
6,-50.9,-19.5,"POLYGON((-50.9 -19.5,-50.9 -19.4,-50.8 -19.4,-50.8 -19.5,-50.9 -19.5))"
29,-51.1,-19.4,"POLYGON((-51.1 -19.4,-51.1 -19.3,-51.0 -19.3,-51.0 -19.4,-51.1 -19.4))"
50,-51.0,-19.4,"POLYGON((-51.0 -19.4,-51.0 -19.3,-50.9 -19.3,-50.9 -19.4,-51.0 -19.4))"
8,-50.9,-19.4,"POLYGON((-50.9 -19.4,-50.9 -19.3,-50.8 -19.3,-50.8 -19.4,-50.9 -19.4))"
6,-51.4,-19.3,"POLYGON((-51.4 -19.3,-51.4 -19.2,-51.3 -19.2,-51.3 -19.3,-51.4 -19.3))"
49,-51.3,-19.3,"POLYGON((-51.3 -19.3,-51.3 -19.2,-51.2 -19.2,-51.2 -19.3,-51.3 -19.3))"
102,-51.2,-19.3,"POLYGON((-51.2 -19.3,-51.2 -19.2,-51.1 -19.2,-51.1 -19.3,-51.2 -19.3))"
31,-51.1,-19.3,"POLYGON((-51.1 -19.3,-51.1 -19.2,-51.0 -19.2,-51.0 -19.3,-51.1 -19.3))"
51,-51.0,-19.3,"POLYGON((-51.0 -19.3,-51.0 -19.2,-50.9 -19.2,-50.9 -19.3,-51.0 -19.3))"
42,-50.9,-19.3,"POLYGON((-50.9 -19.3,-50.9 -19.2,-50.8 -19.2,-50.8 -19.3,-50.9 -19.3))"
20,-50.8,-19.3,"POLYGON((-50.8 -19.3,-50.8 -19.2,-50.7 -19.2,-50.7 -19.3,-50.8 -19.3))"
19,-51.8,-19.2,"POLYGON((-51.8 -19.2,-51.8 -19.1,-51.7 -19.1,-51.7 -19.2,-51.8 -19.2))"
20,-51.7,-19.2,"POLYGON((-51.7 -19.2,-51.7 -19.1,-51.6 -19.1,-51.6 -19.2,-51.7 -19.2))"
39,-51.6,-19.2,"POLYGON((-51.6 -19.2,-51.6 -19.1,-51.5 -19.1,-51.5 -19.2,-51.6 -19.2))"
320,-51.5,-19.2,"POLYGON((-51.5 -19.2,-51.5 -19.1,-51.4 -19.1,-51.4 -19.2,-51.5 -19.2))"
330,-51.4,-19.2,"POLYGON((-51.4 -19.2,-51.4 -19.1,-51.3 -19.1,-51.3 -19.2,-51.4 -19.2))"
28,-51.3,-19.2,"POLYGON((-51.3 -19.2,-51.3 -19.1,-51.2 -19.1,-51.2 -19.2,-51.3 -19.2))"
