count,lon,lat,area
2,-119.9,54.9,"POLYGON((-119.9 54.9,-119.9 55.0,-119.8 55.0,-119.8 54.9,-119.9 54.9))"
14,-119.8,54.9,"POLYGON((-119.8 54.9,-119.8 55.0,-119.7 55.0,-119.7 54.9,-119.8 54.9))"
19,-119.7,54.9,"POLYGON((-119.7 54.9,-119.7 55.0,-119.6 55.0,-119.6 54.9,-119.7 54.9))"
13,-119.6,54.9,"POLYGON((-119.6 54.9,-119.6 55.0,-119.5 55.0,-119.5 54.9,-119.6 54.9))"
10,-119.5,54.9,"POLYGON((-119.5 54.9,-119.5 55.0,-119.4 55.0,-119.4 54.9,-119.5 54.9))"
27,-119.9,55.0,"POLYGON((-119.9 55.0,-119.9 55.1,-119.8 55.1,-119.8 55.0,-119.9 55.0))"
46,-119.8,55.0,"POLYGON((-119.8 55.0,-119.8 55.1,-119.7 55.1,-119.7 55.0,-119.8 55.0))"
51,-119.7,55.0,"POLYGON((-119.7 55.0,-119.7 55.1,-119.6 55.1,-119.6 55.0,-119.7 55.0))"
49,-119.6,55.0,"POLYGON((-119.6 55.0,-119.6 55.1,-119.5 55.1,-119.5 55.0,-119.6 55.0))"
25,-119.5,55.0,"POLYGON((-119.5 55.0,-119.5 55.1,-119.4 55.1,-119.4 55.0,-119.5 55.0))"
25,-119.4,55.0,"POLYGON((-119.4 55.0,-119.4 55.1,-119.3 55.1,-119.3 55.0,-119.4 55.0))"
40,-119.3,55.0,"POLYGON((-119.3 55.0,-119.3 55.1,-119.2 55.1,-119.2 55.0,-119.3 55.0))"
26,-119.2,55.0,"POLYGON((-119.2 55.0,-119.2 55.1,-119.1 55.1,-119.1 55.0,-119.2 55.0))"
47,-119.1,55.0,"POLYGON((-119.1 55.0,-119.1 55.1,-119.0 55.1,-119.0 55.0,-119.1 55.0))"
127,-119.0,55.0,"POLYGON((-119.0 55.0,-119.0 55.1,-118.9 55.1,-118.9 55.0,-119.0 55.0))"
202,-118.9,55.0,"POLYGON((-118.9 55.0,-118.9 55.1,-118.8 55.1,-118.8 55.0,-118.9 55.0))"
75,-118.8,55.0,"POLYGON((-118.8 55.0,-118.8 55.1,-118.7 55.1,-118.7 55.0,-118.8 55.0))"
7,-118.7,55.0,"POLYGON((-118.7 55.0,-118.7 55.1,-118.6 55.1,-118.6 55.0,-118.7 55.0))"
15,-119.9,55.1,"POLYGON((-119.9 55.1,-119.9 55.2,-119.8 55.2,-119.8 55.1,-119.9 55.1))"
18,-119.8,55.1,"POLYGON((-119.8 55.1,-119.8 55.2,-119.7 55.2,-119.7 55.1,-119.8 55.1))"
38,-119.7,55.1,"POLYGON((-119.7 55.1,-119.7 55.2,-119.6 55.2,-119.6 55.1,-119.7 55.1))"
73,-119.6,55.1,"POLYGON((-119.6 55.1,-119.6 55.2,-119.5 55.2,-119.5 55.1,-119.6 55.1))"
99,-119.5,55.1,"POLYGON((-119.5 55.1,-119.5 55.2,-119.4 55.2,-119.4 55.1,-119.5 55.1))"
105,-119.4,55.1,"POLYGON((-119.4 55.1,-119.4 55.2,-119.3 55.2,-119.3 55.1,-119.4 55.1))"
147,-119.3,55.1,"POLYGON((-119.3 55.1,-119.3 55.2,-119.2 55.2,-119.2 55.1,-119.3 55.1))"
927,-119.2,55.1,"POLYGON((-119.2 55.1,-119.2 55.2,-119.1 55.2,-119.1 55.1,-119.2 55.1))"
246,-119.1,55.1,"POLYGON((-119.1 55.1,-119.1 55.2,-119.0 55.2,-119.0 55.1,-119.1 55.1))"
278,-119.0,55.1,"POLYGON((-119.0 55.1,-119.0 55.2,-118.9 55.2,-118.9 55.1,-119.0 55.1))"
607,-118.9,55.1,"POLYGON((-118.9 55.1,-118.9 55.2,-118.8 55.2,-118.8 55.1,-118.9 55.1))"
1257,-118.8,55.1,"POLYGON((-118.8 55.1,-118.8 55.2,-118.7 55.2,-118.7 55.1,-118.8 55.1))"
397,-118.7,55.1,"POLYGON((-118.7 55.1,-118.7 55.2,-118.6 55.2,-118.6 55.1,-118.7 55.1))"
49,-118.6,55.1,"POLYGON((-118.6 55.1,-118.6 55.2,-118.5 55.2,-118.5 55.1,-118.6 55.1))"
113,-118.5,55.1,"POLYGON((-118.5 55.1,-118.5 55.2,-118.4 55.2,-118.4 55.1,-118.5 55.1))"
43,-118.4,55.1,"POLYGON((-118.4 55.1,-118.4 55.2,-118.3 55.2,-118.3 55.1,-118.4 55.1))"
10,-118.3,55.1,"POLYGON((-118.3 55.1,-118.3 55.2,-118.2 55.2,-118.2 55.1,-118.3 55.1))"
7,-120.0,55.2,"POLYGON((-120.0 55.2,-120.0 55.3,-119.9 55.3,-119.9 55.2,-120.0 55.2))"
29,-119.9,55.2,"POLYGON((-119.9 55.2,-119.9 55.3,-119.8 55.3,-119.8 55.2,-119.9 55.2))"
68,-119.8,55.2,"POLYGON((-119.8 55.2,-119.8 55.3,-119.7 55.3,-119.7 55.2,-119.8 55.2))"
41,-119.7,55.2,"POLYGON((-119.7 55.2,-119.7 55.3,-119.6 55.3,-119.6 55.2,-119.7 55.2))"
112,-119.6,55.2,"POLYGON((-119.6 55.2,-119.6 55.3,-119.5 55.3,-119.5 55.2,-119.6 55.2))"
1115,-119.5,55.2,"POLYGON((-119.5 55.2,-119.5 55.3,-119.4 55.3,-119.4 55.2,-119.5 55.2))"
145,-119.4,55.2,"POLYGON((-119.4 55.2,-119.4 55.3,-119.3 55.3,-119.3 55.2,-119.4 55.2))"
173,-119.3,55.2,"POLYGON((-119.3 55.2,-119.3 55.3,-119.2 55.3,-119.2 55.2,-119.3 55.2))"
89,-119.2,55.2,"POLYGON((-119.2 55.2,-119.2 55.3,-119.1 55.3,-119.1 55.2,-119.2 55.2))"
