count,lon,lat,area
1,-120.9,49.0,"POLYGON((-120.9 49.0,-120.9 49.1,-120.8 49.1,-120.8 49.0,-120.9 49.0))"
15,-120.8,49.0,"POLYGON((-120.8 49.0,-120.8 49.1,-120.7 49.1,-120.7 49.0,-120.8 49.0))"
5,-120.7,49.0,"POLYGON((-120.7 49.0,-120.7 49.1,-120.6 49.1,-120.6 49.0,-120.7 49.0))"
2,-120.5,49.0,"POLYGON((-120.5 49.0,-120.5 49.1,-120.4 49.1,-120.4 49.0,-120.5 49.0))"
4,-120.4,49.0,"POLYGON((-120.4 49.0,-120.4 49.1,-120.3 49.1,-120.3 49.0,-120.4 49.0))"
2,-120.2,49.0,"POLYGON((-120.2 49.0,-120.2 49.1,-120.1 49.1,-120.1 49.0,-120.2 49.0))"
2,-120.0,49.0,"POLYGON((-120.0 49.0,-120.0 49.1,-119.9 49.1,-119.9 49.0,-120.0 49.0))"
129,-119.8,49.0,"POLYGON((-119.8 49.0,-119.8 49.1,-119.7 49.1,-119.7 49.0,-119.8 49.0))"
85,-119.7,49.0,"POLYGON((-119.7 49.0,-119.7 49.1,-119.6 49.1,-119.6 49.0,-119.7 49.0))"
461,-119.6,49.0,"POLYGON((-119.6 49.0,-119.6 49.1,-119.5 49.1,-119.5 49.0,-119.6 49.0))"
4871,-119.5,49.0,"POLYGON((-119.5 49.0,-119.5 49.1,-119.4 49.1,-119.4 49.0,-119.5 49.0))"
447,-119.4,49.0,"POLYGON((-119.4 49.0,-119.4 49.1,-119.3 49.1,-119.3 49.0,-119.4 49.0))"
2,-120.9,49.1,"POLYGON((-120.9 49.1,-120.9 49.2,-120.8 49.2,-120.8 49.1,-120.9 49.1))"
155,-120.7,49.1,"POLYGON((-120.7 49.1,-120.7 49.2,-120.6 49.2,-120.6 49.1,-120.7 49.1))"
82,-120.6,49.1,"POLYGON((-120.6 49.1,-120.6 49.2,-120.5 49.2,-120.5 49.1,-120.6 49.1))"
3,-120.3,49.1,"POLYGON((-120.3 49.1,-120.3 49.2,-120.2 49.2,-120.2 49.1,-120.3 49.1))"
25,-120.1,49.1,"POLYGON((-120.1 49.1,-120.1 49.2,-120.0 49.2,-120.0 49.1,-120.1 49.1))"
3,-120.0,49.1,"POLYGON((-120.0 49.1,-120.0 49.2,-119.9 49.2,-119.9 49.1,-120.0 49.1))"
97,-119.9,49.1,"POLYGON((-119.9 49.1,-119.9 49.2,-119.8 49.2,-119.8 49.1,-119.9 49.1))"
731,-119.8,49.1,"POLYGON((-119.8 49.1,-119.8 49.2,-119.7 49.2,-119.7 49.1,-119.8 49.1))"
123,-119.7,49.1,"POLYGON((-119.7 49.1,-119.7 49.2,-119.6 49.2,-119.6 49.1,-119.7 49.1))"
3830,-119.6,49.1,"POLYGON((-119.6 49.1,-119.6 49.2,-119.5 49.2,-119.5 49.1,-119.6 49.1))"
81,-119.5,49.1,"POLYGON((-119.5 49.1,-119.5 49.2,-119.4 49.2,-119.4 49.1,-119.5 49.1))"
