count,lon,lat,area
141,-79.9,43.0,"POLYGON((-79.9 43.0,-79.9 43.1,-79.8 43.1,-79.8 43.0,-79.9 43.0))"
175,-79.8,43.0,"POLYGON((-79.8 43.0,-79.8 43.1,-79.7 43.1,-79.7 43.0,-79.8 43.0))"
170,-80.2,43.1,"POLYGON((-80.2 43.1,-80.2 43.2,-80.1 43.2,-80.1 43.1,-80.2 43.1))"
757,-80.1,43.1,"POLYGON((-80.1 43.1,-80.1 43.2,-80.0 43.2,-80.0 43.1,-80.1 43.1))"
3605,-80.0,43.1,"POLYGON((-80.0 43.1,-80.0 43.2,-79.9 43.2,-79.9 43.1,-80.0 43.1))"
14613,-79.9,43.1,"POLYGON((-79.9 43.1,-79.9 43.2,-79.8 43.2,-79.8 43.1,-79.9 43.1))"
8020,-79.8,43.1,"POLYGON((-79.8 43.1,-79.8 43.2,-79.7 43.2,-79.7 43.1,-79.8 43.1))"
284,-79.7,43.1,"POLYGON((-79.7 43.1,-79.7 43.2,-79.6 43.2,-79.6 43.1,-79.7 43.1))"
94,-80.3,43.2,"POLYGON((-80.3 43.2,-80.3 43.3,-80.2 43.3,-80.2 43.2,-80.3 43.2))"
1008,-80.2,43.2,"POLYGON((-80.2 43.2,-80.2 43.3,-80.1 43.3,-80.1 43.2,-80.2 43.2))"
3155,-80.1,43.2,"POLYGON((-80.1 43.2,-80.1 43.3,-80.0 43.3,-80.0 43.2,-80.1 43.2))"
46680,-80.0,43.2,"POLYGON((-80.0 43.2,-80.0 43.3,-79.9 43.3,-79.9 43.2,-80.0 43.2))"
114898,-79.9,43.2,"POLYGON((-79.9 43.2,-79.9 43.3,-79.8 43.3,-79.8 43.2,-79.9 43.2))"
40698,-79.8,43.2,"POLYGON((-79.8 43.2,-79.8 43.3,-79.7 43.3,-79.7 43.2,-79.8 43.2))"
5805,-79.7,43.2,"POLYGON((-79.7 43.2,-79.7 43.3,-79.6 43.3,-79.6 43.2,-79.7 43.2))"
379,-80.3,43.3,"POLYGON((-80.3 43.3,-80.3 43.4,-80.2 43.4,-80.2 43.3,-80.3 43.3))"
571,-80.2,43.3,"POLYGON((-80.2 43.3,-80.2 43.4,-80.1 43.4,-80.1 43.3,-80.2 43.3))"
1759,-80.1,43.3,"POLYGON((-80.1 43.3,-80.1 43.4,-80.0 43.4,-80.0 43.3,-80.1 43.3))"
6517,-80.0,43.3,"POLYGON((-80.0 43.3,-80.0 43.4,-79.9 43.4,-79.9 43.3,-80.0 43.3))"
5457,-79.9,43.3,"POLYGON((-79.9 43.3,-79.9 43.4,-79.8 43.4,-79.8 43.3,-79.9 43.3))"
42,-80.2,43.4,"POLYGON((-80.2 43.4,-80.2 43.5,-80.1 43.5,-80.1 43.4,-80.2 43.4))"
891,-80.1,43.4,"POLYGON((-80.1 43.4,-80.1 43.5,-80.0 43.5,-80.0 43.4,-80.1 43.4))"
457,-80.0,43.4,"POLYGON((-80.0 43.4,-80.0 43.5,-79.9 43.5,-79.9 43.4,-80.0 43.4))"
