count,lon,lat,area
1096,-79.9,43.2,"POLYGON((-79.9 43.2,-79.9 43.3,-79.8 43.3,-79.8 43.2,-79.9 43.2))"
72,-80.0,43.3,"POLYGON((-80.0 43.3,-80.0 43.4,-79.9 43.4,-79.9 43.3,-80.0 43.3))"
29336,-79.9,43.3,"POLYGON((-79.9 43.3,-79.9 43.4,-79.8 43.4,-79.8 43.3,-79.9 43.3))"
23956,-79.8,43.3,"POLYGON((-79.8 43.3,-79.8 43.4,-79.7 43.4,-79.7 43.3,-79.8 43.3))"
136,-80.1,43.4,"POLYGON((-80.1 43.4,-80.1 43.5,-80.0 43.5,-80.0 43.4,-80.1 43.4))"
1684,-80.0,43.4,"POLYGON((-80.0 43.4,-80.0 43.5,-79.9 43.5,-79.9 43.4,-80.0 43.4))"
12900,-79.9,43.4,"POLYGON((-79.9 43.4,-79.9 43.5,-79.8 43.5,-79.8 43.4,-79.9 43.4))"
40460,-79.8,43.4,"POLYGON((-79.8 43.4,-79.8 43.5,-79.7 43.5,-79.7 43.4,-79.8 43.4))"
18404,-79.7,43.4,"POLYGON((-79.7 43.4,-79.7 43.5,-79.6 43.5,-79.6 43.4,-79.7 43.4))"
204,-80.2,43.5,"POLYGON((-80.2 43.5,-80.2 43.6,-80.1 43.6,-80.1 43.5,-80.2 43.5))"
1148,-80.1,43.5,"POLYGON((-80.1 43.5,-80.1 43.6,-80.0 43.6,-80.0 43.5,-80.1 43.5))"
907,-80.0,43.5,"POLYGON((-80.0 43.5,-80.0 43.6,-79.9 43.6,-79.9 43.5,-80.0 43.5))"
22086,-79.9,43.5,"POLYGON((-79.9 43.5,-79.9 43.6,-79.8 43.6,-79.8 43.5,-79.9 43.5))"
534,-79.8,43.5,"POLYGON((-79.8 43.5,-79.8 43.6,-79.7 43.6,-79.7 43.5,-79.8 43.5))"
1206,-79.7,43.5,"POLYGON((-79.7 43.5,-79.7 43.6,-79.6 43.6,-79.6 43.5,-79.7 43.5))"
20,-80.2,43.6,"POLYGON((-80.2 43.6,-80.2 43.7,-80.1 43.7,-80.1 43.6,-80.2 43.6))"
4160,-80.1,43.6,"POLYGON((-80.1 43.6,-80.1 43.7,-80.0 43.7,-80.0 43.6,-80.1 43.6))"
8350,-80.0,43.6,"POLYGON((-80.0 43.6,-80.0 43.7,-79.9 43.7,-79.9 43.6,-80.0 43.6))"
6923,-79.9,43.6,"POLYGON((-79.9 43.6,-79.9 43.7,-79.8 43.7,-79.8 43.6,-79.9 43.6))"
9,-79.8,43.6,"POLYGON((-79.8 43.6,-79.8 43.7,-79.7 43.7,-79.7 43.6,-79.8 43.6))"
4,-80.1,43.7,"POLYGON((-80.1 43.7,-80.1 43.8,-80.0 43.8,-80.0 43.7,-80.1 43.7))"
150,-80.0,43.7,"POLYGON((-80.0 43.7,-80.0 43.8,-79.9 43.8,-79.9 43.7,-80.0 43.7))"
