count,lon,lat,area
98,-81.8,43.2,"POLYGON((-81.8 43.2,-81.8 43.3,-81.7 43.3,-81.7 43.2,-81.8 43.2))"
160,-81.7,43.2,"POLYGON((-81.7 43.2,-81.7 43.3,-81.6 43.3,-81.6 43.2,-81.7 43.2))"
215,-81.6,43.2,"POLYGON((-81.6 43.2,-81.6 43.3,-81.5 43.3,-81.5 43.2,-81.6 43.2))"
581,-81.5,43.2,"POLYGON((-81.5 43.2,-81.5 43.3,-81.4 43.3,-81.4 43.2,-81.5 43.2))"
43,-81.4,43.2,"POLYGON((-81.4 43.2,-81.4 43.3,-81.3 43.3,-81.3 43.2,-81.4 43.2))"
1480,-81.8,43.3,"POLYGON((-81.8 43.3,-81.8 43.4,-81.7 43.4,-81.7 43.3,-81.8 43.3))"
501,-81.7,43.3,"POLYGON((-81.7 43.3,-81.7 43.4,-81.6 43.4,-81.6 43.3,-81.7 43.3))"
309,-81.6,43.3,"POLYGON((-81.6 43.3,-81.6 43.4,-81.5 43.4,-81.5 43.3,-81.6 43.3))"
3151,-81.5,43.3,"POLYGON((-81.5 43.3,-81.5 43.4,-81.4 43.4,-81.4 43.3,-81.5 43.3))"
243,-81.4,43.3,"POLYGON((-81.4 43.3,-81.4 43.4,-81.3 43.4,-81.3 43.3,-81.4 43.3))"
3,-81.3,43.3,"POLYGON((-81.3 43.3,-81.3 43.4,-81.2 43.4,-81.2 43.3,-81.3 43.3))"
912,-81.8,43.4,"POLYGON((-81.8 43.4,-81.8 43.5,-81.7 43.5,-81.7 43.4,-81.8 43.4))"
843,-81.7,43.4,"POLYGON((-81.7 43.4,-81.7 43.5,-81.6 43.5,-81.6 43.4,-81.7 43.4))"
723,-81.6,43.4,"POLYGON((-81.6 43.4,-81.6 43.5,-81.5 43.5,-81.5 43.4,-81.6 43.4))"
318,-81.5,43.4,"POLYGON((-81.5 43.4,-81.5 43.5,-81.4 43.5,-81.4 43.4,-81.5 43.4))"
6,-81.4,43.4,"POLYGON((-81.4 43.4,-81.4 43.5,-81.3 43.5,-81.3 43.4,-81.4 43.4))"
