count,lon,lat,area
246,-80.0,43.9,"POLYGON((-80.0 43.9,-80.0 44.0,-79.9 44.0,-79.9 43.9,-80.0 43.9))"
364,-79.9,43.9,"POLYGON((-79.9 43.9,-79.9 44.0,-79.8 44.0,-79.8 43.9,-79.9 43.9))"
250,-79.8,43.9,"POLYGON((-79.8 43.9,-79.8 44.0,-79.7 44.0,-79.7 43.9,-79.8 43.9))"
726,-80.0,44.0,"POLYGON((-80.0 44.0,-80.0 44.1,-79.9 44.1,-79.9 44.0,-80.0 44.0))"
2834,-79.9,44.0,"POLYGON((-79.9 44.0,-79.9 44.1,-79.8 44.1,-79.8 44.0,-79.9 44.0))"
4003,-79.8,44.0,"POLYGON((-79.8 44.0,-79.8 44.1,-79.7 44.1,-79.7 44.0,-79.8 44.0))"
966,-79.7,44.0,"POLYGON((-79.7 44.0,-79.7 44.1,-79.6 44.1,-79.6 44.0,-79.7 44.0))"
2447,-79.6,44.0,"POLYGON((-79.6 44.0,-79.6 44.1,-79.5 44.1,-79.5 44.0,-79.6 44.0))"
12,-80.1,44.1,"POLYGON((-80.1 44.1,-80.1 44.2,-80.0 44.2,-80.0 44.1,-80.1 44.1))"
1319,-80.0,44.1,"POLYGON((-80.0 44.1,-80.0 44.2,-79.9 44.2,-79.9 44.1,-80.0 44.1))"
7385,-79.9,44.1,"POLYGON((-79.9 44.1,-79.9 44.2,-79.8 44.2,-79.8 44.1,-79.9 44.1))"
2468,-79.8,44.1,"POLYGON((-79.8 44.1,-79.8 44.2,-79.7 44.2,-79.7 44.1,-79.8 44.1))"
1153,-79.7,44.1,"POLYGON((-79.7 44.1,-79.7 44.2,-79.6 44.2,-79.6 44.1,-79.7 44.1))"
10392,-79.6,44.1,"POLYGON((-79.6 44.1,-79.6 44.2,-79.5 44.2,-79.5 44.1,-79.6 44.1))"
65,-80.3,44.2,"POLYGON((-80.3 44.2,-80.3 44.3,-80.2 44.3,-80.2 44.2,-80.3 44.2))"
175,-80.2,44.2,"POLYGON((-80.2 44.2,-80.2 44.3,-80.1 44.3,-80.1 44.2,-80.2 44.2))"
225,-80.1,44.2,"POLYGON((-80.1 44.2,-80.1 44.3,-80.0 44.3,-80.0 44.2,-80.1 44.2))"
821,-80.0,44.2,"POLYGON((-80.0 44.2,-80.0 44.3,-79.9 44.3,-79.9 44.2,-80.0 44.2))"
1669,-79.9,44.2,"POLYGON((-79.9 44.2,-79.9 44.3,-79.8 44.3,-79.8 44.2,-79.9 44.2))"
1363,-79.8,44.2,"POLYGON((-79.8 44.2,-79.8 44.3,-79.7 44.3,-79.7 44.2,-79.8 44.2))"
917,-79.7,44.2,"POLYGON((-79.7 44.2,-79.7 44.3,-79.6 44.3,-79.6 44.2,-79.7 44.2))"
4385,-79.6,44.2,"POLYGON((-79.6 44.2,-79.6 44.3,-79.5 44.3,-79.5 44.2,-79.6 44.2))"
418,-80.3,44.3,"POLYGON((-80.3 44.3,-80.3 44.4,-80.2 44.4,-80.2 44.3,-80.3 44.3))"
1138,-80.2,44.3,"POLYGON((-80.2 44.3,-80.2 44.4,-80.1 44.4,-80.1 44.3,-80.2 44.3))"
673,-80.1,44.3,"POLYGON((-80.1 44.3,-80.1 44.4,-80.0 44.4,-80.0 44.3,-80.1 44.3))"
1289,-80.0,44.3,"POLYGON((-80.0 44.3,-80.0 44.4,-79.9 44.4,-79.9 44.3,-80.0 44.3))"
4810,-79.9,44.3,"POLYGON((-79.9 44.3,-79.9 44.4,-79.8 44.4,-79.8 44.3,-79.9 44.3))"
16074,-79.8,44.3,"POLYGON((-79.8 44.3,-79.8 44.4,-79.7 44.4,-79.7 44.3,-79.8 44.3))"
18307,-79.7,44.3,"POLYGON((-79.7 44.3,-79.7 44.4,-79.6 44.4,-79.6 44.3,-79.7 44.3))"
9779,-79.6,44.3,"POLYGON((-79.6 44.3,-79.6 44.4,-79.5 44.4,-79.5 44.3,-79.6 44.3))"
7750,-80.3,44.4,"POLYGON((-80.3 44.4,-80.3 44.5,-80.2 44.5,-80.2 44.4,-80.3 44.4))"
3247,-80.2,44.4,"POLYGON((-80.2 44.4,-80.2 44.5,-80.1 44.5,-80.1 44.4,-80.2 44.4))"
8400,-80.1,44.4,"POLYGON((-80.1 44.4,-80.1 44.5,-80.0 44.5,-80.0 44.4,-80.1 44.4))"
401,-80.0,44.4,"POLYGON((-80.0 44.4,-80.0 44.5,-79.9 44.5,-79.9 44.4,-80.0 44.4))"
991,-79.9,44.4,"POLYGON((-79.9 44.4,-79.9 44.5,-79.8 44.5,-79.8 44.4,-79.9 44.4))"
6264,-79.8,44.4,"POLYGON((-79.8 44.4,-79.8 44.5,-79.7 44.5,-79.7 44.4,-79.8 44.4))"
7901,-79.7,44.4,"POLYGON((-79.7 44.4,-79.7 44.5,-79.6 44.5,-79.6 44.4,-79.7 44.4))"
1796,-79.6,44.4,"POLYGON((-79.6 44.4,-79.6 44.5,-79.5 44.5,-79.5 44.4,-79.6 44.4))"
1067,-79.5,44.4,"POLYGON((-79.5 44.4,-79.5 44.5,-79.4 44.5,-79.4 44.4,-79.5 44.4))"
492,-79.2,44.4,"POLYGON((-79.2 44.4,-79.2 44.5,-79.1 44.5,-79.1 44.4,-79.2 44.4))"
4418,-80.3,44.5,"POLYGON((-80.3 44.5,-80.3 44.6,-80.2 44.6,-80.2 44.5,-80.3 44.5))"
302,-80.2,44.5,"POLYGON((-80.2 44.5,-80.2 44.6,-80.1 44.6,-80.1 44.5,-80.2 44.5))"
3939,-80.1,44.5,"POLYGON((-80.1 44.5,-80.1 44.6,-80.0 44.6,-80.0 44.5,-80.1 44.5))"
4159,-80.0,44.5,"POLYGON((-80.0 44.5,-80.0 44.6,-79.9 44.6,-79.9 44.5,-80.0 44.5))"
1906,-79.9,44.5,"POLYGON((-79.9 44.5,-79.9 44.6,-79.8 44.6,-79.8 44.5,-79.9 44.5))"
1023,-79.8,44.5,"POLYGON((-79.8 44.5,-79.8 44.6,-79.7 44.6,-79.7 44.5,-79.8 44.5))"
1989,-79.7,44.5,"POLYGON((-79.7 44.5,-79.7 44.6,-79.6 44.6,-79.6 44.5,-79.7 44.5))"
628,-79.6,44.5,"POLYGON((-79.6 44.5,-79.6 44.6,-79.5 44.6,-79.5 44.5,-79.6 44.5))"
