count,lon,lat,area
1218,8.4,50.0,"POLYGON((8.4 50.0,8.4 50.1,8.5 50.1,8.5 50.0,8.4 50.0))"
6568,8.5,50.0,"POLYGON((8.5 50.0,8.5 50.1,8.6 50.1,8.6 50.0,8.5 50.0))"
9020,8.6,50.0,"POLYGON((8.6 50.0,8.6 50.1,8.7 50.1,8.7 50.0,8.6 50.0))"
1560,8.7,50.0,"POLYGON((8.7 50.0,8.7 50.1,8.8 50.1,8.8 50.0,8.7 50.0))"
39,8.4,50.1,"POLYGON((8.4 50.1,8.4 50.2,8.5 50.2,8.5 50.1,8.4 50.1))"
8290,8.5,50.1,"POLYGON((8.5 50.1,8.5 50.2,8.6 50.2,8.6 50.1,8.5 50.1))"
46596,8.6,50.1,"POLYGON((8.6 50.1,8.6 50.2,8.7 50.2,8.7 50.1,8.6 50.1))"
13641,8.7,50.1,"POLYGON((8.7 50.1,8.7 50.2,8.8 50.2,8.8 50.1,8.7 50.1))"
916,8.6,50.2,"POLYGON((8.6 50.2,8.6 50.3,8.7 50.3,8.7 50.2,8.6 50.2))"
1062,8.7,50.2,"POLYGON((8.7 50.2,8.7 50.3,8.8 50.3,8.8 50.2,8.7 50.2))"
