count,lon,lat,area
76,11.5,44.1,"POLYGON((11.5 44.1,11.5 44.2,11.6 44.2,11.6 44.1,11.5 44.1))"
550,11.6,44.1,"POLYGON((11.6 44.1,11.6 44.2,11.7 44.2,11.7 44.1,11.6 44.1))"
197,11.7,44.1,"POLYGON((11.7 44.1,11.7 44.2,11.8 44.2,11.8 44.1,11.7 44.1))"
56,11.8,44.1,"POLYGON((11.8 44.1,11.8 44.2,11.9 44.2,11.9 44.1,11.8 44.1))"
69,12.3,44.1,"POLYGON((12.3 44.1,12.3 44.2,12.4 44.2,12.4 44.1,12.3 44.1))"
12,11.5,44.2,"POLYGON((11.5 44.2,11.5 44.3,11.6 44.3,11.6 44.2,11.5 44.2))"
1791,11.6,44.2,"POLYGON((11.6 44.2,11.6 44.3,11.7 44.3,11.7 44.2,11.6 44.2))"
4574,11.7,44.2,"POLYGON((11.7 44.2,11.7 44.3,11.8 44.3,11.8 44.2,11.7 44.2))"
11641,11.8,44.2,"POLYGON((11.8 44.2,11.8 44.3,11.9 44.3,11.9 44.2,11.8 44.2))"
1562,11.9,44.2,"POLYGON((11.9 44.2,11.9 44.3,12.0 44.3,12.0 44.2,11.9 44.2))"
3,12.0,44.2,"POLYGON((12.0 44.2,12.0 44.3,12.1 44.3,12.1 44.2,12.0 44.2))"
2541,12.1,44.2,"POLYGON((12.1 44.2,12.1 44.3,12.2 44.3,12.2 44.2,12.1 44.2))"
3954,12.2,44.2,"POLYGON((12.2 44.2,12.2 44.3,12.3 44.3,12.3 44.2,12.2 44.2))"
11712,12.3,44.2,"POLYGON((12.3 44.2,12.3 44.3,12.4 44.3,12.4 44.2,12.3 44.2))"
35,11.6,44.3,"POLYGON((11.6 44.3,11.6 44.4,11.7 44.4,11.7 44.3,11.6 44.3))"
2224,11.7,44.3,"POLYGON((11.7 44.3,11.7 44.4,11.8 44.4,11.8 44.3,11.7 44.3))"
6142,11.8,44.3,"POLYGON((11.8 44.3,11.8 44.4,11.9 44.4,11.9 44.3,11.8 44.3))"
5684,11.9,44.3,"POLYGON((11.9 44.3,11.9 44.4,12.0 44.4,12.0 44.3,11.9 44.3))"
6473,12.0,44.3,"POLYGON((12.0 44.3,12.0 44.4,12.1 44.4,12.1 44.3,12.0 44.3))"
6090,12.1,44.3,"POLYGON((12.1 44.3,12.1 44.4,12.2 44.4,12.2 44.3,12.1 44.3))"
6112,12.2,44.3,"POLYGON((12.2 44.3,12.2 44.4,12.3 44.4,12.3 44.3,12.2 44.3))"
4454,12.3,44.3,"POLYGON((12.3 44.3,12.3 44.4,12.4 44.4,12.4 44.3,12.3 44.3))"
135,11.7,44.4,"POLYGON((11.7 44.4,11.7 44.5,11.8 44.5,11.8 44.4,11.7 44.4))"
10905,11.8,44.4,"POLYGON((11.8 44.4,11.8 44.5,11.9 44.5,11.9 44.4,11.8 44.4))"
19252,11.9,44.4,"POLYGON((11.9 44.4,11.9 44.5,12.0 44.5,12.0 44.4,11.9 44.4))"
8593,12.0,44.4,"POLYGON((12.0 44.4,12.0 44.5,12.1 44.5,12.1 44.4,12.0 44.4))"
17009,12.1,44.4,"POLYGON((12.1 44.4,12.1 44.5,12.2 44.5,12.2 44.4,12.1 44.4))"
19724,12.2,44.4,"POLYGON((12.2 44.4,12.2 44.5,12.3 44.5,12.3 44.4,12.2 44.4))"
2933,12.3,44.4,"POLYGON((12.3 44.4,12.3 44.5,12.4 44.5,12.4 44.4,12.3 44.4))"
103,11.7,44.5,"POLYGON((11.7 44.5,11.7 44.6,11.8 44.6,11.8 44.5,11.7 44.5))"
4634,11.8,44.5,"POLYGON((11.8 44.5,11.8 44.6,11.9 44.6,11.9 44.5,11.8 44.5))"
2533,11.9,44.5,"POLYGON((11.9 44.5,11.9 44.6,12.0 44.6,12.0 44.5,11.9 44.5))"
4703,12.0,44.5,"POLYGON((12.0 44.5,12.0 44.6,12.1 44.6,12.1 44.5,12.0 44.5))"
2490,12.1,44.5,"POLYGON((12.1 44.5,12.1 44.6,12.2 44.6,12.2 44.5,12.1 44.5))"
4967,12.2,44.5,"POLYGON((12.2 44.5,12.2 44.6,12.3 44.6,12.3 44.5,12.2 44.5))"
17,12.0,44.6,"POLYGON((12.0 44.6,12.0 44.7,12.1 44.7,12.1 44.6,12.0 44.6))"
9,12.2,44.6,"POLYGON((12.2 44.6,12.2 44.7,12.3 44.7,12.3 44.6,12.2 44.6))"
