count,lon,lat,area
1730,136.2,36.2,"POLYGON((136.2 36.2,136.2 36.3,136.3 36.3,136.3 36.2,136.2 36.2))"
10380,136.3,36.2,"POLYGON((136.3 36.2,136.3 36.3,136.4 36.3,136.4 36.2,136.3 36.2))"
275,136.4,36.2,"POLYGON((136.4 36.2,136.4 36.3,136.5 36.3,136.5 36.2,136.4 36.2))"
1030,136.2,36.3,"POLYGON((136.2 36.3,136.2 36.4,136.3 36.4,136.3 36.3,136.2 36.3))"
28656,136.3,36.3,"POLYGON((136.3 36.3,136.3 36.4,136.4 36.4,136.4 36.3,136.3 36.3))"
37783,136.4,36.3,"POLYGON((136.4 36.3,136.4 36.4,136.5 36.4,136.5 36.3,136.4 36.3))"
2055,136.5,36.3,"POLYGON((136.5 36.3,136.5 36.4,136.6 36.4,136.6 36.3,136.5 36.3))"
19,136.3,36.4,"POLYGON((136.3 36.4,136.3 36.5,136.4 36.5,136.4 36.4,136.3 36.4))"
37264,136.4,36.4,"POLYGON((136.4 36.4,136.4 36.5,136.5 36.5,136.5 36.4,136.4 36.4))"
30733,136.5,36.4,"POLYGON((136.5 36.4,136.5 36.5,136.6 36.5,136.6 36.4,136.5 36.4))"
6239,136.6,36.4,"POLYGON((136.6 36.4,136.6 36.5,136.7 36.5,136.7 36.4,136.6 36.4))"
679,136.7,36.4,"POLYGON((136.7 36.4,136.7 36.5,136.8 36.5,136.8 36.4,136.7 36.4))"
76,136.4,36.5,"POLYGON((136.4 36.5,136.4 36.6,136.5 36.6,136.5 36.5,136.4 36.5))"
26225,136.5,36.5,"POLYGON((136.5 36.5,136.5 36.6,136.6 36.6,136.6 36.5,136.5 36.5))"
56280,136.6,36.5,"POLYGON((136.6 36.5,136.6 36.6,136.7 36.6,136.7 36.5,136.6 36.5))"
2109,136.7,36.5,"POLYGON((136.7 36.5,136.7 36.6,136.8 36.6,136.8 36.5,136.7 36.5))"
221,136.5,36.6,"POLYGON((136.5 36.6,136.5 36.7,136.6 36.7,136.6 36.6,136.5 36.6))"
24301,136.6,36.6,"POLYGON((136.6 36.6,136.6 36.7,136.7 36.7,136.7 36.6,136.6 36.6))"
8213,136.7,36.6,"POLYGON((136.7 36.6,136.7 36.7,136.8 36.7,136.8 36.6,136.7 36.6))"
2786,136.6,36.7,"POLYGON((136.6 36.7,136.6 36.8,136.7 36.8,136.7 36.7,136.6 36.7))"
6778,136.7,36.7,"POLYGON((136.7 36.7,136.7 36.8,136.8 36.8,136.8 36.7,136.7 36.7))"
2373,136.7,36.8,"POLYGON((136.7 36.8,136.7 36.9,136.8 36.9,136.8 36.8,136.7 36.8))"
172,136.8,36.8,"POLYGON((136.8 36.8,136.8 36.9,136.9 36.9,136.9 36.8,136.8 36.8))"
2051,136.7,36.9,"POLYGON((136.7 36.9,136.7 37.0,136.8 37.0,136.8 36.9,136.7 36.9))"
271,136.8,36.9,"POLYGON((136.8 36.9,136.8 37.0,136.9 37.0,136.9 36.9,136.8 36.9))"
48,136.9,36.9,"POLYGON((136.9 36.9,136.9 37.0,137.0 37.0,137.0 36.9,136.9 36.9))"
2110,136.7,37.0,"POLYGON((136.7 37.0,136.7 37.1,136.8 37.1,136.8 37.0,136.7 37.0))"
121,136.8,37.0,"POLYGON((136.8 37.0,136.8 37.1,136.9 37.1,136.9 37.0,136.8 37.0))"
9467,136.9,37.0,"POLYGON((136.9 37.0,136.9 37.1,137.0 37.1,137.0 37.0,136.9 37.0))"
59,137.0,37.0,"POLYGON((137.0 37.0,137.0 37.1,137.1 37.1,137.1 37.0,137.0 37.0))"
786,136.6,37.1,"POLYGON((136.6 37.1,136.6 37.2,136.7 37.2,136.7 37.1,136.6 37.1))"
1039,136.7,37.1,"POLYGON((136.7 37.1,136.7 37.2,136.8 37.2,136.8 37.1,136.7 37.1))"
100,136.6,37.2,"POLYGON((136.6 37.2,136.6 37.3,136.7 37.3,136.7 37.2,136.6 37.2))"
156,136.8,37.2,"POLYGON((136.8 37.2,136.8 37.3,136.9 37.3,136.9 37.2,136.8 37.2))"
1203,136.9,37.2,"POLYGON((136.9 37.2,136.9 37.3,137.0 37.3,137.0 37.2,136.9 37.2))"
64,137.1,37.2,"POLYGON((137.1 37.2,137.1 37.3,137.2 37.3,137.2 37.2,137.1 37.2))"
90,137.2,37.2,"POLYGON((137.2 37.2,137.2 37.3,137.3 37.3,137.3 37.2,137.2 37.2))"
1272,136.8,37.3,"POLYGON((136.8 37.3,136.8 37.4,136.9 37.4,136.9 37.3,136.8 37.3))"
1257,136.9,37.3,"POLYGON((136.9 37.3,136.9 37.4,137.0 37.4,137.0 37.3,136.9 37.3))"
1122,137.1,37.3,"POLYGON((137.1 37.3,137.1 37.4,137.2 37.4,137.2 37.3,137.1 37.3))"
916,137.2,37.3,"POLYGON((137.2 37.3,137.2 37.4,137.3 37.4,137.3 37.3,137.2 37.3))"
161,136.8,37.4,"POLYGON((136.8 37.4,136.8 37.5,136.9 37.5,136.9 37.4,136.8 37.4))"
7,136.9,37.4,"POLYGON((136.9 37.4,136.9 37.5,137.0 37.5,137.0 37.4,136.9 37.4))"
1377,137.2,37.4,"POLYGON((137.2 37.4,137.2 37.5,137.3 37.5,137.3 37.4,137.2 37.4))"
1184,137.3,37.4,"POLYGON((137.3 37.4,137.3 37.5,137.4 37.5,137.4 37.4,137.3 37.4))"
23,137.3,37.5,"POLYGON((137.3 37.5,137.3 37.6,137.4 37.6,137.4 37.5,137.3 37.5))"
