count,lon,lat,area
1081,139.0,35.1,"POLYGON((139.0 35.1,139.0 35.2,139.1 35.2,139.1 35.1,139.0 35.1))"
3954,139.1,35.1,"POLYGON((139.1 35.1,139.1 35.2,139.2 35.2,139.2 35.1,139.1 35.1))"
10412,139.6,35.1,"POLYGON((139.6 35.1,139.6 35.2,139.7 35.2,139.7 35.1,139.6 35.1))"
120,138.9,35.2,"POLYGON((138.9 35.2,138.9 35.3,139.0 35.3,139.0 35.2,138.9 35.2))"
2079,139.0,35.2,"POLYGON((139.0 35.2,139.0 35.3,139.1 35.3,139.1 35.2,139.0 35.2))"
14870,139.1,35.2,"POLYGON((139.1 35.2,139.1 35.3,139.2 35.3,139.2 35.2,139.1 35.2))"
2940,139.2,35.2,"POLYGON((139.2 35.2,139.2 35.3,139.3 35.3,139.3 35.2,139.2 35.2))"
9,139.4,35.2,"POLYGON((139.4 35.2,139.4 35.3,139.5 35.3,139.5 35.2,139.4 35.2))"
4565,139.5,35.2,"POLYGON((139.5 35.2,139.5 35.3,139.6 35.3,139.6 35.2,139.5 35.2))"
12822,139.6,35.2,"POLYGON((139.6 35.2,139.6 35.3,139.7 35.3,139.7 35.2,139.6 35.2))"
2323,139.7,35.2,"POLYGON((139.7 35.2,139.7 35.3,139.8 35.3,139.8 35.2,139.7 35.2))"
4293,139.0,35.3,"POLYGON((139.0 35.3,139.0 35.4,139.1 35.4,139.1 35.3,139.0 35.3))"
25775,139.1,35.3,"POLYGON((139.1 35.3,139.1 35.4,139.2 35.4,139.2 35.3,139.1 35.3))"
25888,139.2,35.3,"POLYGON((139.2 35.3,139.2 35.4,139.3 35.4,139.3 35.3,139.2 35.3))"
32560,139.3,35.3,"POLYGON((139.3 35.3,139.3 35.4,139.4 35.4,139.4 35.3,139.3 35.3))"
22189,139.4,35.3,"POLYGON((139.4 35.3,139.4 35.4,139.5 35.4,139.5 35.3,139.4 35.3))"
24743,139.5,35.3,"POLYGON((139.5 35.3,139.5 35.4,139.6 35.4,139.6 35.3,139.5 35.3))"
7605,139.6,35.3,"POLYGON((139.6 35.3,139.6 35.4,139.7 35.4,139.7 35.3,139.6 35.3))"
1360,139.1,35.4,"POLYGON((139.1 35.4,139.1 35.5,139.2 35.5,139.2 35.4,139.1 35.4))"
3096,139.2,35.4,"POLYGON((139.2 35.4,139.2 35.5,139.3 35.5,139.3 35.4,139.2 35.4))"
33835,139.3,35.4,"POLYGON((139.3 35.4,139.3 35.5,139.4 35.5,139.4 35.4,139.3 35.4))"
30145,139.4,35.4,"POLYGON((139.4 35.4,139.4 35.5,139.5 35.5,139.5 35.4,139.4 35.4))"
32534,139.5,35.4,"POLYGON((139.5 35.4,139.5 35.5,139.6 35.5,139.6 35.4,139.5 35.4))"
20660,139.6,35.4,"POLYGON((139.6 35.4,139.6 35.5,139.7 35.5,139.7 35.4,139.6 35.4))"
59,139.7,35.4,"POLYGON((139.7 35.4,139.7 35.5,139.8 35.5,139.8 35.4,139.7 35.4))"
929,139.1,35.5,"POLYGON((139.1 35.5,139.1 35.6,139.2 35.6,139.2 35.5,139.1 35.5))"
10279,139.2,35.5,"POLYGON((139.2 35.5,139.2 35.6,139.3 35.6,139.3 35.5,139.2 35.5))"
22919,139.3,35.5,"POLYGON((139.3 35.5,139.3 35.6,139.4 35.6,139.4 35.5,139.3 35.5))"
10697,139.4,35.5,"POLYGON((139.4 35.5,139.4 35.6,139.5 35.6,139.5 35.5,139.4 35.5))"
25371,139.5,35.5,"POLYGON((139.5 35.5,139.5 35.6,139.6 35.6,139.6 35.5,139.5 35.5))"
28502,139.6,35.5,"POLYGON((139.6 35.5,139.6 35.6,139.7 35.6,139.7 35.5,139.6 35.5))"
2425,139.7,35.5,"POLYGON((139.7 35.5,139.7 35.6,139.8 35.6,139.8 35.5,139.7 35.5))"
2166,139.1,35.6,"POLYGON((139.1 35.6,139.1 35.7,139.2 35.7,139.2 35.6,139.1 35.6))"
1649,139.2,35.6,"POLYGON((139.2 35.6,139.2 35.7,139.3 35.7,139.3 35.6,139.2 35.6))"
475,139.3,35.6,"POLYGON((139.3 35.6,139.3 35.7,139.4 35.7,139.4 35.6,139.3 35.6))"
1730,139.4,35.6,"POLYGON((139.4 35.6,139.4 35.7,139.5 35.7,139.5 35.6,139.4 35.6))"
7459,139.5,35.6,"POLYGON((139.5 35.6,139.5 35.7,139.6 35.7,139.6 35.6,139.5 35.6))"
820,139.6,35.6,"POLYGON((139.6 35.6,139.6 35.7,139.7 35.7,139.7 35.6,139.6 35.6))"
