count,lon,lat,area
563,140.0,37.8,"POLYGON((140.0 37.8,140.0 37.9,140.1 37.9,140.1 37.8,140.0 37.8))"
2778,140.1,37.8,"POLYGON((140.1 37.8,140.1 37.9,140.2 37.9,140.2 37.8,140.1 37.8))"
903,140.0,37.9,"POLYGON((140.0 37.9,140.0 38.0,140.1 38.0,140.1 37.9,140.0 37.9))"
7439,140.1,37.9,"POLYGON((140.1 37.9,140.1 38.0,140.2 38.0,140.2 37.9,140.1 37.9))"
88,140.2,37.9,"POLYGON((140.2 37.9,140.2 38.0,140.3 38.0,140.3 37.9,140.2 37.9))"
963,139.7,38.0,"POLYGON((139.7 38.0,139.7 38.1,139.8 38.1,139.8 38.0,139.7 38.0))"
2126,140.0,38.0,"POLYGON((140.0 38.0,140.0 38.1,140.1 38.1,140.1 38.0,140.0 38.0))"
11459,140.1,38.0,"POLYGON((140.1 38.0,140.1 38.1,140.2 38.1,140.2 38.0,140.1 38.0))"
590,140.2,38.0,"POLYGON((140.2 38.0,140.2 38.1,140.3 38.1,140.3 38.0,140.2 38.0))"
2465,140.0,38.1,"POLYGON((140.0 38.1,140.0 38.2,140.1 38.2,140.1 38.1,140.0 38.1))"
647,140.1,38.1,"POLYGON((140.1 38.1,140.1 38.2,140.2 38.2,140.2 38.1,140.1 38.1))"
2105,140.2,38.1,"POLYGON((140.2 38.1,140.2 38.2,140.3 38.2,140.3 38.1,140.2 38.1))"
2020,140.3,38.1,"POLYGON((140.3 38.1,140.3 38.2,140.4 38.2,140.4 38.1,140.3 38.1))"
55,140.4,38.1,"POLYGON((140.4 38.1,140.4 38.2,140.5 38.2,140.5 38.1,140.4 38.1))"
66,140.0,38.2,"POLYGON((140.0 38.2,140.0 38.3,140.1 38.3,140.1 38.2,140.0 38.2))"
142,140.1,38.2,"POLYGON((140.1 38.2,140.1 38.3,140.2 38.3,140.2 38.2,140.1 38.2))"
7217,140.2,38.2,"POLYGON((140.2 38.2,140.2 38.3,140.3 38.3,140.3 38.2,140.2 38.2))"
8938,140.3,38.2,"POLYGON((140.3 38.2,140.3 38.3,140.4 38.3,140.4 38.2,140.3 38.2))"
51,140.4,38.2,"POLYGON((140.4 38.2,140.4 38.3,140.5 38.3,140.5 38.2,140.4 38.2))"
118,139.9,38.3,"POLYGON((139.9 38.3,139.9 38.4,140.0 38.4,140.0 38.3,139.9 38.3))"
1317,140.1,38.3,"POLYGON((140.1 38.3,140.1 38.4,140.2 38.4,140.2 38.3,140.1 38.3))"
8919,140.2,38.3,"POLYGON((140.2 38.3,140.2 38.4,140.3 38.4,140.3 38.3,140.2 38.3))"
12780,140.3,38.3,"POLYGON((140.3 38.3,140.3 38.4,140.4 38.4,140.4 38.3,140.3 38.3))"
1731,140.4,38.3,"POLYGON((140.4 38.3,140.4 38.4,140.5 38.4,140.5 38.3,140.4 38.3))"
40,139.9,38.4,"POLYGON((139.9 38.4,139.9 38.5,140.0 38.5,140.0 38.4,139.9 38.4))"
227,140.0,38.4,"POLYGON((140.0 38.4,140.0 38.5,140.1 38.5,140.1 38.4,140.0 38.4))"
1219,140.1,38.4,"POLYGON((140.1 38.4,140.1 38.5,140.2 38.5,140.2 38.4,140.1 38.4))"
2432,140.2,38.4,"POLYGON((140.2 38.4,140.2 38.5,140.3 38.5,140.3 38.4,140.2 38.4))"
8744,140.3,38.4,"POLYGON((140.3 38.4,140.3 38.5,140.4 38.5,140.4 38.4,140.3 38.4))"
1415,140.4,38.4,"POLYGON((140.4 38.4,140.4 38.5,140.5 38.5,140.5 38.4,140.4 38.4))"
262,139.5,38.5,"POLYGON((139.5 38.5,139.5 38.6,139.6 38.6,139.6 38.5,139.5 38.5))"
1240,140.3,38.5,"POLYGON((140.3 38.5,140.3 38.6,140.4 38.6,140.4 38.5,140.3 38.5))"
205,140.4,38.5,"POLYGON((140.4 38.5,140.4 38.6,140.5 38.6,140.5 38.5,140.4 38.5))"
282,139.5,38.6,"POLYGON((139.5 38.6,139.5 38.7,139.6 38.7,139.6 38.6,139.5 38.6))"
316,139.6,38.6,"POLYGON((139.6 38.6,139.6 38.7,139.7 38.7,139.7 38.6,139.6 38.6))"
381,139.7,38.6,"POLYGON((139.7 38.6,139.7 38.7,139.8 38.7,139.8 38.6,139.7 38.6))"
1909,139.8,38.6,"POLYGON((139.8 38.6,139.8 38.7,139.9 38.7,139.9 38.6,139.8 38.6))"
171,140.3,38.6,"POLYGON((140.3 38.6,140.3 38.7,140.4 38.7,140.4 38.6,140.3 38.6))"
220,140.4,38.6,"POLYGON((140.4 38.6,140.4 38.7,140.5 38.7,140.5 38.6,140.4 38.6))"
377,139.6,38.7,"POLYGON((139.6 38.7,139.6 38.8,139.7 38.8,139.7 38.7,139.6 38.7))"
3676,139.7,38.7,"POLYGON((139.7 38.7,139.7 38.8,139.8 38.8,139.8 38.7,139.7 38.7))"
5641,139.8,38.7,"POLYGON((139.8 38.7,139.8 38.8,139.9 38.8,139.9 38.7,139.8 38.7))"
514,139.9,38.7,"POLYGON((139.9 38.7,139.9 38.8,140.0 38.8,140.0 38.7,139.9 38.7))"
1442,140.2,38.7,"POLYGON((140.2 38.7,140.2 38.8,140.3 38.8,140.3 38.7,140.2 38.7))"
1735,140.3,38.7,"POLYGON((140.3 38.7,140.3 38.8,140.4 38.8,140.4 38.7,140.3 38.7))"
