count,lon,lat,area
205,132.2,33.7,"POLYGON((132.2 33.7,132.2 33.8,132.3 33.8,132.3 33.7,132.2 33.7))"
418,132.0,33.8,"POLYGON((132.0 33.8,132.0 33.9,132.1 33.9,132.1 33.8,132.0 33.8))"
489,132.1,33.8,"POLYGON((132.1 33.8,132.1 33.9,132.2 33.9,132.2 33.8,132.1 33.8))"
315,132.2,33.8,"POLYGON((132.2 33.8,132.2 33.9,132.3 33.9,132.3 33.8,132.2 33.8))"
77,132.3,33.8,"POLYGON((132.3 33.8,132.3 33.9,132.4 33.9,132.4 33.8,132.3 33.8))"
241,130.8,33.9,"POLYGON((130.8 33.9,130.8 34.0,130.9 34.0,130.9 33.9,130.8 33.9))"
4470,130.9,33.9,"POLYGON((130.9 33.9,130.9 34.0,131.0 34.0,131.0 33.9,130.9 33.9))"
1,131.0,33.9,"POLYGON((131.0 33.9,131.0 34.0,131.1 34.0,131.1 33.9,131.0 33.9))"
3615,131.1,33.9,"POLYGON((131.1 33.9,131.1 34.0,131.2 34.0,131.2 33.9,131.1 33.9))"
7524,131.2,33.9,"POLYGON((131.2 33.9,131.2 34.0,131.3 34.0,131.3 33.9,131.2 33.9))"
3223,131.3,33.9,"POLYGON((131.3 33.9,131.3 34.0,131.4 34.0,131.4 33.9,131.3 33.9))"
322,131.4,33.9,"POLYGON((131.4 33.9,131.4 34.0,131.5 34.0,131.5 33.9,131.4 33.9))"
6,131.5,33.9,"POLYGON((131.5 33.9,131.5 34.0,131.6 34.0,131.6 33.9,131.5 33.9))"
319,131.7,33.9,"POLYGON((131.7 33.9,131.7 34.0,131.8 34.0,131.8 33.9,131.7 33.9))"
1027,131.8,33.9,"POLYGON((131.8 33.9,131.8 34.0,131.9 34.0,131.9 33.9,131.8 33.9))"
978,131.9,33.9,"POLYGON((131.9 33.9,131.9 34.0,132.0 34.0,132.0 33.9,131.9 33.9))"
8494,132.0,33.9,"POLYGON((132.0 33.9,132.0 34.0,132.1 34.0,132.1 33.9,132.0 33.9))"
4419,132.1,33.9,"POLYGON((132.1 33.9,132.1 34.0,132.2 34.0,132.2 33.9,132.1 33.9))"
863,132.2,33.9,"POLYGON((132.2 33.9,132.2 34.0,132.3 34.0,132.3 33.9,132.2 33.9))"
331,132.3,33.9,"POLYGON((132.3 33.9,132.3 34.0,132.4 34.0,132.4 33.9,132.3 33.9))"
407,130.8,34.0,"POLYGON((130.8 34.0,130.8 34.1,130.9 34.1,130.9 34.0,130.8 34.0))"
6212,130.9,34.0,"POLYGON((130.9 34.0,130.9 34.1,131.0 34.1,131.0 34.0,130.9 34.0))"
3633,131.0,34.0,"POLYGON((131.0 34.0,131.0 34.1,131.1 34.1,131.1 34.0,131.0 34.0))"
5459,131.1,34.0,"POLYGON((131.1 34.0,131.1 34.1,131.2 34.1,131.2 34.0,131.1 34.0))"
3310,131.2,34.0,"POLYGON((131.2 34.0,131.2 34.1,131.3 34.1,131.3 34.0,131.2 34.0))"
5950,131.3,34.0,"POLYGON((131.3 34.0,131.3 34.1,131.4 34.1,131.4 34.0,131.3 34.0))"
6179,131.4,34.0,"POLYGON((131.4 34.0,131.4 34.1,131.5 34.1,131.5 34.0,131.4 34.0))"
9069,131.5,34.0,"POLYGON((131.5 34.0,131.5 34.1,131.6 34.1,131.6 34.0,131.5 34.0))"
3859,131.6,34.0,"POLYGON((131.6 34.0,131.6 34.1,131.7 34.1,131.7 34.0,131.6 34.0))"
3653,131.7,34.0,"POLYGON((131.7 34.0,131.7 34.1,131.8 34.1,131.8 34.0,131.7 34.0))"
9706,131.8,34.0,"POLYGON((131.8 34.0,131.8 34.1,131.9 34.1,131.9 34.0,131.8 34.0))"
3782,131.9,34.0,"POLYGON((131.9 34.0,131.9 34.1,132.0 34.1,132.0 34.0,131.9 34.0))"
4350,132.0,34.0,"POLYGON((132.0 34.0,132.0 34.1,132.1 34.1,132.1 34.0,132.0 34.0))"
2417,132.1,34.0,"POLYGON((132.1 34.0,132.1 34.1,132.2 34.1,132.2 34.0,132.1 34.0))"
1477,132.2,34.0,"POLYGON((132.2 34.0,132.2 34.1,132.3 34.1,132.3 34.0,132.2 34.0))"
37,130.7,34.1,"POLYGON((130.7 34.1,130.7 34.2,130.8 34.2,130.8 34.1,130.7 34.1))"
731,130.8,34.1,"POLYGON((130.8 34.1,130.8 34.2,130.9 34.2,130.9 34.1,130.8 34.1))"
3368,130.9,34.1,"POLYGON((130.9 34.1,130.9 34.2,131.0 34.2,131.0 34.1,130.9 34.1))"
64,131.0,34.1,"POLYGON((131.0 34.1,131.0 34.2,131.1 34.2,131.1 34.1,131.0 34.1))"
1806,131.1,34.1,"POLYGON((131.1 34.1,131.1 34.2,131.2 34.2,131.2 34.1,131.1 34.1))"
2111,131.2,34.1,"POLYGON((131.2 34.1,131.2 34.2,131.3 34.2,131.3 34.1,131.2 34.1))"
2303,131.3,34.1,"POLYGON((131.3 34.1,131.3 34.2,131.4 34.2,131.4 34.1,131.3 34.1))"
8755,131.4,34.1,"POLYGON((131.4 34.1,131.4 34.2,131.5 34.2,131.5 34.1,131.4 34.1))"
4640,131.5,34.1,"POLYGON((131.5 34.1,131.5 34.2,131.6 34.2,131.6 34.1,131.5 34.1))"
251,131.6,34.1,"POLYGON((131.6 34.1,131.6 34.2,131.7 34.2,131.7 34.1,131.6 34.1))"
416,131.7,34.1,"POLYGON((131.7 34.1,131.7 34.2,131.8 34.2,131.8 34.1,131.7 34.1))"
45,131.8,34.1,"POLYGON((131.8 34.1,131.8 34.2,131.9 34.2,131.9 34.1,131.8 34.1))"
422,132.0,34.1,"POLYGON((132.0 34.1,132.0 34.2,132.1 34.2,132.1 34.1,132.0 34.1))"
2621,132.1,34.1,"POLYGON((132.1 34.1,132.1 34.2,132.2 34.2,132.2 34.1,132.1 34.1))"
1952,132.2,34.1,"POLYGON((132.2 34.1,132.2 34.2,132.3 34.2,132.3 34.1,132.2 34.1))"
483,130.9,34.2,"POLYGON((130.9 34.2,130.9 34.3,131.0 34.3,131.0 34.2,130.9 34.2))"
31,131.0,34.2,"POLYGON((131.0 34.2,131.0 34.3,131.1 34.3,131.1 34.2,131.0 34.2))"
754,131.1,34.2,"POLYGON((131.1 34.2,131.1 34.3,131.2 34.3,131.2 34.2,131.1 34.2))"
2143,131.2,34.2,"POLYGON((131.2 34.2,131.2 34.3,131.3 34.3,131.3 34.2,131.2 34.2))"
237,131.3,34.2,"POLYGON((131.3 34.2,131.3 34.3,131.4 34.3,131.4 34.2,131.3 34.2))"
130,131.4,34.2,"POLYGON((131.4 34.2,131.4 34.3,131.5 34.3,131.5 34.2,131.4 34.2))"
1020,131.5,34.2,"POLYGON((131.5 34.2,131.5 34.3,131.6 34.3,131.6 34.2,131.5 34.2))"
5,132.1,34.2,"POLYGON((132.1 34.2,132.1 34.3,132.2 34.3,132.2 34.2,132.1 34.2))"
195,132.2,34.2,"POLYGON((132.2 34.2,132.2 34.3,132.3 34.3,132.3 34.2,132.2 34.2))"
28,131.0,34.3,"POLYGON((131.0 34.3,131.0 34.4,131.1 34.4,131.1 34.3,131.0 34.3))"
3318,131.1,34.3,"POLYGON((131.1 34.3,131.1 34.4,131.2 34.4,131.2 34.3,131.1 34.3))"
1723,131.2,34.3,"POLYGON((131.2 34.3,131.2 34.4,131.3 34.4,131.3 34.3,131.2 34.3))"
914,131.3,34.3,"POLYGON((131.3 34.3,131.3 34.4,131.4 34.4,131.4 34.3,131.3 34.3))"
878,131.4,34.3,"POLYGON((131.4 34.3,131.4 34.4,131.5 34.4,131.5 34.3,131.4 34.3))"
513,131.1,34.4,"POLYGON((131.1 34.4,131.1 34.5,131.2 34.5,131.2 34.4,131.1 34.4))"
514,131.2,34.4,"POLYGON((131.2 34.4,131.2 34.5,131.3 34.5,131.3 34.4,131.2 34.4))"
2436,131.3,34.4,"POLYGON((131.3 34.4,131.3 34.5,131.4 34.5,131.4 34.4,131.3 34.4))"
4538,131.4,34.4,"POLYGON((131.4 34.4,131.4 34.5,131.5 34.5,131.5 34.4,131.4 34.4))"
