count,lon,lat,area
61,126.6,35.9,"POLYGON((126.6 35.9,126.6 36.0,126.7 36.0,126.7 35.9,126.6 35.9))"
4,127.4,35.9,"POLYGON((127.4 35.9,127.4 36.0,127.5 36.0,127.5 35.9,127.4 35.9))"
35,127.5,35.9,"POLYGON((127.5 35.9,127.5 36.0,127.6 36.0,127.6 35.9,127.5 35.9))"
7681,126.6,36.0,"POLYGON((126.6 36.0,126.6 36.1,126.7 36.1,126.7 36.0,126.6 36.0))"
6717,126.7,36.0,"POLYGON((126.7 36.0,126.7 36.1,126.8 36.1,126.8 36.0,126.7 36.0))"
2205,126.8,36.0,"POLYGON((126.8 36.0,126.8 36.1,126.9 36.1,126.9 36.0,126.8 36.0))"
632,127.0,36.0,"POLYGON((127.0 36.0,127.0 36.1,127.1 36.1,127.1 36.0,127.0 36.0))"
507,127.1,36.0,"POLYGON((127.1 36.0,127.1 36.1,127.2 36.1,127.2 36.0,127.1 36.0))"
5,127.2,36.0,"POLYGON((127.2 36.0,127.2 36.1,127.3 36.1,127.3 36.0,127.2 36.0))"
215,127.3,36.0,"POLYGON((127.3 36.0,127.3 36.1,127.4 36.1,127.4 36.0,127.3 36.0))"
3009,127.4,36.0,"POLYGON((127.4 36.0,127.4 36.1,127.5 36.1,127.5 36.0,127.4 36.0))"
3713,127.5,36.0,"POLYGON((127.5 36.0,127.5 36.1,127.6 36.1,127.6 36.0,127.5 36.0))"
100,127.6,36.0,"POLYGON((127.6 36.0,127.6 36.1,127.7 36.1,127.7 36.0,127.6 36.0))"
102,126.4,36.1,"POLYGON((126.4 36.1,126.4 36.2,126.5 36.2,126.5 36.1,126.4 36.1))"
3313,126.5,36.1,"POLYGON((126.5 36.1,126.5 36.2,126.6 36.2,126.6 36.1,126.5 36.1))"
4755,126.6,36.1,"POLYGON((126.6 36.1,126.6 36.2,126.7 36.2,126.7 36.1,126.6 36.1))"
4582,126.7,36.1,"POLYGON((126.7 36.1,126.7 36.2,126.8 36.2,126.8 36.1,126.7 36.1))"
3537,126.8,36.1,"POLYGON((126.8 36.1,126.8 36.2,126.9 36.2,126.9 36.1,126.8 36.1))"
2405,126.9,36.1,"POLYGON((126.9 36.1,126.9 36.2,127.0 36.2,127.0 36.1,126.9 36.1))"
11222,127.0,36.1,"POLYGON((127.0 36.1,127.0 36.2,127.1 36.2,127.1 36.1,127.0 36.1))"
7444,127.1,36.1,"POLYGON((127.1 36.1,127.1 36.2,127.2 36.2,127.2 36.1,127.1 36.1))"
3729,127.2,36.1,"POLYGON((127.2 36.1,127.2 36.2,127.3 36.2,127.3 36.1,127.2 36.1))"
2859,127.3,36.1,"POLYGON((127.3 36.1,127.3 36.2,127.4 36.2,127.4 36.1,127.3 36.1))"
8571,127.4,36.1,"POLYGON((127.4 36.1,127.4 36.2,127.5 36.2,127.5 36.1,127.4 36.1))"
3237,127.5,36.1,"POLYGON((127.5 36.1,127.5 36.2,127.6 36.2,127.6 36.1,127.5 36.1))"
3,127.6,36.1,"POLYGON((127.6 36.1,127.6 36.2,127.7 36.2,127.7 36.1,127.6 36.1))"
1,125.9,36.2,"POLYGON((125.9 36.2,125.9 36.3,126.0 36.3,126.0 36.2,125.9 36.2))"
170,126.0,36.2,"POLYGON((126.0 36.2,126.0 36.3,126.1 36.3,126.1 36.2,126.0 36.2))"
1,126.1,36.2,"POLYGON((126.1 36.2,126.1 36.3,126.2 36.3,126.2 36.2,126.1 36.2))"
94,126.2,36.2,"POLYGON((126.2 36.2,126.2 36.3,126.3 36.3,126.3 36.2,126.2 36.2))"
3168,126.5,36.2,"POLYGON((126.5 36.2,126.5 36.3,126.6 36.3,126.6 36.2,126.5 36.2))"
3087,126.6,36.2,"POLYGON((126.6 36.2,126.6 36.3,126.7 36.3,126.7 36.2,126.6 36.2))"
3801,126.7,36.2,"POLYGON((126.7 36.2,126.7 36.3,126.8 36.3,126.8 36.2,126.7 36.2))"
6097,126.8,36.2,"POLYGON((126.8 36.2,126.8 36.3,126.9 36.3,126.9 36.2,126.8 36.2))"
6952,126.9,36.2,"POLYGON((126.9 36.2,126.9 36.3,127.0 36.3,127.0 36.2,126.9 36.2))"
9992,127.0,36.2,"POLYGON((127.0 36.2,127.0 36.3,127.1 36.3,127.1 36.2,127.0 36.2))"
6219,127.1,36.2,"POLYGON((127.1 36.2,127.1 36.3,127.2 36.3,127.2 36.2,127.1 36.2))"
4301,127.2,36.2,"POLYGON((127.2 36.2,127.2 36.3,127.3 36.3,127.3 36.2,127.2 36.2))"
867,127.3,36.2,"POLYGON((127.3 36.2,127.3 36.3,127.4 36.3,127.4 36.2,127.3 36.2))"
544,127.4,36.2,"POLYGON((127.4 36.2,127.4 36.3,127.5 36.3,127.5 36.2,127.4 36.2))"
1109,127.5,36.2,"POLYGON((127.5 36.2,127.5 36.3,127.6 36.3,127.6 36.2,127.5 36.2))"
84,126.2,36.3,"POLYGON((126.2 36.3,126.2 36.4,126.3 36.4,126.3 36.3,126.2 36.3))"
530,126.3,36.3,"POLYGON((126.3 36.3,126.3 36.4,126.4 36.4,126.4 36.3,126.3 36.3))"
706,126.4,36.3,"POLYGON((126.4 36.3,126.4 36.4,126.5 36.4,126.5 36.3,126.4 36.3))"
9578,126.5,36.3,"POLYGON((126.5 36.3,126.5 36.4,126.6 36.4,126.6 36.3,126.5 36.3))"
6348,126.6,36.3,"POLYGON((126.6 36.3,126.6 36.4,126.7 36.4,126.7 36.3,126.6 36.3))"
2317,126.7,36.3,"POLYGON((126.7 36.3,126.7 36.4,126.8 36.4,126.8 36.3,126.7 36.3))"
