count,lon,lat,area
3,25.0,54.5,"POLYGON((25.0 54.5,25.0 54.6,25.1 54.6,25.1 54.5,25.0 54.5))"
1229,25.1,54.5,"POLYGON((25.1 54.5,25.1 54.6,25.2 54.6,25.2 54.5,25.1 54.5))"
1500,25.2,54.5,"POLYGON((25.2 54.5,25.2 54.6,25.3 54.6,25.3 54.5,25.2 54.5))"
17,25.3,54.5,"POLYGON((25.3 54.5,25.3 54.6,25.4 54.6,25.4 54.5,25.3 54.5))"
3263,25.0,54.6,"POLYGON((25.0 54.6,25.0 54.7,25.1 54.7,25.1 54.6,25.0 54.6))"
3261,25.1,54.6,"POLYGON((25.1 54.6,25.1 54.7,25.2 54.7,25.2 54.6,25.1 54.6))"
12343,25.2,54.6,"POLYGON((25.2 54.6,25.2 54.7,25.3 54.7,25.3 54.6,25.2 54.6))"
10367,25.3,54.6,"POLYGON((25.3 54.6,25.3 54.7,25.4 54.7,25.4 54.6,25.3 54.6))"
2383,25.4,54.6,"POLYGON((25.4 54.6,25.4 54.7,25.5 54.7,25.5 54.6,25.4 54.6))"
4227,25.1,54.7,"POLYGON((25.1 54.7,25.1 54.8,25.2 54.8,25.2 54.7,25.1 54.7))"
10702,25.2,54.7,"POLYGON((25.2 54.7,25.2 54.8,25.3 54.8,25.3 54.7,25.2 54.7))"
16449,25.3,54.7,"POLYGON((25.3 54.7,25.3 54.8,25.4 54.8,25.4 54.7,25.3 54.7))"
4286,25.4,54.7,"POLYGON((25.4 54.7,25.4 54.8,25.5 54.8,25.5 54.7,25.4 54.7))"
40,25.2,54.8,"POLYGON((25.2 54.8,25.2 54.9,25.3 54.9,25.3 54.8,25.2 54.8))"
3383,25.3,54.8,"POLYGON((25.3 54.8,25.3 54.9,25.4 54.9,25.4 54.8,25.3 54.8))"
19,25.4,54.8,"POLYGON((25.4 54.8,25.4 54.9,25.5 54.9,25.5 54.8,25.4 54.8))"
