count,lon,lat,area
53,5.6,50.7,"POLYGON((5.6 50.7,5.6 50.8,5.7 50.8,5.7 50.7,5.6 50.7))"
5665,5.7,50.7,"POLYGON((5.7 50.7,5.7 50.8,5.8 50.8,5.8 50.7,5.7 50.7))"
1856,5.8,50.7,"POLYGON((5.8 50.7,5.8 50.8,5.9 50.8,5.9 50.7,5.8 50.7))"
2953,5.9,50.7,"POLYGON((5.9 50.7,5.9 50.8,6.0 50.8,6.0 50.7,5.9 50.7))"
5582,6.0,50.7,"POLYGON((6.0 50.7,6.0 50.8,6.1 50.8,6.1 50.7,6.0 50.7))"
37231,5.6,50.8,"POLYGON((5.6 50.8,5.6 50.9,5.7 50.9,5.7 50.8,5.6 50.8))"
43869,5.7,50.8,"POLYGON((5.7 50.8,5.7 50.9,5.8 50.9,5.8 50.8,5.7 50.8))"
17220,5.8,50.8,"POLYGON((5.8 50.8,5.8 50.9,5.9 50.9,5.9 50.8,5.8 50.8))"
32485,5.9,50.8,"POLYGON((5.9 50.8,5.9 50.9,6.0 50.9,6.0 50.8,5.9 50.8))"
41732,6.0,50.8,"POLYGON((6.0 50.8,6.0 50.9,6.1 50.9,6.1 50.8,6.0 50.8))"
2,5.6,50.9,"POLYGON((5.6 50.9,5.6 51.0,5.7 51.0,5.7 50.9,5.6 50.9))"
18233,5.7,50.9,"POLYGON((5.7 50.9,5.7 51.0,5.8 51.0,5.8 50.9,5.7 50.9))"
43165,5.8,50.9,"POLYGON((5.8 50.9,5.8 51.0,5.9 51.0,5.9 50.9,5.8 50.9))"
47228,5.9,50.9,"POLYGON((5.9 50.9,5.9 51.0,6.0 51.0,6.0 50.9,5.9 50.9))"
12809,6.0,50.9,"POLYGON((6.0 50.9,6.0 51.0,6.1 51.0,6.1 50.9,6.0 50.9))"
3430,5.7,51.0,"POLYGON((5.7 51.0,5.7 51.1,5.8 51.1,5.8 51.0,5.7 51.0))"
26175,5.8,51.0,"POLYGON((5.8 51.0,5.8 51.1,5.9 51.1,5.9 51.0,5.8 51.0))"
1844,5.9,51.0,"POLYGON((5.9 51.0,5.9 51.1,6.0 51.1,6.0 51.0,5.9 51.0))"
24,6.0,51.0,"POLYGON((6.0 51.0,6.0 51.1,6.1 51.1,6.1 51.0,6.0 51.0))"
169,5.6,51.1,"POLYGON((5.6 51.1,5.6 51.2,5.7 51.2,5.7 51.1,5.6 51.1))"
2613,5.7,51.1,"POLYGON((5.7 51.1,5.7 51.2,5.8 51.2,5.8 51.1,5.7 51.1))"
17220,5.8,51.1,"POLYGON((5.8 51.1,5.8 51.2,5.9 51.2,5.9 51.1,5.8 51.1))"
20891,5.9,51.1,"POLYGON((5.9 51.1,5.9 51.2,6.0 51.2,6.0 51.1,5.9 51.1))"
18952,6.0,51.1,"POLYGON((6.0 51.1,6.0 51.2,6.1 51.2,6.1 51.1,6.0 51.1))"
177,6.1,51.1,"POLYGON((6.1 51.1,6.1 51.2,6.2 51.2,6.2 51.1,6.1 51.1))"
28,3.3,51.2,"POLYGON((3.3 51.2,3.3 51.3,3.4 51.3,3.4 51.2,3.3 51.2))"
2089,3.4,51.2,"POLYGON((3.4 51.2,3.4 51.3,3.5 51.3,3.5 51.2,3.4 51.2))"
