count,lon,lat,area
27,170.1,-46.1,"POLYGON((170.1 -46.1,170.1 -46.0,170.2 -46.0,170.2 -46.1,170.1 -46.1))"
68,170.2,-46.1,"POLYGON((170.2 -46.1,170.2 -46.0,170.3 -46.0,170.3 -46.1,170.2 -46.1))"
19,170.0,-46.0,"POLYGON((170.0 -46.0,170.0 -45.9,170.1 -45.9,170.1 -46.0,170.0 -46.0))"
263,170.1,-46.0,"POLYGON((170.1 -46.0,170.1 -45.9,170.2 -45.9,170.2 -46.0,170.1 -46.0))"
443,170.2,-46.0,"POLYGON((170.2 -46.0,170.2 -45.9,170.3 -45.9,170.3 -46.0,170.2 -46.0))"
1428,170.3,-46.0,"POLYGON((170.3 -46.0,170.3 -45.9,170.4 -45.9,170.4 -46.0,170.3 -46.0))"
6669,170.4,-46.0,"POLYGON((170.4 -46.0,170.4 -45.9,170.5 -45.9,170.5 -46.0,170.4 -46.0))"
2643,170.5,-46.0,"POLYGON((170.5 -46.0,170.5 -45.9,170.6 -45.9,170.6 -46.0,170.5 -46.0))"
6,170.0,-45.9,"POLYGON((170.0 -45.9,170.0 -45.8,170.1 -45.8,170.1 -45.9,170.0 -45.9))"
154,170.1,-45.9,"POLYGON((170.1 -45.9,170.1 -45.8,170.2 -45.8,170.2 -45.9,170.1 -45.9))"
628,170.2,-45.9,"POLYGON((170.2 -45.9,170.2 -45.8,170.3 -45.8,170.3 -45.9,170.2 -45.9))"
8128,170.3,-45.9,"POLYGON((170.3 -45.9,170.3 -45.8,170.4 -45.8,170.4 -45.9,170.3 -45.9))"
17222,170.4,-45.9,"POLYGON((170.4 -45.9,170.4 -45.8,170.5 -45.8,170.5 -45.9,170.4 -45.9))"
16608,170.5,-45.9,"POLYGON((170.5 -45.9,170.5 -45.8,170.6 -45.8,170.6 -45.9,170.5 -45.9))"
2704,170.6,-45.9,"POLYGON((170.6 -45.9,170.6 -45.8,170.7 -45.8,170.7 -45.9,170.6 -45.9))"
91,170.7,-45.9,"POLYGON((170.7 -45.9,170.7 -45.8,170.8 -45.8,170.8 -45.9,170.7 -45.9))"
4,169.8,-45.8,"POLYGON((169.8 -45.8,169.8 -45.7,169.9 -45.7,169.9 -45.8,169.8 -45.8))"
9,169.9,-45.8,"POLYGON((169.9 -45.8,169.9 -45.7,170.0 -45.7,170.0 -45.8,169.9 -45.8))"
21,170.0,-45.8,"POLYGON((170.0 -45.8,170.0 -45.7,170.1 -45.7,170.1 -45.8,170.0 -45.8))"
17,170.1,-45.8,"POLYGON((170.1 -45.8,170.1 -45.7,170.2 -45.7,170.2 -45.8,170.1 -45.8))"
40,170.2,-45.8,"POLYGON((170.2 -45.8,170.2 -45.7,170.3 -45.7,170.3 -45.8,170.2 -45.8))"
20,170.3,-45.8,"POLYGON((170.3 -45.8,170.3 -45.7,170.4 -45.7,170.4 -45.8,170.3 -45.8))"
1,170.4,-45.8,"POLYGON((170.4 -45.8,170.4 -45.7,170.5 -45.7,170.5 -45.8,170.4 -45.8))"
1030,170.5,-45.8,"POLYGON((170.5 -45.8,170.5 -45.7,170.6 -45.7,170.6 -45.8,170.5 -45.8))"
574,170.6,-45.8,"POLYGON((170.6 -45.8,170.6 -45.7,170.7 -45.7,170.7 -45.8,170.6 -45.8))"
262,170.7,-45.8,"POLYGON((170.7 -45.8,170.7 -45.7,170.8 -45.7,170.8 -45.8,170.7 -45.8))"
1,169.8,-45.7,"POLYGON((169.8 -45.7,169.8 -45.6,169.9 -45.6,169.9 -45.7,169.8 -45.7))"
11,169.9,-45.7,"POLYGON((169.9 -45.7,169.9 -45.6,170.0 -45.6,170.0 -45.7,169.9 -45.7))"
14,170.0,-45.7,"POLYGON((170.0 -45.7,170.0 -45.6,170.1 -45.6,170.1 -45.7,170.0 -45.7))"
5,170.1,-45.7,"POLYGON((170.1 -45.7,170.1 -45.6,170.2 -45.6,170.2 -45.7,170.1 -45.7))"
13,170.2,-45.7,"POLYGON((170.2 -45.7,170.2 -45.6,170.3 -45.6,170.3 -45.7,170.2 -45.7))"
3,170.3,-45.7,"POLYGON((170.3 -45.7,170.3 -45.6,170.4 -45.6,170.4 -45.7,170.3 -45.7))"
3,170.4,-45.7,"POLYGON((170.4 -45.7,170.4 -45.6,170.5 -45.6,170.5 -45.7,170.4 -45.7))"
56,170.5,-45.7,"POLYGON((170.5 -45.7,170.5 -45.6,170.6 -45.6,170.6 -45.7,170.5 -45.7))"
1400,170.6,-45.7,"POLYGON((170.6 -45.7,170.6 -45.6,170.7 -45.6,170.7 -45.7,170.6 -45.7))"
1,170.7,-45.7,"POLYGON((170.7 -45.7,170.7 -45.6,170.8 -45.6,170.8 -45.7,170.7 -45.7))"
37,170.0,-45.6,"POLYGON((170.0 -45.6,170.0 -45.5,170.1 -45.5,170.1 -45.6,170.0 -45.6))"
301,170.1,-45.6,"POLYGON((170.1 -45.6,170.1 -45.5,170.2 -45.5,170.2 -45.6,170.1 -45.6))"
18,170.2,-45.6,"POLYGON((170.2 -45.6,170.2 -45.5,170.3 -45.5,170.3 -45.6,170.2 -45.6))"
3,170.3,-45.6,"POLYGON((170.3 -45.6,170.3 -45.5,170.4 -45.5,170.4 -45.6,170.3 -45.6))"
3,170.4,-45.6,"POLYGON((170.4 -45.6,170.4 -45.5,170.5 -45.5,170.5 -45.6,170.4 -45.6))"
11,170.5,-45.6,"POLYGON((170.5 -45.6,170.5 -45.5,170.6 -45.5,170.6 -45.6,170.5 -45.6))"
567,170.6,-45.6,"POLYGON((170.6 -45.6,170.6 -45.5,170.7 -45.5,170.7 -45.6,170.6 -45.6))"
22,170.7,-45.6,"POLYGON((170.7 -45.6,170.7 -45.5,170.8 -45.5,170.8 -45.6,170.7 -45.6))"
3,170.0,-45.5,"POLYGON((170.0 -45.5,170.0 -45.4,170.1 -45.4,170.1 -45.5,170.0 -45.5))"
52,170.1,-45.5,"POLYGON((170.1 -45.5,170.1 -45.4,170.2 -45.4,170.2 -45.5,170.1 -45.5))"
