count,lon,lat,area
7,46.3,43.1,"POLYGON((46.3 43.1,46.3 43.2,46.4 43.2,46.4 43.1,46.3 43.1))"
966,46.0,43.2,"POLYGON((46.0 43.2,46.0 43.3,46.1 43.3,46.1 43.2,46.0 43.2))"
837,46.1,43.2,"POLYGON((46.1 43.2,46.1 43.3,46.2 43.3,46.2 43.2,46.1 43.2))"
8222,46.2,43.2,"POLYGON((46.2 43.2,46.2 43.3,46.3 43.3,46.3 43.2,46.2 43.2))"
4423,46.3,43.2,"POLYGON((46.3 43.2,46.3 43.3,46.4 43.3,46.4 43.2,46.3 43.2))"
957,46.4,43.2,"POLYGON((46.4 43.2,46.4 43.3,46.5 43.3,46.5 43.2,46.4 43.2))"
2099,45.9,43.3,"POLYGON((45.9 43.3,45.9 43.4,46.0 43.4,46.0 43.3,45.9 43.3))"
8034,46.0,43.3,"POLYGON((46.0 43.3,46.0 43.4,46.1 43.4,46.1 43.3,46.0 43.3))"
20042,46.1,43.3,"POLYGON((46.1 43.3,46.1 43.4,46.2 43.4,46.2 43.3,46.1 43.3))"
304,46.2,43.3,"POLYGON((46.2 43.3,46.2 43.4,46.3 43.4,46.3 43.3,46.2 43.3))"
4734,46.3,43.3,"POLYGON((46.3 43.3,46.3 43.4,46.4 43.4,46.4 43.3,46.3 43.3))"
859,46.0,43.4,"POLYGON((46.0 43.4,46.0 43.5,46.1 43.5,46.1 43.4,46.0 43.4))"
295,46.1,43.4,"POLYGON((46.1 43.4,46.1 43.5,46.2 43.5,46.2 43.4,46.1 43.4))"
507,46.2,43.4,"POLYGON((46.2 43.4,46.2 43.5,46.3 43.5,46.3 43.4,46.2 43.4))"
