count,lon,lat,area
376,69.9,55.2,"POLYGON((69.9 55.2,69.9 55.3,70.0 55.3,70.0 55.2,69.9 55.2))"
101,70.4,55.2,"POLYGON((70.4 55.2,70.4 55.3,70.5 55.3,70.5 55.2,70.4 55.2))"
100,68.8,55.3,"POLYGON((68.8 55.3,68.8 55.4,68.9 55.4,68.9 55.3,68.8 55.3))"
54,69.1,55.3,"POLYGON((69.1 55.3,69.1 55.4,69.2 55.4,69.2 55.3,69.1 55.3))"
80,69.3,55.3,"POLYGON((69.3 55.3,69.3 55.4,69.4 55.4,69.4 55.3,69.3 55.3))"
78,69.4,55.3,"POLYGON((69.4 55.3,69.4 55.4,69.5 55.4,69.5 55.3,69.4 55.3))"
37,68.5,55.4,"POLYGON((68.5 55.4,68.5 55.5,68.6 55.5,68.6 55.4,68.5 55.4))"
130,68.6,55.4,"POLYGON((68.6 55.4,68.6 55.5,68.7 55.5,68.7 55.4,68.6 55.4))"
177,68.8,55.4,"POLYGON((68.8 55.4,68.8 55.5,68.9 55.5,68.9 55.4,68.8 55.4))"
341,69.3,55.4,"POLYGON((69.3 55.4,69.3 55.5,69.4 55.5,69.4 55.4,69.3 55.4))"
150,69.4,55.4,"POLYGON((69.4 55.4,69.4 55.5,69.5 55.5,69.5 55.4,69.4 55.4))"
295,69.9,55.4,"POLYGON((69.9 55.4,69.9 55.5,70.0 55.5,70.0 55.4,69.9 55.4))"
122,70.4,55.4,"POLYGON((70.4 55.4,70.4 55.5,70.5 55.5,70.5 55.4,70.4 55.4))"
19,68.5,55.5,"POLYGON((68.5 55.5,68.5 55.6,68.6 55.6,68.6 55.5,68.5 55.5))"
109,68.8,55.5,"POLYGON((68.8 55.5,68.8 55.6,68.9 55.6,68.9 55.5,68.8 55.5))"
47,69.1,55.5,"POLYGON((69.1 55.5,69.1 55.6,69.2 55.6,69.2 55.5,69.1 55.5))"
40,69.2,55.5,"POLYGON((69.2 55.5,69.2 55.6,69.3 55.6,69.3 55.5,69.2 55.5))"
172,69.3,55.5,"POLYGON((69.3 55.5,69.3 55.6,69.4 55.6,69.4 55.5,69.3 55.5))"
145,69.4,55.5,"POLYGON((69.4 55.5,69.4 55.6,69.5 55.6,69.5 55.5,69.4 55.5))"
1894,70.3,55.5,"POLYGON((70.3 55.5,70.3 55.6,70.4 55.6,70.4 55.5,70.3 55.5))"
265,70.6,55.5,"POLYGON((70.6 55.5,70.6 55.6,70.7 55.6,70.7 55.5,70.6 55.5))"
172,68.2,55.6,"POLYGON((68.2 55.6,68.2 55.7,68.3 55.7,68.3 55.6,68.2 55.6))"
315,68.4,55.6,"POLYGON((68.4 55.6,68.4 55.7,68.5 55.7,68.5 55.6,68.4 55.6))"
23,68.7,55.6,"POLYGON((68.7 55.6,68.7 55.7,68.8 55.7,68.8 55.6,68.7 55.6))"
127,69.1,55.6,"POLYGON((69.1 55.6,69.1 55.7,69.2 55.7,69.2 55.6,69.1 55.6))"
3342,69.2,55.6,"POLYGON((69.2 55.6,69.2 55.7,69.3 55.7,69.3 55.6,69.2 55.6))"
68,69.3,55.6,"POLYGON((69.3 55.6,69.3 55.7,69.4 55.7,69.4 55.6,69.3 55.6))"
184,70.1,55.6,"POLYGON((70.1 55.6,70.1 55.7,70.2 55.7,70.2 55.6,70.1 55.6))"
250,70.5,55.6,"POLYGON((70.5 55.6,70.5 55.7,70.6 55.7,70.6 55.6,70.5 55.6))"
175,67.6,55.7,"POLYGON((67.6 55.7,67.6 55.8,67.7 55.8,67.7 55.7,67.6 55.7))"
25,67.7,55.7,"POLYGON((67.7 55.7,67.7 55.8,67.8 55.8,67.8 55.7,67.7 55.7))"
228,68.0,55.7,"POLYGON((68.0 55.7,68.0 55.8,68.1 55.8,68.1 55.7,68.0 55.7))"
147,68.2,55.7,"POLYGON((68.2 55.7,68.2 55.8,68.3 55.8,68.3 55.7,68.2 55.7))"
318,68.3,55.7,"POLYGON((68.3 55.7,68.3 55.8,68.4 55.8,68.4 55.7,68.3 55.7))"
279,68.6,55.7,"POLYGON((68.6 55.7,68.6 55.8,68.7 55.8,68.7 55.7,68.6 55.7))"
42,68.8,55.7,"POLYGON((68.8 55.7,68.8 55.8,68.9 55.8,68.9 55.7,68.8 55.7))"
181,68.9,55.7,"POLYGON((68.9 55.7,68.9 55.8,69.0 55.8,69.0 55.7,68.9 55.7))"
213,69.2,55.7,"POLYGON((69.2 55.7,69.2 55.8,69.3 55.8,69.3 55.7,69.2 55.7))"
