count,lon,lat,area
12,42.9,47.5,"POLYGON((42.9 47.5,42.9 47.6,43.0 47.6,43.0 47.5,42.9 47.5))"
20,43.0,47.5,"POLYGON((43.0 47.5,43.0 47.6,43.1 47.6,43.1 47.5,43.0 47.5))"
430,43.1,47.5,"POLYGON((43.1 47.5,43.1 47.6,43.2 47.6,43.2 47.5,43.1 47.5))"
95,43.4,47.5,"POLYGON((43.4 47.5,43.4 47.6,43.5 47.6,43.5 47.5,43.4 47.5))"
323,43.5,47.5,"POLYGON((43.5 47.5,43.5 47.6,43.6 47.6,43.6 47.5,43.5 47.5))"
248,42.9,47.6,"POLYGON((42.9 47.6,42.9 47.7,43.0 47.7,43.0 47.6,42.9 47.6))"
292,43.0,47.6,"POLYGON((43.0 47.6,43.0 47.7,43.1 47.7,43.1 47.6,43.0 47.6))"
7995,43.1,47.6,"POLYGON((43.1 47.6,43.1 47.7,43.2 47.7,43.2 47.6,43.1 47.6))"
162,43.2,47.6,"POLYGON((43.2 47.6,43.2 47.7,43.3 47.7,43.3 47.6,43.2 47.6))"
94,43.3,47.6,"POLYGON((43.3 47.6,43.3 47.7,43.4 47.7,43.4 47.6,43.3 47.6))"
324,43.4,47.6,"POLYGON((43.4 47.6,43.4 47.7,43.5 47.7,43.5 47.6,43.4 47.6))"
212,43.5,47.6,"POLYGON((43.5 47.6,43.5 47.7,43.6 47.7,43.6 47.6,43.5 47.6))"
31,43.6,47.6,"POLYGON((43.6 47.6,43.6 47.7,43.7 47.7,43.7 47.6,43.6 47.6))"
1,42.7,47.7,"POLYGON((42.7 47.7,42.7 47.8,42.8 47.8,42.8 47.7,42.7 47.7))"
362,42.8,47.7,"POLYGON((42.8 47.7,42.8 47.8,42.9 47.8,42.9 47.7,42.8 47.7))"
196,43.0,47.7,"POLYGON((43.0 47.7,43.0 47.8,43.1 47.8,43.1 47.7,43.0 47.7))"
16,43.3,47.7,"POLYGON((43.3 47.7,43.3 47.8,43.4 47.8,43.4 47.7,43.3 47.7))"
180,43.4,47.7,"POLYGON((43.4 47.7,43.4 47.8,43.5 47.8,43.5 47.7,43.4 47.7))"
35,43.5,47.7,"POLYGON((43.5 47.7,43.5 47.8,43.6 47.8,43.6 47.7,43.5 47.7))"
2,43.6,47.7,"POLYGON((43.6 47.7,43.6 47.8,43.7 47.8,43.7 47.7,43.6 47.7))"
88,43.8,47.7,"POLYGON((43.8 47.7,43.8 47.8,43.9 47.8,43.9 47.7,43.8 47.7))"
372,42.9,47.8,"POLYGON((42.9 47.8,42.9 47.9,43.0 47.9,43.0 47.8,42.9 47.8))"
526,43.0,47.8,"POLYGON((43.0 47.8,43.0 47.9,43.1 47.9,43.1 47.8,43.0 47.8))"
321,43.1,47.8,"POLYGON((43.1 47.8,43.1 47.9,43.2 47.9,43.2 47.8,43.1 47.8))"
23,43.2,47.8,"POLYGON((43.2 47.8,43.2 47.9,43.3 47.9,43.3 47.8,43.2 47.8))"
4,43.3,47.8,"POLYGON((43.3 47.8,43.3 47.9,43.4 47.9,43.4 47.8,43.3 47.8))"
407,43.4,47.8,"POLYGON((43.4 47.8,43.4 47.9,43.5 47.9,43.5 47.8,43.4 47.8))"
12,43.5,47.8,"POLYGON((43.5 47.8,43.5 47.9,43.6 47.9,43.6 47.8,43.5 47.8))"
70,43.6,47.8,"POLYGON((43.6 47.8,43.6 47.9,43.7 47.9,43.7 47.8,43.6 47.8))"
85,43.7,47.8,"POLYGON((43.7 47.8,43.7 47.9,43.8 47.9,43.8 47.8,43.7 47.8))"
183,43.8,47.8,"POLYGON((43.8 47.8,43.8 47.9,43.9 47.9,43.9 47.8,43.8 47.8))"
148,43.9,47.8,"POLYGON((43.9 47.8,43.9 47.9,44.0 47.9,44.0 47.8,43.9 47.8))"
348,43.0,47.9,"POLYGON((43.0 47.9,43.0 48.0,43.1 48.0,43.1 47.9,43.0 47.9))"
58,43.2,47.9,"POLYGON((43.2 47.9,43.2 48.0,43.3 48.0,43.3 47.9,43.2 47.9))"
130,43.3,47.9,"POLYGON((43.3 47.9,43.3 48.0,43.4 48.0,43.4 47.9,43.3 47.9))"
589,43.4,47.9,"POLYGON((43.4 47.9,43.4 48.0,43.5 48.0,43.5 47.9,43.4 47.9))"
42,43.5,47.9,"POLYGON((43.5 47.9,43.5 48.0,43.6 48.0,43.6 47.9,43.5 47.9))"
2607,43.6,47.9,"POLYGON((43.6 47.9,43.6 48.0,43.7 48.0,43.7 47.9,43.6 47.9))"
240,43.7,47.9,"POLYGON((43.7 47.9,43.7 48.0,43.8 48.0,43.8 47.9,43.7 47.9))"
170,43.8,47.9,"POLYGON((43.8 47.9,43.8 48.0,43.9 48.0,43.9 47.9,43.8 47.9))"
772,43.9,47.9,"POLYGON((43.9 47.9,43.9 48.0,44.0 48.0,44.0 47.9,43.9 47.9))"
352,44.0,47.9,"POLYGON((44.0 47.9,44.0 48.0,44.1 48.0,44.1 47.9,44.0 47.9))"
58,42.0,48.0,"POLYGON((42.0 48.0,42.0 48.1,42.1 48.1,42.1 48.0,42.0 48.0))"
68,42.1,48.0,"POLYGON((42.1 48.0,42.1 48.1,42.2 48.1,42.2 48.0,42.1 48.0))"
35,42.2,48.0,"POLYGON((42.2 48.0,42.2 48.1,42.3 48.1,42.3 48.0,42.2 48.0))"
439,42.3,48.0,"POLYGON((42.3 48.0,42.3 48.1,42.4 48.1,42.4 48.0,42.3 48.0))"
128,42.4,48.0,"POLYGON((42.4 48.0,42.4 48.1,42.5 48.1,42.5 48.0,42.4 48.0))"
168,42.5,48.0,"POLYGON((42.5 48.0,42.5 48.1,42.6 48.1,42.6 48.0,42.5 48.0))"
2,42.6,48.0,"POLYGON((42.6 48.0,42.6 48.1,42.7 48.1,42.7 48.0,42.6 48.0))"
399,43.1,48.0,"POLYGON((43.1 48.0,43.1 48.1,43.2 48.1,43.2 48.0,43.1 48.0))"
746,43.2,48.0,"POLYGON((43.2 48.0,43.2 48.1,43.3 48.1,43.3 48.0,43.2 48.0))"
62,43.4,48.0,"POLYGON((43.4 48.0,43.4 48.1,43.5 48.1,43.5 48.0,43.4 48.0))"
146,43.5,48.0,"POLYGON((43.5 48.0,43.5 48.1,43.6 48.1,43.6 48.0,43.5 48.0))"
24,43.8,48.0,"POLYGON((43.8 48.0,43.8 48.1,43.9 48.1,43.9 48.0,43.8 48.0))"
61,43.9,48.0,"POLYGON((43.9 48.0,43.9 48.1,44.0 48.1,44.0 48.0,43.9 48.0))"
98,44.0,48.0,"POLYGON((44.0 48.0,44.0 48.1,44.1 48.1,44.1 48.0,44.0 48.0))"
673,44.1,48.0,"POLYGON((44.1 48.0,44.1 48.1,44.2 48.1,44.2 48.0,44.1 48.0))"
