count,lon,lat,area
1,46.2,1.4,"POLYGON((46.2 1.4,46.2 1.5,46.3 1.5,46.3 1.4,46.2 1.4))"
1,14.3,1.5,"POLYGON((14.3 1.5,14.3 1.6,14.4 1.6,14.4 1.5,14.3 1.5))"
1,17.9,13.2,"POLYGON((17.9 13.2,17.9 13.3,18.0 13.3,18.0 13.2,17.9 13.2))"
2,48.7,17.1,"POLYGON((48.7 17.1,48.7 17.2,48.8 17.2,48.8 17.1,48.7 17.1))"
1,48.6,17.2,"POLYGON((48.6 17.2,48.6 17.3,48.7 17.3,48.7 17.2,48.6 17.2))"
1,48.8,17.2,"POLYGON((48.8 17.2,48.8 17.3,48.9 17.3,48.9 17.2,48.8 17.2))"
1,48.1,17.3,"POLYGON((48.1 17.3,48.1 17.4,48.2 17.4,48.2 17.3,48.1 17.3))"
1,48.4,17.4,"POLYGON((48.4 17.4,48.4 17.5,48.5 17.5,48.5 17.4,48.4 17.4))"
1,48.6,17.4,"POLYGON((48.6 17.4,48.6 17.5,48.7 17.5,48.7 17.4,48.6 17.4))"
1,47.9,17.6,"POLYGON((47.9 17.6,47.9 17.7,48.0 17.7,48.0 17.6,47.9 17.6))"
1,48.5,17.6,"POLYGON((48.5 17.6,48.5 17.7,48.6 17.7,48.6 17.6,48.5 17.6))"
1,48.4,17.7,"POLYGON((48.4 17.7,48.4 17.8,48.5 17.8,48.5 17.7,48.4 17.7))"
1,48.5,17.8,"POLYGON((48.5 17.8,48.5 17.9,48.6 17.9,48.6 17.8,48.5 17.8))"
1,48.7,17.8,"POLYGON((48.7 17.8,48.7 17.9,48.8 17.9,48.8 17.8,48.7 17.8))"
1,47.8,18.1,"POLYGON((47.8 18.1,47.8 18.2,47.9 18.2,47.9 18.1,47.8 18.1))"
1,48.0,18.2,"POLYGON((48.0 18.2,48.0 18.3,48.1 18.3,48.1 18.2,48.0 18.2))"
1,48.1,18.2,"POLYGON((48.1 18.2,48.1 18.3,48.2 18.3,48.2 18.2,48.1 18.2))"
1,47.7,18.3,"POLYGON((47.7 18.3,47.7 18.4,47.8 18.4,47.8 18.3,47.7 18.3))"
1,48.3,19.0,"POLYGON((48.3 19.0,48.3 19.1,48.4 19.1,48.4 19.0,48.3 19.0))"
2,48.6,19.0,"POLYGON((48.6 19.0,48.6 19.1,48.7 19.1,48.7 19.0,48.6 19.0))"
6,48.4,19.1,"POLYGON((48.4 19.1,48.4 19.2,48.5 19.2,48.5 19.1,48.4 19.1))"
1,48.5,19.1,"POLYGON((48.5 19.1,48.5 19.2,48.6 19.2,48.6 19.1,48.5 19.1))"
3,48.3,19.6,"POLYGON((48.3 19.6,48.3 19.7,48.4 19.7,48.4 19.6,48.3 19.6))"
1,48.2,19.8,"POLYGON((48.2 19.8,48.2 19.9,48.3 19.9,48.3 19.8,48.2 19.8))"
2,49.0,20.1,"POLYGON((49.0 20.1,49.0 20.2,49.1 20.2,49.1 20.1,49.0 20.1))"
2,49.0,20.2,"POLYGON((49.0 20.2,49.0 20.3,49.1 20.3,49.1 20.2,49.0 20.2))"
1,49.0,20.3,"POLYGON((49.0 20.3,49.0 20.4,49.1 20.4,49.1 20.3,49.0 20.3))"
1,48.6,20.5,"POLYGON((48.6 20.5,48.6 20.6,48.7 20.6,48.7 20.5,48.6 20.5))"
1,49.2,20.6,"POLYGON((49.2 20.6,49.2 20.7,49.3 20.7,49.3 20.6,49.2 20.6))"
1,49.3,20.6,"POLYGON((49.3 20.6,49.3 20.7,49.4 20.7,49.4 20.6,49.3 20.6))"
1,49.1,20.9,"POLYGON((49.1 20.9,49.1 21.0,49.2 21.0,49.2 20.9,49.1 20.9))"
2,49.0,21.0,"POLYGON((49.0 21.0,49.0 21.1,49.1 21.1,49.1 21.0,49.0 21.0))"
2,48.5,21.1,"POLYGON((48.5 21.1,48.5 21.2,48.6 21.2,48.6 21.1,48.5 21.1))"
3,49.0,21.1,"POLYGON((49.0 21.1,49.0 21.2,49.1 21.2,49.1 21.1,49.0 21.1))"
1,8.8,28.0,"POLYGON((8.8 28.0,8.8 28.1,8.9 28.1,8.9 28.0,8.8 28.0))"
1,18.1,45.8,"POLYGON((18.1 45.8,18.1 45.9,18.2 45.9,18.2 45.8,18.1 45.8))"
1,17.2,47.5,"POLYGON((17.2 47.5,17.2 47.6,17.3 47.6,17.3 47.5,17.2 47.5))"
3,17.3,47.5,"POLYGON((17.3 47.5,17.3 47.6,17.4 47.6,17.4 47.5,17.3 47.5))"
3,17.5,47.5,"POLYGON((17.5 47.5,17.5 47.6,17.6 47.6,17.6 47.5,17.5 47.5))"
2,18.0,47.5,"POLYGON((18.0 47.5,18.0 47.6,18.1 47.6,18.1 47.5,18.0 47.5))"
3,18.1,47.5,"POLYGON((18.1 47.5,18.1 47.6,18.2 47.6,18.2 47.5,18.1 47.5))"
8,17.7,47.7,"POLYGON((17.7 47.7,17.7 47.8,17.8 47.8,17.8 47.7,17.7 47.7))"
235,17.8,47.7,"POLYGON((17.8 47.7,17.8 47.8,17.9 47.8,17.9 47.7,17.8 47.7))"
