count,lon,lat,area
4,-86.6,34.4,"POLYGON((-86.6 34.4,-86.6 34.5,-86.5 34.5,-86.5 34.4,-86.6 34.4))"
126,-86.5,34.4,"POLYGON((-86.5 34.4,-86.5 34.5,-86.4 34.5,-86.4 34.4,-86.5 34.4))"
334,-86.4,34.4,"POLYGON((-86.4 34.4,-86.4 34.5,-86.3 34.5,-86.3 34.4,-86.4 34.4))"
648,-86.8,34.5,"POLYGON((-86.8 34.5,-86.8 34.6,-86.7 34.6,-86.7 34.5,-86.8 34.5))"
1885,-86.6,34.5,"POLYGON((-86.6 34.5,-86.6 34.6,-86.5 34.6,-86.5 34.5,-86.6 34.5))"
2946,-86.5,34.5,"POLYGON((-86.5 34.5,-86.5 34.6,-86.4 34.6,-86.4 34.5,-86.5 34.5))"
1133,-86.4,34.5,"POLYGON((-86.4 34.5,-86.4 34.6,-86.3 34.6,-86.3 34.5,-86.4 34.5))"
12911,-86.8,34.6,"POLYGON((-86.8 34.6,-86.8 34.7,-86.7 34.7,-86.7 34.6,-86.8 34.6))"
4193,-86.7,34.6,"POLYGON((-86.7 34.6,-86.7 34.7,-86.6 34.7,-86.6 34.6,-86.7 34.6))"
25117,-86.6,34.6,"POLYGON((-86.6 34.6,-86.6 34.7,-86.5 34.7,-86.5 34.6,-86.6 34.6))"
7825,-86.5,34.6,"POLYGON((-86.5 34.6,-86.5 34.7,-86.4 34.7,-86.4 34.6,-86.5 34.6))"
1115,-86.4,34.6,"POLYGON((-86.4 34.6,-86.4 34.7,-86.3 34.7,-86.3 34.6,-86.4 34.6))"
25876,-86.8,34.7,"POLYGON((-86.8 34.7,-86.8 34.8,-86.7 34.8,-86.7 34.7,-86.8 34.7))"
35891,-86.7,34.7,"POLYGON((-86.7 34.7,-86.7 34.8,-86.6 34.8,-86.6 34.7,-86.7 34.7))"
24515,-86.6,34.7,"POLYGON((-86.6 34.7,-86.6 34.8,-86.5 34.8,-86.5 34.7,-86.6 34.7))"
4113,-86.5,34.7,"POLYGON((-86.5 34.7,-86.5 34.8,-86.4 34.8,-86.4 34.7,-86.5 34.7))"
680,-86.4,34.7,"POLYGON((-86.4 34.7,-86.4 34.8,-86.3 34.8,-86.3 34.7,-86.4 34.7))"
8507,-86.8,34.8,"POLYGON((-86.8 34.8,-86.8 34.9,-86.7 34.9,-86.7 34.8,-86.8 34.8))"
3486,-86.7,34.8,"POLYGON((-86.7 34.8,-86.7 34.9,-86.6 34.9,-86.6 34.8,-86.7 34.8))"
8595,-86.6,34.8,"POLYGON((-86.6 34.8,-86.6 34.9,-86.5 34.9,-86.5 34.8,-86.6 34.8))"
4848,-86.5,34.8,"POLYGON((-86.5 34.8,-86.5 34.9,-86.4 34.9,-86.4 34.8,-86.5 34.8))"
381,-86.4,34.8,"POLYGON((-86.4 34.8,-86.4 34.9,-86.3 34.9,-86.3 34.8,-86.4 34.8))"
2573,-86.8,34.9,"POLYGON((-86.8 34.9,-86.8 35.0,-86.7 35.0,-86.7 34.9,-86.8 34.9))"
3137,-86.7,34.9,"POLYGON((-86.7 34.9,-86.7 35.0,-86.6 35.0,-86.6 34.9,-86.7 34.9))"
4433,-86.6,34.9,"POLYGON((-86.6 34.9,-86.6 35.0,-86.5 35.0,-86.5 34.9,-86.6 34.9))"
1841,-86.5,34.9,"POLYGON((-86.5 34.9,-86.5 35.0,-86.4 35.0,-86.4 34.9,-86.5 34.9))"
225,-86.4,34.9,"POLYGON((-86.4 34.9,-86.4 35.0,-86.3 35.0,-86.3 34.9,-86.4 34.9))"
