count,lon,lat,area
2,-86.4,33.3,"POLYGON((-86.4 33.3,-86.4 33.4,-86.3 33.4,-86.3 33.3,-86.4 33.3))"
1905,-86.4,33.4,"POLYGON((-86.4 33.4,-86.4 33.5,-86.3 33.5,-86.3 33.4,-86.4 33.4))"
182,-86.3,33.4,"POLYGON((-86.3 33.4,-86.3 33.5,-86.2 33.5,-86.2 33.4,-86.3 33.4))"
3888,-86.6,33.5,"POLYGON((-86.6 33.5,-86.6 33.6,-86.5 33.6,-86.5 33.5,-86.6 33.5))"
3081,-86.5,33.5,"POLYGON((-86.5 33.5,-86.5 33.6,-86.4 33.6,-86.4 33.5,-86.5 33.5))"
2129,-86.4,33.5,"POLYGON((-86.4 33.5,-86.4 33.6,-86.3 33.6,-86.3 33.5,-86.4 33.5))"
7357,-86.3,33.5,"POLYGON((-86.3 33.5,-86.3 33.6,-86.2 33.6,-86.2 33.5,-86.3 33.5))"
172,-86.2,33.5,"POLYGON((-86.2 33.5,-86.2 33.6,-86.1 33.6,-86.1 33.5,-86.2 33.5))"
2522,-86.6,33.6,"POLYGON((-86.6 33.6,-86.6 33.7,-86.5 33.7,-86.5 33.6,-86.6 33.6))"
7613,-86.5,33.6,"POLYGON((-86.5 33.6,-86.5 33.7,-86.4 33.7,-86.4 33.6,-86.5 33.6))"
2253,-86.4,33.6,"POLYGON((-86.4 33.6,-86.4 33.7,-86.3 33.7,-86.3 33.6,-86.4 33.6))"
3460,-86.3,33.6,"POLYGON((-86.3 33.6,-86.3 33.7,-86.2 33.7,-86.2 33.6,-86.3 33.6))"
808,-86.2,33.6,"POLYGON((-86.2 33.6,-86.2 33.7,-86.1 33.7,-86.1 33.6,-86.2 33.6))"
1763,-86.6,33.7,"POLYGON((-86.6 33.7,-86.6 33.8,-86.5 33.8,-86.5 33.7,-86.6 33.7))"
5429,-86.5,33.7,"POLYGON((-86.5 33.7,-86.5 33.8,-86.4 33.8,-86.4 33.7,-86.5 33.7))"
2370,-86.4,33.7,"POLYGON((-86.4 33.7,-86.4 33.8,-86.3 33.8,-86.3 33.7,-86.4 33.7))"
834,-86.3,33.7,"POLYGON((-86.3 33.7,-86.3 33.8,-86.2 33.8,-86.2 33.7,-86.3 33.7))"
1794,-86.2,33.7,"POLYGON((-86.2 33.7,-86.2 33.8,-86.1 33.8,-86.1 33.7,-86.2 33.7))"
399,-86.1,33.7,"POLYGON((-86.1 33.7,-86.1 33.8,-86.0 33.8,-86.0 33.7,-86.1 33.7))"
95,-86.6,33.8,"POLYGON((-86.6 33.8,-86.6 33.9,-86.5 33.9,-86.5 33.8,-86.6 33.8))"
365,-86.5,33.8,"POLYGON((-86.5 33.8,-86.5 33.9,-86.4 33.9,-86.4 33.8,-86.5 33.8))"
2560,-86.4,33.8,"POLYGON((-86.4 33.8,-86.4 33.9,-86.3 33.9,-86.3 33.8,-86.4 33.8))"
2370,-86.3,33.8,"POLYGON((-86.3 33.8,-86.3 33.9,-86.2 33.9,-86.2 33.8,-86.3 33.8))"
1447,-86.2,33.8,"POLYGON((-86.2 33.8,-86.2 33.9,-86.1 33.9,-86.1 33.8,-86.2 33.8))"
714,-86.1,33.8,"POLYGON((-86.1 33.8,-86.1 33.9,-86.0 33.9,-86.0 33.8,-86.1 33.8))"
287,-86.4,33.9,"POLYGON((-86.4 33.9,-86.4 34.0,-86.3 34.0,-86.3 33.9,-86.4 33.9))"
1262,-86.3,33.9,"POLYGON((-86.3 33.9,-86.3 34.0,-86.2 34.0,-86.2 33.9,-86.3 33.9))"
516,-86.2,33.9,"POLYGON((-86.2 33.9,-86.2 34.0,-86.1 34.0,-86.1 33.9,-86.2 33.9))"
1,-63.8,54.2,"POLYGON((-63.8 54.2,-63.8 54.3,-63.7 54.3,-63.7 54.2,-63.8 54.2))"
