count,lon,lat,area
3,-111.1,31.3,"POLYGON((-111.1 31.3,-111.1 31.4,-111.0 31.4,-111.0 31.3,-111.1 31.3))"
9656,-111.0,31.3,"POLYGON((-111.0 31.3,-111.0 31.4,-110.9 31.4,-110.9 31.3,-111.0 31.3))"
314,-110.9,31.3,"POLYGON((-110.9 31.3,-110.9 31.4,-110.8 31.4,-110.8 31.3,-110.9 31.3))"
41,-110.7,31.3,"POLYGON((-110.7 31.3,-110.7 31.4,-110.6 31.4,-110.6 31.3,-110.7 31.3))"
4,-110.6,31.3,"POLYGON((-110.6 31.3,-110.6 31.4,-110.5 31.4,-110.5 31.3,-110.6 31.3))"
2,-110.5,31.3,"POLYGON((-110.5 31.3,-110.5 31.4,-110.4 31.4,-110.4 31.3,-110.5 31.3))"
3,-111.4,31.4,"POLYGON((-111.4 31.4,-111.4 31.5,-111.3 31.5,-111.3 31.4,-111.4 31.4))"
13,-111.3,31.4,"POLYGON((-111.3 31.4,-111.3 31.5,-111.2 31.5,-111.2 31.4,-111.3 31.4))"
3,-111.2,31.4,"POLYGON((-111.2 31.4,-111.2 31.5,-111.1 31.5,-111.1 31.4,-111.2 31.4))"
2167,-111.1,31.4,"POLYGON((-111.1 31.4,-111.1 31.5,-111.0 31.5,-111.0 31.4,-111.1 31.4))"
4128,-111.0,31.4,"POLYGON((-111.0 31.4,-111.0 31.5,-110.9 31.5,-110.9 31.4,-111.0 31.4))"
201,-110.9,31.4,"POLYGON((-110.9 31.4,-110.9 31.5,-110.8 31.5,-110.8 31.4,-110.9 31.4))"
9,-110.8,31.4,"POLYGON((-110.8 31.4,-110.8 31.5,-110.7 31.5,-110.7 31.4,-110.8 31.4))"
25,-110.7,31.4,"POLYGON((-110.7 31.4,-110.7 31.5,-110.6 31.5,-110.6 31.4,-110.7 31.4))"
17,-110.6,31.4,"POLYGON((-110.6 31.4,-110.6 31.5,-110.5 31.5,-110.5 31.4,-110.6 31.4))"
12,-110.5,31.4,"POLYGON((-110.5 31.4,-110.5 31.5,-110.4 31.5,-110.4 31.4,-110.5 31.4))"
1,-111.4,31.5,"POLYGON((-111.4 31.5,-111.4 31.6,-111.3 31.6,-111.3 31.5,-111.4 31.5))"
1,-111.3,31.5,"POLYGON((-111.3 31.5,-111.3 31.6,-111.2 31.6,-111.2 31.5,-111.3 31.5))"
1806,-111.1,31.5,"POLYGON((-111.1 31.5,-111.1 31.6,-111.0 31.6,-111.0 31.5,-111.1 31.5))"
475,-111.0,31.5,"POLYGON((-111.0 31.5,-111.0 31.6,-110.9 31.6,-110.9 31.5,-111.0 31.5))"
21,-110.9,31.5,"POLYGON((-110.9 31.5,-110.9 31.6,-110.8 31.6,-110.8 31.5,-110.9 31.5))"
837,-110.8,31.5,"POLYGON((-110.8 31.5,-110.8 31.6,-110.7 31.6,-110.7 31.5,-110.8 31.5))"
22,-110.7,31.5,"POLYGON((-110.7 31.5,-110.7 31.6,-110.6 31.6,-110.6 31.5,-110.7 31.5))"
94,-110.6,31.5,"POLYGON((-110.6 31.5,-110.6 31.6,-110.5 31.6,-110.5 31.5,-110.6 31.5))"
91,-110.5,31.5,"POLYGON((-110.5 31.5,-110.5 31.6,-110.4 31.6,-110.4 31.5,-110.5 31.5))"
1751,-111.1,31.6,"POLYGON((-111.1 31.6,-111.1 31.7,-111.0 31.7,-111.0 31.6,-111.1 31.6))"
33,-111.0,31.6,"POLYGON((-111.0 31.6,-111.0 31.7,-110.9 31.7,-110.9 31.6,-111.0 31.6))"
3,-110.9,31.6,"POLYGON((-110.9 31.6,-110.9 31.7,-110.8 31.7,-110.8 31.6,-110.9 31.6))"
95,-110.8,31.6,"POLYGON((-110.8 31.6,-110.8 31.7,-110.7 31.7,-110.7 31.6,-110.8 31.6))"
686,-110.7,31.6,"POLYGON((-110.7 31.6,-110.7 31.7,-110.6 31.7,-110.6 31.6,-110.7 31.6))"
260,-110.6,31.6,"POLYGON((-110.6 31.6,-110.6 31.7,-110.5 31.7,-110.5 31.6,-110.6 31.6))"
7,-110.5,31.6,"POLYGON((-110.5 31.6,-110.5 31.7,-110.4 31.7,-110.4 31.6,-110.5 31.6))"
18,-111.2,31.7,"POLYGON((-111.2 31.7,-111.2 31.8,-111.1 31.8,-111.1 31.7,-111.2 31.7))"
160,-111.1,31.7,"POLYGON((-111.1 31.7,-111.1 31.8,-111.0 31.8,-111.0 31.7,-111.1 31.7))"
1,-111.0,31.7,"POLYGON((-111.0 31.7,-111.0 31.8,-110.9 31.8,-110.9 31.7,-111.0 31.7))"
35,-110.9,31.7,"POLYGON((-110.9 31.7,-110.9 31.8,-110.8 31.8,-110.8 31.7,-110.9 31.7))"
17,-110.8,31.7,"POLYGON((-110.8 31.7,-110.8 31.8,-110.7 31.8,-110.7 31.7,-110.8 31.7))"
28,-110.7,31.7,"POLYGON((-110.7 31.7,-110.7 31.8,-110.6 31.8,-110.6 31.7,-110.7 31.7))"
21,-110.6,31.7,"POLYGON((-110.6 31.7,-110.6 31.8,-110.5 31.8,-110.5 31.7,-110.6 31.7))"
25,-110.5,31.7,"POLYGON((-110.5 31.7,-110.5 31.8,-110.4 31.8,-110.4 31.7,-110.5 31.7))"
