count,lon,lat,area
10,-120.6,36.0,"POLYGON((-120.6 36.0,-120.6 36.1,-120.5 36.1,-120.5 36.0,-120.6 36.0))"
24,-120.5,36.0,"POLYGON((-120.5 36.0,-120.5 36.1,-120.4 36.1,-120.4 36.0,-120.5 36.0))"
4,-120.4,36.0,"POLYGON((-120.4 36.0,-120.4 36.1,-120.3 36.1,-120.3 36.0,-120.4 36.0))"
8,-120.3,36.0,"POLYGON((-120.3 36.0,-120.3 36.1,-120.2 36.1,-120.2 36.0,-120.3 36.0))"
37,-120.2,36.0,"POLYGON((-120.2 36.0,-120.2 36.1,-120.1 36.1,-120.1 36.0,-120.2 36.0))"
2,-120.1,36.0,"POLYGON((-120.1 36.0,-120.1 36.1,-120.0 36.1,-120.0 36.0,-120.1 36.0))"
6,-120.7,36.1,"POLYGON((-120.7 36.1,-120.7 36.2,-120.6 36.2,-120.6 36.1,-120.7 36.1))"
8,-120.6,36.1,"POLYGON((-120.6 36.1,-120.6 36.2,-120.5 36.2,-120.5 36.1,-120.6 36.1))"
5,-120.5,36.1,"POLYGON((-120.5 36.1,-120.5 36.2,-120.4 36.2,-120.4 36.1,-120.5 36.1))"
3964,-120.4,36.1,"POLYGON((-120.4 36.1,-120.4 36.2,-120.3 36.2,-120.3 36.1,-120.4 36.1))"
54,-120.3,36.1,"POLYGON((-120.3 36.1,-120.3 36.2,-120.2 36.2,-120.2 36.1,-120.3 36.1))"
322,-120.2,36.1,"POLYGON((-120.2 36.1,-120.2 36.2,-120.1 36.2,-120.1 36.1,-120.2 36.1))"
230,-120.1,36.1,"POLYGON((-120.1 36.1,-120.1 36.2,-120.0 36.2,-120.0 36.1,-120.1 36.1))"
3,-120.0,36.1,"POLYGON((-120.0 36.1,-120.0 36.2,-119.9 36.2,-119.9 36.1,-120.0 36.1))"
5,-120.7,36.2,"POLYGON((-120.7 36.2,-120.7 36.3,-120.6 36.3,-120.6 36.2,-120.7 36.2))"
40,-120.6,36.2,"POLYGON((-120.6 36.2,-120.6 36.3,-120.5 36.3,-120.5 36.2,-120.6 36.2))"
3,-120.5,36.2,"POLYGON((-120.5 36.2,-120.5 36.3,-120.4 36.3,-120.4 36.2,-120.5 36.2))"
