count,lon,lat,area
4488,-124.1,40.0,"POLYGON((-124.1 40.0,-124.1 40.1,-124.0 40.1,-124.0 40.0,-124.1 40.0))"
511,-124.0,40.0,"POLYGON((-124.0 40.0,-124.0 40.1,-123.9 40.1,-123.9 40.0,-124.0 40.0))"
364,-123.9,40.0,"POLYGON((-123.9 40.0,-123.9 40.1,-123.8 40.1,-123.8 40.0,-123.9 40.0))"
836,-123.8,40.0,"POLYGON((-123.8 40.0,-123.8 40.1,-123.7 40.1,-123.7 40.0,-123.8 40.0))"
244,-123.7,40.0,"POLYGON((-123.7 40.0,-123.7 40.1,-123.6 40.1,-123.6 40.0,-123.7 40.0))"
149,-123.6,40.0,"POLYGON((-123.6 40.0,-123.6 40.1,-123.5 40.1,-123.5 40.0,-123.6 40.0))"
38,-124.3,40.1,"POLYGON((-124.3 40.1,-124.3 40.2,-124.2 40.2,-124.2 40.1,-124.3 40.1))"
65,-124.2,40.1,"POLYGON((-124.2 40.1,-124.2 40.2,-124.1 40.2,-124.1 40.1,-124.2 40.1))"
260,-124.1,40.1,"POLYGON((-124.1 40.1,-124.1 40.2,-124.0 40.2,-124.0 40.1,-124.1 40.1))"
491,-124.0,40.1,"POLYGON((-124.0 40.1,-124.0 40.2,-123.9 40.2,-123.9 40.1,-124.0 40.1))"
1000,-123.9,40.1,"POLYGON((-123.9 40.1,-123.9 40.2,-123.8 40.2,-123.8 40.1,-123.9 40.1))"
524,-123.8,40.1,"POLYGON((-123.8 40.1,-123.8 40.2,-123.7 40.2,-123.7 40.1,-123.8 40.1))"
499,-123.7,40.1,"POLYGON((-123.7 40.1,-123.7 40.2,-123.6 40.2,-123.6 40.1,-123.7 40.1))"
78,-123.6,40.1,"POLYGON((-123.6 40.1,-123.6 40.2,-123.5 40.2,-123.5 40.1,-123.6 40.1))"
129,-124.4,40.2,"POLYGON((-124.4 40.2,-124.4 40.3,-124.3 40.3,-124.3 40.2,-124.4 40.2))"
265,-124.3,40.2,"POLYGON((-124.3 40.2,-124.3 40.3,-124.2 40.3,-124.2 40.2,-124.3 40.2))"
257,-124.2,40.2,"POLYGON((-124.2 40.2,-124.2 40.3,-124.1 40.3,-124.1 40.2,-124.2 40.2))"
231,-124.1,40.2,"POLYGON((-124.1 40.2,-124.1 40.3,-124.0 40.3,-124.0 40.2,-124.1 40.2))"
204,-124.0,40.2,"POLYGON((-124.0 40.2,-124.0 40.3,-123.9 40.3,-123.9 40.2,-124.0 40.2))"
852,-123.9,40.2,"POLYGON((-123.9 40.2,-123.9 40.3,-123.8 40.3,-123.8 40.2,-123.9 40.2))"
435,-123.8,40.2,"POLYGON((-123.8 40.2,-123.8 40.3,-123.7 40.3,-123.7 40.2,-123.8 40.2))"
287,-123.7,40.2,"POLYGON((-123.7 40.2,-123.7 40.3,-123.6 40.3,-123.6 40.2,-123.7 40.2))"
88,-123.6,40.2,"POLYGON((-123.6 40.2,-123.6 40.3,-123.5 40.3,-123.5 40.2,-123.6 40.2))"
88,-124.4,40.3,"POLYGON((-124.4 40.3,-124.4 40.4,-124.3 40.4,-124.3 40.3,-124.4 40.3))"
365,-124.3,40.3,"POLYGON((-124.3 40.3,-124.3 40.4,-124.2 40.4,-124.2 40.3,-124.3 40.3))"
131,-124.2,40.3,"POLYGON((-124.2 40.3,-124.2 40.4,-124.1 40.4,-124.1 40.3,-124.2 40.3))"
96,-124.1,40.3,"POLYGON((-124.1 40.3,-124.1 40.4,-124.0 40.4,-124.0 40.3,-124.1 40.3))"
320,-124.0,40.3,"POLYGON((-124.0 40.3,-124.0 40.4,-123.9 40.4,-123.9 40.3,-124.0 40.3))"
222,-123.9,40.3,"POLYGON((-123.9 40.3,-123.9 40.4,-123.8 40.4,-123.8 40.3,-123.9 40.3))"
273,-123.8,40.3,"POLYGON((-123.8 40.3,-123.8 40.4,-123.7 40.4,-123.7 40.3,-123.8 40.3))"
104,-123.7,40.3,"POLYGON((-123.7 40.3,-123.7 40.4,-123.6 40.4,-123.6 40.3,-123.7 40.3))"
