count,lon,lat,area
1,-120.2,35.7,"POLYGON((-120.2 35.7,-120.2 35.8,-120.1 35.8,-120.1 35.7,-120.2 35.7))"
1,-120.1,35.7,"POLYGON((-120.1 35.7,-120.1 35.8,-120.0 35.8,-120.0 35.7,-120.1 35.7))"
1,-120.0,35.7,"POLYGON((-120.0 35.7,-120.0 35.8,-119.9 35.8,-119.9 35.7,-120.0 35.7))"
1,-119.9,35.7,"POLYGON((-119.9 35.7,-119.9 35.8,-119.8 35.8,-119.8 35.7,-119.9 35.7))"
2,-119.6,35.7,"POLYGON((-119.6 35.7,-119.6 35.8,-119.5 35.8,-119.5 35.7,-119.6 35.7))"
2,-120.2,35.8,"POLYGON((-120.2 35.8,-120.2 35.9,-120.1 35.9,-120.1 35.8,-120.2 35.8))"
11,-120.1,35.8,"POLYGON((-120.1 35.8,-120.1 35.9,-120.0 35.9,-120.0 35.8,-120.1 35.8))"
6,-120.0,35.8,"POLYGON((-120.0 35.8,-120.0 35.9,-119.9 35.9,-119.9 35.8,-120.0 35.8))"
4,-119.9,35.8,"POLYGON((-119.9 35.8,-119.9 35.9,-119.8 35.9,-119.8 35.8,-119.9 35.8))"
1,-119.8,35.8,"POLYGON((-119.8 35.8,-119.8 35.9,-119.7 35.9,-119.7 35.8,-119.8 35.8))"
2,-119.7,35.8,"POLYGON((-119.7 35.8,-119.7 35.9,-119.6 35.9,-119.6 35.8,-119.7 35.8))"
7,-119.6,35.8,"POLYGON((-119.6 35.8,-119.6 35.9,-119.5 35.9,-119.5 35.8,-119.6 35.8))"
366,-120.2,35.9,"POLYGON((-120.2 35.9,-120.2 36.0,-120.1 36.0,-120.1 35.9,-120.2 35.9))"
11,-120.1,35.9,"POLYGON((-120.1 35.9,-120.1 36.0,-120.0 36.0,-120.0 35.9,-120.1 35.9))"
46,-120.0,35.9,"POLYGON((-120.0 35.9,-120.0 36.0,-119.9 36.0,-119.9 35.9,-120.0 35.9))"
6,-119.9,35.9,"POLYGON((-119.9 35.9,-119.9 36.0,-119.8 36.0,-119.8 35.9,-119.9 35.9))"
8,-119.6,35.9,"POLYGON((-119.6 35.9,-119.6 36.0,-119.5 36.0,-119.5 35.9,-119.6 35.9))"
2332,-120.2,36.0,"POLYGON((-120.2 36.0,-120.2 36.1,-120.1 36.1,-120.1 36.0,-120.2 36.0))"
