count,lon,lat,area
30,-122.7,38.6,"POLYGON((-122.7 38.6,-122.7 38.7,-122.6 38.7,-122.6 38.6,-122.7 38.6))"
42,-122.6,38.6,"POLYGON((-122.6 38.6,-122.6 38.7,-122.5 38.7,-122.5 38.6,-122.6 38.6))"
130,-122.8,38.7,"POLYGON((-122.8 38.7,-122.8 38.8,-122.7 38.8,-122.7 38.7,-122.8 38.7))"
1308,-122.7,38.7,"POLYGON((-122.7 38.7,-122.7 38.8,-122.6 38.8,-122.6 38.7,-122.7 38.7))"
1423,-122.6,38.7,"POLYGON((-122.6 38.7,-122.6 38.8,-122.5 38.8,-122.5 38.7,-122.6 38.7))"
69,-122.5,38.7,"POLYGON((-122.5 38.7,-122.5 38.8,-122.4 38.8,-122.4 38.7,-122.5 38.7))"
2,-123.0,38.8,"POLYGON((-123.0 38.8,-123.0 38.9,-122.9 38.9,-122.9 38.8,-123.0 38.8))"
40,-122.9,38.8,"POLYGON((-122.9 38.8,-122.9 38.9,-122.8 38.9,-122.8 38.8,-122.9 38.8))"
3000,-122.8,38.8,"POLYGON((-122.8 38.8,-122.8 38.9,-122.7 38.9,-122.7 38.8,-122.8 38.8))"
1015,-122.7,38.8,"POLYGON((-122.7 38.8,-122.7 38.9,-122.6 38.9,-122.6 38.8,-122.7 38.8))"
3084,-122.6,38.8,"POLYGON((-122.6 38.8,-122.6 38.9,-122.5 38.9,-122.5 38.8,-122.6 38.8))"
258,-122.5,38.8,"POLYGON((-122.5 38.8,-122.5 38.9,-122.4 38.9,-122.4 38.8,-122.5 38.8))"
11,-122.4,38.8,"POLYGON((-122.4 38.8,-122.4 38.9,-122.3 38.9,-122.3 38.8,-122.4 38.8))"
2,-123.1,38.9,"POLYGON((-123.1 38.9,-123.1 39.0,-123.0 39.0,-123.0 38.9,-123.1 38.9))"
230,-123.0,38.9,"POLYGON((-123.0 38.9,-123.0 39.0,-122.9 39.0,-122.9 38.9,-123.0 38.9))"
2160,-122.9,38.9,"POLYGON((-122.9 38.9,-122.9 39.0,-122.8 39.0,-122.8 38.9,-122.9 38.9))"
4858,-122.8,38.9,"POLYGON((-122.8 38.9,-122.8 39.0,-122.7 39.0,-122.7 38.9,-122.8 38.9))"
16116,-122.7,38.9,"POLYGON((-122.7 38.9,-122.7 39.0,-122.6 39.0,-122.6 38.9,-122.7 38.9))"
641,-122.6,38.9,"POLYGON((-122.6 38.9,-122.6 39.0,-122.5 39.0,-122.5 38.9,-122.6 38.9))"
171,-122.5,38.9,"POLYGON((-122.5 38.9,-122.5 39.0,-122.4 39.0,-122.4 38.9,-122.5 38.9))"
153,-122.4,38.9,"POLYGON((-122.4 38.9,-122.4 39.0,-122.3 39.0,-122.3 38.9,-122.4 38.9))"
69,-123.1,39.0,"POLYGON((-123.1 39.0,-123.1 39.1,-123.0 39.1,-123.0 39.0,-123.1 39.0))"
4502,-123.0,39.0,"POLYGON((-123.0 39.0,-123.0 39.1,-122.9 39.1,-122.9 39.0,-123.0 39.0))"
899,-122.9,39.0,"POLYGON((-122.9 39.0,-122.9 39.1,-122.8 39.1,-122.8 39.0,-122.9 39.0))"
6996,-122.8,39.0,"POLYGON((-122.8 39.0,-122.8 39.1,-122.7 39.1,-122.7 39.0,-122.8 39.0))"
3683,-122.7,39.0,"POLYGON((-122.7 39.0,-122.7 39.1,-122.6 39.1,-122.6 39.0,-122.7 39.0))"
965,-122.6,39.0,"POLYGON((-122.6 39.0,-122.6 39.1,-122.5 39.1,-122.5 39.0,-122.6 39.0))"
81,-122.5,39.0,"POLYGON((-122.5 39.0,-122.5 39.1,-122.4 39.1,-122.4 39.0,-122.5 39.0))"
287,-123.1,39.1,"POLYGON((-123.1 39.1,-123.1 39.2,-123.0 39.2,-123.0 39.1,-123.1 39.1))"
1374,-123.0,39.1,"POLYGON((-123.0 39.1,-123.0 39.2,-122.9 39.2,-122.9 39.1,-123.0 39.1))"
7465,-122.9,39.1,"POLYGON((-122.9 39.1,-122.9 39.2,-122.8 39.2,-122.8 39.1,-122.9 39.1))"
1426,-122.8,39.1,"POLYGON((-122.8 39.1,-122.8 39.2,-122.7 39.2,-122.7 39.1,-122.8 39.1))"
85,-122.7,39.1,"POLYGON((-122.7 39.1,-122.7 39.2,-122.6 39.2,-122.6 39.1,-122.7 39.1))"
80,-122.6,39.1,"POLYGON((-122.6 39.1,-122.6 39.2,-122.5 39.2,-122.5 39.1,-122.6 39.1))"
15,-122.5,39.1,"POLYGON((-122.5 39.1,-122.5 39.2,-122.4 39.2,-122.4 39.1,-122.5 39.1))"
18,-123.1,39.2,"POLYGON((-123.1 39.2,-123.1 39.3,-123.0 39.3,-123.0 39.2,-123.1 39.2))"
244,-123.0,39.2,"POLYGON((-123.0 39.2,-123.0 39.3,-122.9 39.3,-122.9 39.2,-123.0 39.2))"
90,-122.9,39.2,"POLYGON((-122.9 39.2,-122.9 39.3,-122.8 39.3,-122.8 39.2,-122.9 39.2))"
51,-122.8,39.2,"POLYGON((-122.8 39.2,-122.8 39.3,-122.7 39.3,-122.7 39.2,-122.8 39.2))"
11,-122.7,39.2,"POLYGON((-122.7 39.2,-122.7 39.3,-122.6 39.3,-122.6 39.2,-122.7 39.2))"
5,-122.6,39.2,"POLYGON((-122.6 39.2,-122.6 39.3,-122.5 39.3,-122.5 39.2,-122.6 39.2))"
59,-123.1,39.3,"POLYGON((-123.1 39.3,-123.1 39.4,-123.0 39.4,-123.0 39.3,-123.1 39.3))"
121,-123.0,39.3,"POLYGON((-123.0 39.3,-123.0 39.4,-122.9 39.4,-122.9 39.3,-123.0 39.3))"
66,-122.9,39.3,"POLYGON((-122.9 39.3,-122.9 39.4,-122.8 39.4,-122.8 39.3,-122.9 39.3))"
27,-122.8,39.3,"POLYGON((-122.8 39.3,-122.8 39.4,-122.7 39.4,-122.7 39.3,-122.8 39.3))"
94,-123.1,39.4,"POLYGON((-123.1 39.4,-123.1 39.5,-123.0 39.5,-123.0 39.4,-123.1 39.4))"
585,-123.0,39.4,"POLYGON((-123.0 39.4,-123.0 39.5,-122.9 39.5,-122.9 39.4,-123.0 39.4))"
49,-122.9,39.4,"POLYGON((-122.9 39.4,-122.9 39.5,-122.8 39.5,-122.8 39.4,-122.9 39.4))"
24,-122.8,39.4,"POLYGON((-122.8 39.4,-122.8 39.5,-122.7 39.5,-122.7 39.4,-122.8 39.4))"
15,-123.1,39.5,"POLYGON((-123.1 39.5,-123.1 39.6,-123.0 39.6,-123.0 39.5,-123.1 39.5))"
19,-123.0,39.5,"POLYGON((-123.0 39.5,-123.0 39.6,-122.9 39.6,-122.9 39.5,-123.0 39.5))"
38,-122.9,39.5,"POLYGON((-122.9 39.5,-122.9 39.6,-122.8 39.6,-122.8 39.5,-122.9 39.5))"
22,-122.8,39.5,"POLYGON((-122.8 39.5,-122.8 39.6,-122.7 39.6,-122.7 39.5,-122.8 39.5))"
