count,lon,lat,area
989,-123.6,38.7,"POLYGON((-123.6 38.7,-123.6 38.8,-123.5 38.8,-123.5 38.7,-123.6 38.7))"
38,-123.5,38.7,"POLYGON((-123.5 38.7,-123.5 38.8,-123.4 38.8,-123.4 38.7,-123.5 38.7))"
14,-123.4,38.7,"POLYGON((-123.4 38.7,-123.4 38.8,-123.3 38.8,-123.3 38.7,-123.4 38.7))"
617,-123.7,38.8,"POLYGON((-123.7 38.8,-123.7 38.9,-123.6 38.9,-123.6 38.8,-123.7 38.8))"
957,-123.6,38.8,"POLYGON((-123.6 38.8,-123.6 38.9,-123.5 38.9,-123.5 38.8,-123.6 38.8))"
191,-123.5,38.8,"POLYGON((-123.5 38.8,-123.5 38.9,-123.4 38.9,-123.4 38.8,-123.5 38.8))"
161,-123.4,38.8,"POLYGON((-123.4 38.8,-123.4 38.9,-123.3 38.9,-123.3 38.8,-123.4 38.8))"
152,-123.3,38.8,"POLYGON((-123.3 38.8,-123.3 38.9,-123.2 38.9,-123.2 38.8,-123.3 38.8))"
144,-123.2,38.8,"POLYGON((-123.2 38.8,-123.2 38.9,-123.1 38.9,-123.1 38.8,-123.2 38.8))"
236,-123.1,38.8,"POLYGON((-123.1 38.8,-123.1 38.9,-123.0 38.9,-123.0 38.8,-123.1 38.8))"
88,-123.0,38.8,"POLYGON((-123.0 38.8,-123.0 38.9,-122.9 38.9,-122.9 38.8,-123.0 38.8))"
22,-122.9,38.8,"POLYGON((-122.9 38.8,-122.9 38.9,-122.8 38.9,-122.8 38.8,-122.9 38.8))"
254,-123.8,38.9,"POLYGON((-123.8 38.9,-123.8 39.0,-123.7 39.0,-123.7 38.9,-123.8 38.9))"
850,-123.7,38.9,"POLYGON((-123.7 38.9,-123.7 39.0,-123.6 39.0,-123.6 38.9,-123.7 38.9))"
191,-123.6,38.9,"POLYGON((-123.6 38.9,-123.6 39.0,-123.5 39.0,-123.5 38.9,-123.6 38.9))"
197,-123.5,38.9,"POLYGON((-123.5 38.9,-123.5 39.0,-123.4 39.0,-123.4 38.9,-123.5 38.9))"
290,-123.4,38.9,"POLYGON((-123.4 38.9,-123.4 39.0,-123.3 39.0,-123.3 38.9,-123.4 38.9))"
280,-123.3,38.9,"POLYGON((-123.3 38.9,-123.3 39.0,-123.2 39.0,-123.2 38.9,-123.3 38.9))"
567,-123.2,38.9,"POLYGON((-123.2 38.9,-123.2 39.0,-123.1 39.0,-123.1 38.9,-123.2 38.9))"
490,-123.1,38.9,"POLYGON((-123.1 38.9,-123.1 39.0,-123.0 39.0,-123.0 38.9,-123.1 38.9))"
48,-123.0,38.9,"POLYGON((-123.0 38.9,-123.0 39.0,-122.9 39.0,-122.9 38.9,-123.0 38.9))"
14,-123.8,39.0,"POLYGON((-123.8 39.0,-123.8 39.1,-123.7 39.1,-123.7 39.0,-123.8 39.0))"
703,-123.7,39.0,"POLYGON((-123.7 39.0,-123.7 39.1,-123.6 39.1,-123.6 39.0,-123.7 39.0))"
267,-123.6,39.0,"POLYGON((-123.6 39.0,-123.6 39.1,-123.5 39.1,-123.5 39.0,-123.6 39.0))"
573,-123.5,39.0,"POLYGON((-123.5 39.0,-123.5 39.1,-123.4 39.1,-123.4 39.0,-123.5 39.0))"
