count,lon,lat,area
254,-121.5,38.7,"POLYGON((-121.5 38.7,-121.5 38.8,-121.4 38.8,-121.4 38.7,-121.5 38.7))"
33752,-121.4,38.7,"POLYGON((-121.4 38.7,-121.4 38.8,-121.3 38.8,-121.3 38.7,-121.4 38.7))"
45274,-121.3,38.7,"POLYGON((-121.3 38.7,-121.3 38.8,-121.2 38.8,-121.2 38.7,-121.3 38.7))"
5597,-121.2,38.7,"POLYGON((-121.2 38.7,-121.2 38.8,-121.1 38.8,-121.1 38.7,-121.2 38.7))"
180,-121.5,38.8,"POLYGON((-121.5 38.8,-121.5 38.9,-121.4 38.9,-121.4 38.8,-121.5 38.8))"
11031,-121.4,38.8,"POLYGON((-121.4 38.8,-121.4 38.9,-121.3 38.9,-121.3 38.8,-121.4 38.8))"
27186,-121.3,38.8,"POLYGON((-121.3 38.8,-121.3 38.9,-121.2 38.9,-121.2 38.8,-121.3 38.8))"
7569,-121.2,38.8,"POLYGON((-121.2 38.8,-121.2 38.9,-121.1 38.9,-121.1 38.8,-121.2 38.8))"
3969,-121.1,38.8,"POLYGON((-121.1 38.8,-121.1 38.9,-121.0 38.9,-121.0 38.8,-121.1 38.8))"
16,-121.5,38.9,"POLYGON((-121.5 38.9,-121.5 39.0,-121.4 39.0,-121.4 38.9,-121.5 38.9))"
2170,-121.4,38.9,"POLYGON((-121.4 38.9,-121.4 39.0,-121.3 39.0,-121.3 38.9,-121.4 38.9))"
1710,-121.3,38.9,"POLYGON((-121.3 38.9,-121.3 39.0,-121.2 39.0,-121.2 38.9,-121.3 38.9))"
3924,-121.2,38.9,"POLYGON((-121.2 38.9,-121.2 39.0,-121.1 39.0,-121.1 38.9,-121.2 38.9))"
10049,-121.1,38.9,"POLYGON((-121.1 38.9,-121.1 39.0,-121.0 39.0,-121.0 38.9,-121.1 38.9))"
633,-121.0,38.9,"POLYGON((-121.0 38.9,-121.0 39.0,-120.9 39.0,-120.9 38.9,-121.0 38.9))"
1258,-120.9,38.9,"POLYGON((-120.9 38.9,-120.9 39.0,-120.8 39.0,-120.8 38.9,-120.9 38.9))"
1,-121.5,39.0,"POLYGON((-121.5 39.0,-121.5 39.1,-121.4 39.1,-121.4 39.0,-121.5 39.0))"
150,-121.4,39.0,"POLYGON((-121.4 39.0,-121.4 39.1,-121.3 39.1,-121.3 39.0,-121.4 39.0))"
180,-121.3,39.0,"POLYGON((-121.3 39.0,-121.3 39.1,-121.2 39.1,-121.2 39.0,-121.3 39.0))"
255,-121.2,39.0,"POLYGON((-121.2 39.0,-121.2 39.1,-121.1 39.1,-121.1 39.0,-121.2 39.0))"
1301,-121.1,39.0,"POLYGON((-121.1 39.0,-121.1 39.1,-121.0 39.1,-121.0 39.0,-121.1 39.0))"
3239,-121.0,39.0,"POLYGON((-121.0 39.0,-121.0 39.1,-120.9 39.1,-120.9 39.0,-121.0 39.0))"
982,-120.9,39.0,"POLYGON((-120.9 39.0,-120.9 39.1,-120.8 39.1,-120.8 39.0,-120.9 39.0))"
171,-120.8,39.0,"POLYGON((-120.8 39.0,-120.8 39.1,-120.7 39.1,-120.7 39.0,-120.8 39.0))"
5,-120.7,39.0,"POLYGON((-120.7 39.0,-120.7 39.1,-120.6 39.1,-120.6 39.0,-120.7 39.0))"
2,-120.6,39.0,"POLYGON((-120.6 39.0,-120.6 39.1,-120.5 39.1,-120.5 39.0,-120.6 39.0))"
6,-120.5,39.0,"POLYGON((-120.5 39.0,-120.5 39.1,-120.4 39.1,-120.4 39.0,-120.5 39.0))"
1705,-120.2,39.0,"POLYGON((-120.2 39.0,-120.2 39.1,-120.1 39.1,-120.1 39.0,-120.2 39.0))"
1184,-121.0,39.1,"POLYGON((-121.0 39.1,-121.0 39.2,-120.9 39.2,-120.9 39.1,-121.0 39.1))"
