count,lon,lat,area
2428,-105.1,39.7,"POLYGON((-105.1 39.7,-105.1 39.8,-105.0 39.8,-105.0 39.7,-105.1 39.7))"
1294,-105.0,39.7,"POLYGON((-105.0 39.7,-105.0 39.8,-104.9 39.8,-104.9 39.7,-105.0 39.7))"
11323,-104.9,39.7,"POLYGON((-104.9 39.7,-104.9 39.8,-104.8 39.8,-104.8 39.7,-104.9 39.7))"
3877,-104.8,39.7,"POLYGON((-104.8 39.7,-104.8 39.8,-104.7 39.8,-104.7 39.7,-104.8 39.7))"
193,-104.7,39.7,"POLYGON((-104.7 39.7,-104.7 39.8,-104.6 39.8,-104.6 39.7,-104.7 39.7))"
474,-104.6,39.7,"POLYGON((-104.6 39.7,-104.6 39.8,-104.5 39.8,-104.5 39.7,-104.6 39.7))"
1473,-104.5,39.7,"POLYGON((-104.5 39.7,-104.5 39.8,-104.4 39.8,-104.4 39.7,-104.5 39.7))"
1779,-104.4,39.7,"POLYGON((-104.4 39.7,-104.4 39.8,-104.3 39.8,-104.3 39.7,-104.4 39.7))"
181,-104.3,39.7,"POLYGON((-104.3 39.7,-104.3 39.8,-104.2 39.8,-104.2 39.7,-104.3 39.7))"
103,-104.2,39.7,"POLYGON((-104.2 39.7,-104.2 39.8,-104.1 39.8,-104.1 39.7,-104.2 39.7))"
49,-104.1,39.7,"POLYGON((-104.1 39.7,-104.1 39.8,-104.0 39.8,-104.0 39.7,-104.1 39.7))"
35,-104.0,39.7,"POLYGON((-104.0 39.7,-104.0 39.8,-103.9 39.8,-103.9 39.7,-104.0 39.7))"
24,-103.9,39.7,"POLYGON((-103.9 39.7,-103.9 39.8,-103.8 39.8,-103.8 39.7,-103.9 39.7))"
29,-103.8,39.7,"POLYGON((-103.8 39.7,-103.8 39.8,-103.7 39.8,-103.7 39.7,-103.8 39.7))"
39173,-105.1,39.8,"POLYGON((-105.1 39.8,-105.1 39.9,-105.0 39.9,-105.0 39.8,-105.1 39.8))"
44421,-105.0,39.8,"POLYGON((-105.0 39.8,-105.0 39.9,-104.9 39.9,-104.9 39.8,-105.0 39.8))"
6949,-104.9,39.8,"POLYGON((-104.9 39.8,-104.9 39.9,-104.8 39.9,-104.8 39.8,-104.9 39.8))"
8063,-104.8,39.8,"POLYGON((-104.8 39.8,-104.8 39.9,-104.7 39.9,-104.7 39.8,-104.8 39.8))"
58,-104.7,39.8,"POLYGON((-104.7 39.8,-104.7 39.9,-104.6 39.9,-104.6 39.8,-104.7 39.8))"
252,-104.6,39.8,"POLYGON((-104.6 39.8,-104.6 39.9,-104.5 39.9,-104.5 39.8,-104.6 39.8))"
439,-104.5,39.8,"POLYGON((-104.5 39.8,-104.5 39.9,-104.4 39.9,-104.4 39.8,-104.5 39.8))"
292,-104.4,39.8,"POLYGON((-104.4 39.8,-104.4 39.9,-104.3 39.9,-104.3 39.8,-104.4 39.8))"
169,-104.3,39.8,"POLYGON((-104.3 39.8,-104.3 39.9,-104.2 39.9,-104.2 39.8,-104.3 39.8))"
134,-104.2,39.8,"POLYGON((-104.2 39.8,-104.2 39.9,-104.1 39.9,-104.1 39.8,-104.2 39.8))"
74,-104.1,39.8,"POLYGON((-104.1 39.8,-104.1 39.9,-104.0 39.9,-104.0 39.8,-104.1 39.8))"
58,-104.0,39.8,"POLYGON((-104.0 39.8,-104.0 39.9,-103.9 39.9,-103.9 39.8,-104.0 39.8))"
84,-103.9,39.8,"POLYGON((-103.9 39.8,-103.9 39.9,-103.8 39.9,-103.8 39.8,-103.9 39.8))"
