count,lon,lat,area
1,-105.5,39.9,"POLYGON((-105.5 39.9,-105.5 40.0,-105.4 40.0,-105.4 39.9,-105.5 39.9))"
3,-105.4,39.9,"POLYGON((-105.4 39.9,-105.4 40.0,-105.3 40.0,-105.3 39.9,-105.4 39.9))"
11421,-105.3,39.9,"POLYGON((-105.3 39.9,-105.3 40.0,-105.2 40.0,-105.2 39.9,-105.3 39.9))"
33,-105.2,39.9,"POLYGON((-105.2 39.9,-105.2 40.0,-105.1 40.0,-105.1 39.9,-105.2 39.9))"
11,-105.5,40.0,"POLYGON((-105.5 40.0,-105.5 40.1,-105.4 40.1,-105.4 40.0,-105.5 40.0))"
723,-105.4,40.0,"POLYGON((-105.4 40.0,-105.4 40.1,-105.3 40.1,-105.3 40.0,-105.4 40.0))"
36776,-105.3,40.0,"POLYGON((-105.3 40.0,-105.3 40.1,-105.2 40.1,-105.2 40.0,-105.3 40.0))"
4565,-105.2,40.0,"POLYGON((-105.2 40.0,-105.2 40.1,-105.1 40.1,-105.1 40.0,-105.2 40.0))"
4,-105.4,40.1,"POLYGON((-105.4 40.1,-105.4 40.2,-105.3 40.2,-105.3 40.1,-105.4 40.1))"
22,-105.3,40.1,"POLYGON((-105.3 40.1,-105.3 40.2,-105.2 40.2,-105.2 40.1,-105.3 40.1))"
86,-105.2,40.1,"POLYGON((-105.2 40.1,-105.2 40.2,-105.1 40.2,-105.1 40.1,-105.2 40.1))"
