count,lon,lat,area
12,-103.5,40.4,"POLYGON((-103.5 40.4,-103.5 40.5,-103.4 40.5,-103.4 40.4,-103.5 40.4))"
24,-103.4,40.4,"POLYGON((-103.4 40.4,-103.4 40.5,-103.3 40.5,-103.3 40.4,-103.4 40.4))"
20,-103.3,40.4,"POLYGON((-103.3 40.4,-103.3 40.5,-103.2 40.5,-103.2 40.4,-103.3 40.4))"
20,-103.2,40.4,"POLYGON((-103.2 40.4,-103.2 40.5,-103.1 40.5,-103.1 40.4,-103.2 40.4))"
20,-103.1,40.4,"POLYGON((-103.1 40.4,-103.1 40.5,-103.0 40.5,-103.0 40.4,-103.1 40.4))"
24,-103.0,40.4,"POLYGON((-103.0 40.4,-103.0 40.5,-102.9 40.5,-102.9 40.4,-103.0 40.4))"
20,-102.9,40.4,"POLYGON((-102.9 40.4,-102.9 40.5,-102.8 40.5,-102.8 40.4,-102.9 40.4))"
20,-102.8,40.4,"POLYGON((-102.8 40.4,-102.8 40.5,-102.7 40.5,-102.7 40.4,-102.8 40.4))"
8,-102.7,40.4,"POLYGON((-102.7 40.4,-102.7 40.5,-102.6 40.5,-102.6 40.4,-102.7 40.4))"
20,-103.6,40.5,"POLYGON((-103.6 40.5,-103.6 40.6,-103.5 40.6,-103.5 40.5,-103.6 40.5))"
36,-103.5,40.5,"POLYGON((-103.5 40.5,-103.5 40.6,-103.4 40.6,-103.4 40.5,-103.5 40.5))"
37,-103.4,40.5,"POLYGON((-103.4 40.5,-103.4 40.6,-103.3 40.6,-103.3 40.5,-103.4 40.5))"
35,-103.3,40.5,"POLYGON((-103.3 40.5,-103.3 40.6,-103.2 40.6,-103.2 40.5,-103.3 40.5))"
35,-103.2,40.5,"POLYGON((-103.2 40.5,-103.2 40.6,-103.1 40.6,-103.1 40.5,-103.2 40.5))"
38,-103.1,40.5,"POLYGON((-103.1 40.5,-103.1 40.6,-103.0 40.6,-103.0 40.5,-103.1 40.5))"
39,-103.0,40.5,"POLYGON((-103.0 40.5,-103.0 40.6,-102.9 40.6,-102.9 40.5,-103.0 40.5))"
35,-102.9,40.5,"POLYGON((-102.9 40.5,-102.9 40.6,-102.8 40.6,-102.8 40.5,-102.9 40.5))"
35,-102.8,40.5,"POLYGON((-102.8 40.5,-102.8 40.6,-102.7 40.6,-102.7 40.5,-102.8 40.5))"
14,-102.7,40.5,"POLYGON((-102.7 40.5,-102.7 40.6,-102.6 40.6,-102.6 40.5,-102.7 40.5))"
28,-103.6,40.6,"POLYGON((-103.6 40.6,-103.6 40.7,-103.5 40.7,-103.5 40.6,-103.6 40.6))"
42,-103.5,40.6,"POLYGON((-103.5 40.6,-103.5 40.7,-103.4 40.7,-103.4 40.6,-103.5 40.6))"
35,-103.4,40.6,"POLYGON((-103.4 40.6,-103.4 40.7,-103.3 40.7,-103.3 40.6,-103.4 40.6))"
35,-103.3,40.6,"POLYGON((-103.3 40.6,-103.3 40.7,-103.2 40.7,-103.2 40.6,-103.3 40.6))"
35,-103.2,40.6,"POLYGON((-103.2 40.6,-103.2 40.7,-103.1 40.7,-103.1 40.6,-103.2 40.6))"
42,-103.1,40.6,"POLYGON((-103.1 40.6,-103.1 40.7,-103.0 40.7,-103.0 40.6,-103.1 40.6))"
35,-103.0,40.6,"POLYGON((-103.0 40.6,-103.0 40.7,-102.9 40.7,-102.9 40.6,-103.0 40.6))"
35,-102.9,40.6,"POLYGON((-102.9 40.6,-102.9 40.7,-102.8 40.7,-102.8 40.6,-102.9 40.6))"
35,-102.8,40.6,"POLYGON((-102.8 40.6,-102.8 40.7,-102.7 40.7,-102.7 40.6,-102.8 40.6))"
