count,lon,lat,area
1,-82.0,24.5,"POLYGON((-82.0 24.5,-82.0 24.6,-81.9 24.6,-81.9 24.5,-82.0 24.5))"
1987,-81.9,24.5,"POLYGON((-81.9 24.5,-81.9 24.6,-81.8 24.6,-81.8 24.5,-81.9 24.5))"
12034,-81.8,24.5,"POLYGON((-81.8 24.5,-81.8 24.6,-81.7 24.6,-81.7 24.5,-81.8 24.5))"
2298,-81.7,24.5,"POLYGON((-81.7 24.5,-81.7 24.6,-81.6 24.6,-81.6 24.5,-81.7 24.5))"
6,-81.6,24.5,"POLYGON((-81.6 24.5,-81.6 24.6,-81.5 24.6,-81.5 24.5,-81.6 24.5))"
1,-81.9,24.6,"POLYGON((-81.9 24.6,-81.9 24.7,-81.8 24.7,-81.8 24.6,-81.9 24.6))"
18,-81.8,24.6,"POLYGON((-81.8 24.6,-81.8 24.7,-81.7 24.7,-81.7 24.6,-81.8 24.6))"
637,-81.7,24.6,"POLYGON((-81.7 24.6,-81.7 24.7,-81.6 24.7,-81.6 24.6,-81.7 24.6))"
2606,-81.6,24.6,"POLYGON((-81.6 24.6,-81.6 24.7,-81.5 24.7,-81.5 24.6,-81.6 24.6))"
6232,-81.5,24.6,"POLYGON((-81.5 24.6,-81.5 24.7,-81.4 24.7,-81.4 24.6,-81.5 24.6))"
8435,-81.4,24.6,"POLYGON((-81.4 24.6,-81.4 24.7,-81.3 24.7,-81.3 24.6,-81.4 24.6))"
31,-81.3,24.6,"POLYGON((-81.3 24.6,-81.3 24.7,-81.2 24.7,-81.2 24.6,-81.3 24.6))"
11,-81.2,24.6,"POLYGON((-81.2 24.6,-81.2 24.7,-81.1 24.7,-81.1 24.6,-81.2 24.6))"
465,-81.1,24.6,"POLYGON((-81.1 24.6,-81.1 24.7,-81.0 24.7,-81.0 24.6,-81.1 24.6))"
2,-81.7,24.7,"POLYGON((-81.7 24.7,-81.7 24.8,-81.6 24.8,-81.6 24.7,-81.7 24.7))"
30,-81.6,24.7,"POLYGON((-81.6 24.7,-81.6 24.8,-81.5 24.8,-81.5 24.7,-81.6 24.7))"
1213,-81.5,24.7,"POLYGON((-81.5 24.7,-81.5 24.8,-81.4 24.8,-81.4 24.7,-81.5 24.7))"
2249,-81.4,24.7,"POLYGON((-81.4 24.7,-81.4 24.8,-81.3 24.8,-81.3 24.7,-81.4 24.7))"
6,-81.3,24.7,"POLYGON((-81.3 24.7,-81.3 24.8,-81.2 24.8,-81.2 24.7,-81.3 24.7))"
477,-81.2,24.7,"POLYGON((-81.2 24.7,-81.2 24.8,-81.1 24.8,-81.1 24.7,-81.2 24.7))"
7342,-81.1,24.7,"POLYGON((-81.1 24.7,-81.1 24.8,-81.0 24.8,-81.0 24.7,-81.1 24.7))"
2568,-81.0,24.7,"POLYGON((-81.0 24.7,-81.0 24.8,-80.9 24.8,-80.9 24.7,-81.0 24.7))"
126,-80.9,24.7,"POLYGON((-80.9 24.7,-80.9 24.8,-80.8 24.8,-80.8 24.7,-80.9 24.7))"
742,-80.9,24.8,"POLYGON((-80.9 24.8,-80.9 24.9,-80.8 24.9,-80.8 24.8,-80.9 24.8))"
1342,-80.8,24.8,"POLYGON((-80.8 24.8,-80.8 24.9,-80.7 24.9,-80.7 24.8,-80.8 24.8))"
171,-80.7,24.8,"POLYGON((-80.7 24.8,-80.7 24.9,-80.6 24.9,-80.6 24.8,-80.7 24.8))"
1,-80.8,24.9,"POLYGON((-80.8 24.9,-80.8 25.0,-80.7 25.0,-80.7 24.9,-80.8 24.9))"
1170,-80.7,24.9,"POLYGON((-80.7 24.9,-80.7 25.0,-80.6 25.0,-80.6 24.9,-80.7 24.9))"
3883,-80.6,24.9,"POLYGON((-80.6 24.9,-80.6 25.0,-80.5 25.0,-80.5 24.9,-80.6 24.9))"
1,-81.1,25.0,"POLYGON((-81.1 25.0,-81.1 25.1,-81.0 25.1,-81.0 25.0,-81.1 25.0))"
1,-81.0,25.0,"POLYGON((-81.0 25.0,-81.0 25.1,-80.9 25.1,-80.9 25.0,-81.0 25.0))"
2592,-80.6,25.0,"POLYGON((-80.6 25.0,-80.6 25.1,-80.5 25.1,-80.5 25.0,-80.6 25.0))"
6203,-80.5,25.0,"POLYGON((-80.5 25.0,-80.5 25.1,-80.4 25.1,-80.4 25.0,-80.5 25.0))"
24,-81.2,25.1,"POLYGON((-81.2 25.1,-81.2 25.2,-81.1 25.2,-81.1 25.1,-81.2 25.1))"
39,-81.1,25.1,"POLYGON((-81.1 25.1,-81.1 25.2,-81.0 25.2,-81.0 25.1,-81.1 25.1))"
62,-81.0,25.1,"POLYGON((-81.0 25.1,-81.0 25.2,-80.9 25.2,-80.9 25.1,-81.0 25.1))"
22,-80.9,25.1,"POLYGON((-80.9 25.1,-80.9 25.2,-80.8 25.2,-80.8 25.1,-80.9 25.1))"
3966,-80.5,25.1,"POLYGON((-80.5 25.1,-80.5 25.2,-80.4 25.2,-80.4 25.1,-80.5 25.1))"
3870,-80.4,25.1,"POLYGON((-80.4 25.1,-80.4 25.2,-80.3 25.2,-80.3 25.1,-80.4 25.1))"
28,-81.2,25.2,"POLYGON((-81.2 25.2,-81.2 25.3,-81.1 25.3,-81.1 25.2,-81.2 25.2))"
5,-81.1,25.2,"POLYGON((-81.1 25.2,-81.1 25.3,-81.0 25.3,-81.0 25.2,-81.1 25.2))"
2,-81.0,25.2,"POLYGON((-81.0 25.2,-81.0 25.3,-80.9 25.3,-80.9 25.2,-81.0 25.2))"
186,-80.5,25.2,"POLYGON((-80.5 25.2,-80.5 25.3,-80.4 25.3,-80.4 25.2,-80.5 25.2))"
806,-80.4,25.2,"POLYGON((-80.4 25.2,-80.4 25.3,-80.3 25.3,-80.3 25.2,-80.4 25.2))"
271,-80.3,25.2,"POLYGON((-80.3 25.2,-80.3 25.3,-80.2 25.3,-80.2 25.2,-80.3 25.2))"
6,-81.2,25.3,"POLYGON((-81.2 25.3,-81.2 25.4,-81.1 25.4,-81.1 25.3,-81.2 25.3))"
1,-81.0,25.3,"POLYGON((-81.0 25.3,-81.0 25.4,-80.9 25.4,-80.9 25.3,-81.0 25.3))"
3,-80.4,25.3,"POLYGON((-80.4 25.3,-80.4 25.4,-80.3 25.4,-80.3 25.3,-80.4 25.3))"
2122,-80.3,25.3,"POLYGON((-80.3 25.3,-80.3 25.4,-80.2 25.4,-80.2 25.3,-80.3 25.3))"
6,-81.2,25.4,"POLYGON((-81.2 25.4,-81.2 25.5,-81.1 25.5,-81.1 25.4,-81.2 25.4))"
1,-81.1,25.4,"POLYGON((-81.1 25.4,-81.1 25.5,-81.0 25.5,-81.0 25.4,-81.1 25.4))"
2,-81.0,25.4,"POLYGON((-81.0 25.4,-81.0 25.5,-80.9 25.5,-80.9 25.4,-81.0 25.4))"
77,-81.3,25.5,"POLYGON((-81.3 25.5,-81.3 25.6,-81.2 25.6,-81.2 25.5,-81.3 25.5))"
8,-81.2,25.5,"POLYGON((-81.2 25.5,-81.2 25.6,-81.1 25.6,-81.1 25.5,-81.2 25.5))"
3,-81.1,25.5,"POLYGON((-81.1 25.5,-81.1 25.6,-81.0 25.6,-81.0 25.5,-81.1 25.5))"
3,-81.0,25.5,"POLYGON((-81.0 25.5,-81.0 25.6,-80.9 25.6,-80.9 25.5,-81.0 25.5))"
1,-81.4,25.6,"POLYGON((-81.4 25.6,-81.4 25.7,-81.3 25.7,-81.3 25.6,-81.4 25.6))"
2445,-81.3,25.6,"POLYGON((-81.3 25.6,-81.3 25.7,-81.2 25.7,-81.2 25.6,-81.3 25.6))"
1540,-81.2,25.6,"POLYGON((-81.2 25.6,-81.2 25.7,-81.1 25.7,-81.1 25.6,-81.2 25.6))"
593,-81.1,25.6,"POLYGON((-81.1 25.6,-81.1 25.7,-81.0 25.7,-81.0 25.6,-81.1 25.6))"
2011,-81.0,25.6,"POLYGON((-81.0 25.6,-81.0 25.7,-80.9 25.7,-80.9 25.6,-81.0 25.6))"
443,-80.9,25.6,"POLYGON((-80.9 25.6,-80.9 25.7,-80.8 25.7,-80.8 25.6,-80.9 25.6))"
80,-81.4,25.7,"POLYGON((-81.4 25.7,-81.4 25.8,-81.3 25.8,-81.3 25.7,-81.4 25.7))"
495,-81.3,25.7,"POLYGON((-81.3 25.7,-81.3 25.8,-81.2 25.8,-81.2 25.7,-81.3 25.7))"
1570,-81.2,25.7,"POLYGON((-81.2 25.7,-81.2 25.8,-81.1 25.8,-81.1 25.7,-81.2 25.7))"
937,-81.1,25.7,"POLYGON((-81.1 25.7,-81.1 25.8,-81.0 25.8,-81.0 25.7,-81.1 25.7))"
2876,-81.0,25.7,"POLYGON((-81.0 25.7,-81.0 25.8,-80.9 25.8,-80.9 25.7,-81.0 25.7))"
331,-80.9,25.7,"POLYGON((-80.9 25.7,-80.9 25.8,-80.8 25.8,-80.8 25.7,-80.9 25.7))"
5,-81.8,25.8,"POLYGON((-81.8 25.8,-81.8 25.9,-81.7 25.9,-81.7 25.8,-81.8 25.8))"
224,-81.7,25.8,"POLYGON((-81.7 25.8,-81.7 25.9,-81.6 25.9,-81.6 25.8,-81.7 25.8))"
507,-81.6,25.8,"POLYGON((-81.6 25.8,-81.6 25.9,-81.5 25.9,-81.5 25.8,-81.6 25.8))"
954,-81.5,25.8,"POLYGON((-81.5 25.8,-81.5 25.9,-81.4 25.9,-81.4 25.8,-81.5 25.8))"
1447,-81.4,25.8,"POLYGON((-81.4 25.8,-81.4 25.9,-81.3 25.9,-81.3 25.8,-81.4 25.8))"
110,-81.3,25.8,"POLYGON((-81.3 25.8,-81.3 25.9,-81.2 25.9,-81.2 25.8,-81.3 25.8))"
223,-81.2,25.8,"POLYGON((-81.2 25.8,-81.2 25.9,-81.1 25.9,-81.1 25.8,-81.2 25.8))"
118,-81.1,25.8,"POLYGON((-81.1 25.8,-81.1 25.9,-81.0 25.9,-81.0 25.8,-81.1 25.8))"
192,-81.0,25.8,"POLYGON((-81.0 25.8,-81.0 25.9,-80.9 25.9,-80.9 25.8,-81.0 25.8))"
63,-80.9,25.8,"POLYGON((-80.9 25.8,-80.9 25.9,-80.8 25.9,-80.8 25.8,-80.9 25.8))"
8942,-81.8,25.9,"POLYGON((-81.8 25.9,-81.8 26.0,-81.7 26.0,-81.7 25.9,-81.8 25.9))"
2182,-81.7,25.9,"POLYGON((-81.7 25.9,-81.7 26.0,-81.6 26.0,-81.6 25.9,-81.7 25.9))"
1955,-81.6,25.9,"POLYGON((-81.6 25.9,-81.6 26.0,-81.5 26.0,-81.5 25.9,-81.6 25.9))"
2033,-81.5,25.9,"POLYGON((-81.5 25.9,-81.5 26.0,-81.4 26.0,-81.4 25.9,-81.5 25.9))"
1714,-81.4,25.9,"POLYGON((-81.4 25.9,-81.4 26.0,-81.3 26.0,-81.3 25.9,-81.4 25.9))"
108,-81.3,25.9,"POLYGON((-81.3 25.9,-81.3 26.0,-81.2 26.0,-81.2 25.9,-81.3 25.9))"
60,-81.2,25.9,"POLYGON((-81.2 25.9,-81.2 26.0,-81.1 26.0,-81.1 25.9,-81.2 25.9))"
