count,lon,lat,area
411,-82.3,26.7,"POLYGON((-82.3 26.7,-82.3 26.8,-82.2 26.8,-82.2 26.7,-82.3 26.7))"
4150,-82.1,26.7,"POLYGON((-82.1 26.7,-82.1 26.8,-82.0 26.8,-82.0 26.7,-82.1 26.7))"
1146,-82.0,26.7,"POLYGON((-82.0 26.7,-82.0 26.8,-81.9 26.8,-81.9 26.7,-82.0 26.7))"
280,-81.9,26.7,"POLYGON((-81.9 26.7,-81.9 26.8,-81.8 26.8,-81.8 26.7,-81.9 26.7))"
2668,-81.8,26.7,"POLYGON((-81.8 26.7,-81.8 26.8,-81.7 26.8,-81.7 26.7,-81.8 26.7))"
4192,-82.4,26.8,"POLYGON((-82.4 26.8,-82.4 26.9,-82.3 26.9,-82.3 26.8,-82.4 26.8))"
26773,-82.3,26.8,"POLYGON((-82.3 26.8,-82.3 26.9,-82.2 26.9,-82.2 26.8,-82.3 26.8))"
3116,-82.2,26.8,"POLYGON((-82.2 26.8,-82.2 26.9,-82.1 26.9,-82.1 26.8,-82.2 26.8))"
16023,-82.1,26.8,"POLYGON((-82.1 26.8,-82.1 26.9,-82.0 26.9,-82.0 26.8,-82.1 26.8))"
11642,-82.0,26.8,"POLYGON((-82.0 26.8,-82.0 26.9,-81.9 26.9,-81.9 26.8,-82.0 26.8))"
442,-81.9,26.8,"POLYGON((-81.9 26.8,-81.9 26.9,-81.8 26.9,-81.8 26.8,-81.9 26.8))"
206,-81.8,26.8,"POLYGON((-81.8 26.8,-81.8 26.9,-81.7 26.9,-81.7 26.8,-81.8 26.8))"
2,-81.7,26.8,"POLYGON((-81.7 26.8,-81.7 26.9,-81.6 26.9,-81.6 26.8,-81.7 26.8))"
10,-81.6,26.8,"POLYGON((-81.6 26.8,-81.6 26.9,-81.5 26.9,-81.5 26.8,-81.6 26.8))"
13157,-82.4,26.9,"POLYGON((-82.4 26.9,-82.4 27.0,-82.3 27.0,-82.3 26.9,-82.4 26.9))"
46634,-82.3,26.9,"POLYGON((-82.3 26.9,-82.3 27.0,-82.2 27.0,-82.2 26.9,-82.3 26.9))"
25383,-82.2,26.9,"POLYGON((-82.2 26.9,-82.2 27.0,-82.1 27.0,-82.1 26.9,-82.2 26.9))"
44805,-82.1,26.9,"POLYGON((-82.1 26.9,-82.1 27.0,-82.0 27.0,-82.0 26.9,-82.1 26.9))"
11336,-82.0,26.9,"POLYGON((-82.0 26.9,-82.0 27.0,-81.9 27.0,-81.9 26.9,-82.0 26.9))"
1133,-81.9,26.9,"POLYGON((-81.9 26.9,-81.9 27.0,-81.8 27.0,-81.8 26.9,-81.9 26.9))"
203,-81.8,26.9,"POLYGON((-81.8 26.9,-81.8 27.0,-81.7 27.0,-81.7 26.9,-81.8 26.9))"
1081,-81.7,26.9,"POLYGON((-81.7 26.9,-81.7 27.0,-81.6 27.0,-81.6 26.9,-81.7 26.9))"
19,-81.6,26.9,"POLYGON((-81.6 26.9,-81.6 27.0,-81.5 27.0,-81.5 26.9,-81.6 26.9))"
14037,-82.3,27.0,"POLYGON((-82.3 27.0,-82.3 27.1,-82.2 27.1,-82.2 27.0,-82.3 27.0))"
26982,-82.2,27.0,"POLYGON((-82.2 27.0,-82.2 27.1,-82.1 27.1,-82.1 27.0,-82.2 27.0))"
26577,-82.1,27.0,"POLYGON((-82.1 27.0,-82.1 27.1,-82.0 27.1,-82.0 27.0,-82.1 27.0))"
6197,-82.0,27.0,"POLYGON((-82.0 27.0,-82.0 27.1,-81.9 27.1,-81.9 27.0,-82.0 27.0))"
82,-81.9,27.0,"POLYGON((-81.9 27.0,-81.9 27.1,-81.8 27.1,-81.8 27.0,-81.9 27.0))"
198,-81.8,27.0,"POLYGON((-81.8 27.0,-81.8 27.1,-81.7 27.1,-81.7 27.0,-81.8 27.0))"
46,-81.7,27.0,"POLYGON((-81.7 27.0,-81.7 27.1,-81.6 27.1,-81.6 27.0,-81.7 27.0))"
2,-81.6,27.0,"POLYGON((-81.6 27.0,-81.6 27.1,-81.5 27.1,-81.5 27.0,-81.6 27.0))"
