count,lon,lat,area
180,-82.1,30.1,"POLYGON((-82.1 30.1,-82.1 30.2,-82.0 30.2,-82.0 30.1,-82.1 30.1))"
348,-82.0,30.1,"POLYGON((-82.0 30.1,-82.0 30.2,-81.9 30.2,-81.9 30.1,-82.0 30.1))"
3108,-81.9,30.1,"POLYGON((-81.9 30.1,-81.9 30.2,-81.8 30.2,-81.8 30.1,-81.9 30.1))"
7085,-81.8,30.1,"POLYGON((-81.8 30.1,-81.8 30.2,-81.7 30.2,-81.7 30.1,-81.8 30.1))"
24397,-81.7,30.1,"POLYGON((-81.7 30.1,-81.7 30.2,-81.6 30.2,-81.6 30.1,-81.7 30.1))"
31943,-81.6,30.1,"POLYGON((-81.6 30.1,-81.6 30.2,-81.5 30.2,-81.5 30.1,-81.6 30.1))"
3042,-81.5,30.1,"POLYGON((-81.5 30.1,-81.5 30.2,-81.4 30.2,-81.4 30.1,-81.5 30.1))"
169,-82.1,30.2,"POLYGON((-82.1 30.2,-82.1 30.3,-82.0 30.3,-82.0 30.2,-82.1 30.2))"
2198,-82.0,30.2,"POLYGON((-82.0 30.2,-82.0 30.3,-81.9 30.3,-81.9 30.2,-82.0 30.2))"
18295,-81.9,30.2,"POLYGON((-81.9 30.2,-81.9 30.3,-81.8 30.3,-81.8 30.2,-81.9 30.2))"
65462,-81.8,30.2,"POLYGON((-81.8 30.2,-81.8 30.3,-81.7 30.3,-81.7 30.2,-81.8 30.2))"
39381,-81.7,30.2,"POLYGON((-81.7 30.2,-81.7 30.3,-81.6 30.3,-81.6 30.2,-81.7 30.2))"
74266,-81.6,30.2,"POLYGON((-81.6 30.2,-81.6 30.3,-81.5 30.3,-81.5 30.2,-81.6 30.2))"
30386,-81.5,30.2,"POLYGON((-81.5 30.2,-81.5 30.3,-81.4 30.3,-81.4 30.2,-81.5 30.2))"
7998,-81.4,30.2,"POLYGON((-81.4 30.2,-81.4 30.3,-81.3 30.3,-81.3 30.2,-81.4 30.2))"
97,-82.1,30.3,"POLYGON((-82.1 30.3,-82.1 30.4,-82.0 30.4,-82.0 30.3,-82.1 30.3))"
878,-82.0,30.3,"POLYGON((-82.0 30.3,-82.0 30.4,-81.9 30.4,-81.9 30.3,-82.0 30.3))"
7353,-81.9,30.3,"POLYGON((-81.9 30.3,-81.9 30.4,-81.8 30.4,-81.8 30.3,-81.9 30.3))"
41757,-81.8,30.3,"POLYGON((-81.8 30.3,-81.8 30.4,-81.7 30.4,-81.7 30.3,-81.8 30.3))"
92591,-81.7,30.3,"POLYGON((-81.7 30.3,-81.7 30.4,-81.6 30.4,-81.6 30.3,-81.7 30.3))"
68004,-81.6,30.3,"POLYGON((-81.6 30.3,-81.6 30.4,-81.5 30.4,-81.5 30.3,-81.6 30.3))"
45205,-81.5,30.3,"POLYGON((-81.5 30.3,-81.5 30.4,-81.4 30.4,-81.4 30.3,-81.5 30.3))"
5039,-81.4,30.3,"POLYGON((-81.4 30.3,-81.4 30.4,-81.3 30.4,-81.3 30.3,-81.4 30.3))"
1388,-81.9,30.4,"POLYGON((-81.9 30.4,-81.9 30.5,-81.8 30.5,-81.8 30.4,-81.9 30.4))"
14317,-81.8,30.4,"POLYGON((-81.8 30.4,-81.8 30.5,-81.7 30.5,-81.7 30.4,-81.8 30.4))"
29281,-81.7,30.4,"POLYGON((-81.7 30.4,-81.7 30.5,-81.6 30.5,-81.6 30.4,-81.7 30.4))"
9626,-81.6,30.4,"POLYGON((-81.6 30.4,-81.6 30.5,-81.5 30.5,-81.5 30.4,-81.6 30.4))"
491,-81.5,30.4,"POLYGON((-81.5 30.4,-81.5 30.5,-81.4 30.5,-81.4 30.4,-81.5 30.4))"
709,-81.8,30.5,"POLYGON((-81.8 30.5,-81.8 30.6,-81.7 30.6,-81.7 30.5,-81.8 30.5))"
3746,-81.7,30.5,"POLYGON((-81.7 30.5,-81.7 30.6,-81.6 30.6,-81.6 30.5,-81.7 30.5))"
1493,-81.6,30.5,"POLYGON((-81.6 30.5,-81.6 30.6,-81.5 30.6,-81.5 30.5,-81.6 30.5))"
571,-81.5,30.5,"POLYGON((-81.5 30.5,-81.5 30.6,-81.4 30.6,-81.4 30.5,-81.5 30.5))"
