count,lon,lat,area
241,-82.6,31.4,"POLYGON((-82.6 31.4,-82.6 31.5,-82.5 31.5,-82.5 31.4,-82.6 31.4))"
642,-82.5,31.4,"POLYGON((-82.5 31.4,-82.5 31.5,-82.4 31.5,-82.4 31.4,-82.5 31.4))"
368,-82.4,31.4,"POLYGON((-82.4 31.4,-82.4 31.5,-82.3 31.5,-82.3 31.4,-82.4 31.4))"
33,-82.3,31.4,"POLYGON((-82.3 31.4,-82.3 31.5,-82.2 31.5,-82.2 31.4,-82.3 31.4))"
98,-82.7,31.5,"POLYGON((-82.7 31.5,-82.7 31.6,-82.6 31.6,-82.6 31.5,-82.7 31.5))"
1136,-82.6,31.5,"POLYGON((-82.6 31.5,-82.6 31.6,-82.5 31.6,-82.5 31.5,-82.6 31.5))"
2834,-82.5,31.5,"POLYGON((-82.5 31.5,-82.5 31.6,-82.4 31.6,-82.4 31.5,-82.5 31.5))"
664,-82.4,31.5,"POLYGON((-82.4 31.5,-82.4 31.6,-82.3 31.6,-82.3 31.5,-82.4 31.5))"
275,-82.3,31.5,"POLYGON((-82.3 31.5,-82.3 31.6,-82.2 31.6,-82.2 31.5,-82.3 31.5))"
117,-82.7,31.6,"POLYGON((-82.7 31.6,-82.7 31.7,-82.6 31.7,-82.6 31.6,-82.7 31.6))"
547,-82.6,31.6,"POLYGON((-82.6 31.6,-82.6 31.7,-82.5 31.7,-82.5 31.6,-82.6 31.6))"
542,-82.5,31.6,"POLYGON((-82.5 31.6,-82.5 31.7,-82.4 31.7,-82.4 31.6,-82.5 31.6))"
235,-82.4,31.6,"POLYGON((-82.4 31.6,-82.4 31.7,-82.3 31.7,-82.3 31.6,-82.4 31.6))"
24,-82.6,31.7,"POLYGON((-82.6 31.7,-82.6 31.8,-82.5 31.8,-82.5 31.7,-82.6 31.7))"
12,-82.5,31.7,"POLYGON((-82.5 31.7,-82.5 31.8,-82.4 31.8,-82.4 31.7,-82.5 31.7))"
