count,lon,lat,area
1,-81.2,31.7,"POLYGON((-81.2 31.7,-81.2 31.8,-81.1 31.8,-81.1 31.7,-81.2 31.7))"
3,-81.2,31.8,"POLYGON((-81.2 31.8,-81.2 31.9,-81.1 31.9,-81.1 31.8,-81.2 31.8))"
460,-81.1,31.8,"POLYGON((-81.1 31.8,-81.1 31.9,-81.0 31.9,-81.0 31.8,-81.1 31.8))"
2,-81.0,31.8,"POLYGON((-81.0 31.8,-81.0 31.9,-80.9 31.9,-80.9 31.8,-81.0 31.8))"
1,-81.4,31.9,"POLYGON((-81.4 31.9,-81.4 32.0,-81.3 32.0,-81.3 31.9,-81.4 31.9))"
5603,-81.3,31.9,"POLYGON((-81.3 31.9,-81.3 32.0,-81.2 32.0,-81.2 31.9,-81.3 31.9))"
13362,-81.2,31.9,"POLYGON((-81.2 31.9,-81.2 32.0,-81.1 32.0,-81.1 31.9,-81.2 31.9))"
8790,-81.1,31.9,"POLYGON((-81.1 31.9,-81.1 32.0,-81.0 32.0,-81.0 31.9,-81.1 31.9))"
1457,-81.0,31.9,"POLYGON((-81.0 31.9,-81.0 32.0,-80.9 32.0,-80.9 31.9,-81.0 31.9))"
1310,-80.9,31.9,"POLYGON((-80.9 31.9,-80.9 32.0,-80.8 32.0,-80.8 31.9,-80.9 31.9))"
949,-81.4,32.0,"POLYGON((-81.4 32.0,-81.4 32.1,-81.3 32.1,-81.3 32.0,-81.4 32.0))"
11885,-81.3,32.0,"POLYGON((-81.3 32.0,-81.3 32.1,-81.2 32.1,-81.2 32.0,-81.3 32.0))"
20292,-81.2,32.0,"POLYGON((-81.2 32.0,-81.2 32.1,-81.1 32.1,-81.1 32.0,-81.2 32.0))"
27998,-81.1,32.0,"POLYGON((-81.1 32.0,-81.1 32.1,-81.0 32.1,-81.0 32.0,-81.1 32.0))"
6125,-81.0,32.0,"POLYGON((-81.0 32.0,-81.0 32.1,-80.9 32.1,-80.9 32.0,-81.0 32.0))"
2796,-80.9,32.0,"POLYGON((-80.9 32.0,-80.9 32.1,-80.8 32.1,-80.8 32.0,-80.9 32.0))"
553,-81.4,32.1,"POLYGON((-81.4 32.1,-81.4 32.2,-81.3 32.2,-81.3 32.1,-81.4 32.1))"
10203,-81.3,32.1,"POLYGON((-81.3 32.1,-81.3 32.2,-81.2 32.2,-81.2 32.1,-81.3 32.1))"
3168,-81.2,32.1,"POLYGON((-81.2 32.1,-81.2 32.2,-81.1 32.2,-81.1 32.1,-81.2 32.1))"
1,-81.1,32.1,"POLYGON((-81.1 32.1,-81.1 32.2,-81.0 32.2,-81.0 32.1,-81.1 32.1))"
367,-81.3,32.2,"POLYGON((-81.3 32.2,-81.3 32.3,-81.2 32.3,-81.2 32.2,-81.3 32.2))"
1048,-81.2,32.2,"POLYGON((-81.2 32.2,-81.2 32.3,-81.1 32.3,-81.1 32.2,-81.2 32.2))"
