count,lon,lat,area
3,-84.5,31.4,"POLYGON((-84.5 31.4,-84.5 31.5,-84.4 31.5,-84.4 31.4,-84.5 31.4))"
38,-84.4,31.4,"POLYGON((-84.4 31.4,-84.4 31.5,-84.3 31.5,-84.3 31.4,-84.4 31.4))"
627,-84.3,31.4,"POLYGON((-84.3 31.4,-84.3 31.5,-84.2 31.5,-84.2 31.4,-84.3 31.4))"
1445,-84.2,31.4,"POLYGON((-84.2 31.4,-84.2 31.5,-84.1 31.5,-84.1 31.4,-84.2 31.4))"
344,-84.1,31.4,"POLYGON((-84.1 31.4,-84.1 31.5,-84.0 31.5,-84.0 31.4,-84.1 31.4))"
232,-84.0,31.4,"POLYGON((-84.0 31.4,-84.0 31.5,-83.9 31.5,-83.9 31.4,-84.0 31.4))"
29,-84.5,31.5,"POLYGON((-84.5 31.5,-84.5 31.6,-84.4 31.6,-84.4 31.5,-84.5 31.5))"
194,-84.4,31.5,"POLYGON((-84.4 31.5,-84.4 31.6,-84.3 31.6,-84.3 31.5,-84.4 31.5))"
5569,-84.3,31.5,"POLYGON((-84.3 31.5,-84.3 31.6,-84.2 31.6,-84.2 31.5,-84.3 31.5))"
18488,-84.2,31.5,"POLYGON((-84.2 31.5,-84.2 31.6,-84.1 31.6,-84.1 31.5,-84.2 31.5))"
3024,-84.1,31.5,"POLYGON((-84.1 31.5,-84.1 31.6,-84.0 31.6,-84.0 31.5,-84.1 31.5))"
258,-84.0,31.5,"POLYGON((-84.0 31.5,-84.0 31.6,-83.9 31.6,-83.9 31.5,-84.0 31.5))"
10,-84.5,31.6,"POLYGON((-84.5 31.6,-84.5 31.7,-84.4 31.7,-84.4 31.6,-84.5 31.6))"
234,-84.4,31.6,"POLYGON((-84.4 31.6,-84.4 31.7,-84.3 31.7,-84.3 31.6,-84.4 31.6))"
3383,-84.3,31.6,"POLYGON((-84.3 31.6,-84.3 31.7,-84.2 31.7,-84.2 31.6,-84.3 31.6))"
3649,-84.2,31.6,"POLYGON((-84.2 31.6,-84.2 31.7,-84.1 31.7,-84.1 31.6,-84.2 31.6))"
181,-84.1,31.6,"POLYGON((-84.1 31.6,-84.1 31.7,-84.0 31.7,-84.0 31.6,-84.1 31.6))"
6,-84.0,31.6,"POLYGON((-84.0 31.6,-84.0 31.7,-83.9 31.7,-83.9 31.6,-84.0 31.6))"
