count,lon,lat,area
27,-85.0,32.5,"POLYGON((-85.0 32.5,-85.0 32.6,-84.9 32.6,-84.9 32.5,-85.0 32.5))"
480,-84.9,32.5,"POLYGON((-84.9 32.5,-84.9 32.6,-84.8 32.6,-84.8 32.5,-84.9 32.5))"
634,-84.8,32.5,"POLYGON((-84.8 32.5,-84.8 32.6,-84.7 32.6,-84.7 32.5,-84.8 32.5))"
2,-84.7,32.5,"POLYGON((-84.7 32.5,-84.7 32.6,-84.6 32.6,-84.6 32.5,-84.7 32.5))"
99,-85.2,32.6,"POLYGON((-85.2 32.6,-85.2 32.7,-85.1 32.7,-85.1 32.6,-85.2 32.6))"
2381,-85.1,32.6,"POLYGON((-85.1 32.6,-85.1 32.7,-85.0 32.7,-85.0 32.6,-85.1 32.6))"
2600,-85.0,32.6,"POLYGON((-85.0 32.6,-85.0 32.7,-84.9 32.7,-84.9 32.6,-85.0 32.6))"
2137,-84.9,32.6,"POLYGON((-84.9 32.6,-84.9 32.7,-84.8 32.7,-84.8 32.6,-84.9 32.6))"
3101,-84.8,32.6,"POLYGON((-84.8 32.6,-84.8 32.7,-84.7 32.7,-84.7 32.6,-84.8 32.6))"
8,-84.7,32.6,"POLYGON((-84.7 32.6,-84.7 32.7,-84.6 32.7,-84.6 32.6,-84.7 32.6))"
103,-85.2,32.7,"POLYGON((-85.2 32.7,-85.2 32.8,-85.1 32.8,-85.1 32.7,-85.2 32.7))"
464,-85.1,32.7,"POLYGON((-85.1 32.7,-85.1 32.8,-85.0 32.8,-85.0 32.7,-85.1 32.7))"
524,-85.0,32.7,"POLYGON((-85.0 32.7,-85.0 32.8,-84.9 32.8,-84.9 32.7,-85.0 32.7))"
1738,-84.9,32.7,"POLYGON((-84.9 32.7,-84.9 32.8,-84.8 32.8,-84.8 32.7,-84.9 32.7))"
856,-84.8,32.7,"POLYGON((-84.8 32.7,-84.8 32.8,-84.7 32.8,-84.7 32.7,-84.8 32.7))"
163,-84.7,32.7,"POLYGON((-84.7 32.7,-84.7 32.8,-84.6 32.8,-84.6 32.7,-84.7 32.7))"
1087,-85.2,32.8,"POLYGON((-85.2 32.8,-85.2 32.9,-85.1 32.9,-85.1 32.8,-85.2 32.8))"
874,-85.1,32.8,"POLYGON((-85.1 32.8,-85.1 32.9,-85.0 32.9,-85.0 32.8,-85.1 32.8))"
775,-85.0,32.8,"POLYGON((-85.0 32.8,-85.0 32.9,-84.9 32.9,-84.9 32.8,-85.0 32.8))"
2069,-84.9,32.8,"POLYGON((-84.9 32.8,-84.9 32.9,-84.8 32.9,-84.8 32.8,-84.9 32.8))"
833,-84.8,32.8,"POLYGON((-84.8 32.8,-84.8 32.9,-84.7 32.9,-84.7 32.8,-84.8 32.8))"
191,-84.7,32.8,"POLYGON((-84.7 32.8,-84.7 32.9,-84.6 32.9,-84.6 32.8,-84.7 32.8))"
