count,lon,lat,area
36,-83.1,30.8,"POLYGON((-83.1 30.8,-83.1 30.9,-83.0 30.9,-83.0 30.8,-83.1 30.8))"
67,-83.0,30.8,"POLYGON((-83.0 30.8,-83.0 30.9,-82.9 30.9,-82.9 30.8,-83.0 30.8))"
160,-83.2,30.9,"POLYGON((-83.2 30.9,-83.2 31.0,-83.1 31.0,-83.1 30.9,-83.2 30.9))"
832,-83.1,30.9,"POLYGON((-83.1 30.9,-83.1 31.0,-83.0 31.0,-83.0 30.9,-83.1 30.9))"
147,-83.0,30.9,"POLYGON((-83.0 30.9,-83.0 31.0,-82.9 31.0,-82.9 30.9,-83.0 30.9))"
1432,-83.2,31.0,"POLYGON((-83.2 31.0,-83.2 31.1,-83.1 31.1,-83.1 31.0,-83.2 31.0))"
2265,-83.1,31.0,"POLYGON((-83.1 31.0,-83.1 31.1,-83.0 31.1,-83.0 31.0,-83.1 31.0))"
152,-83.0,31.0,"POLYGON((-83.0 31.0,-83.0 31.1,-82.9 31.1,-82.9 31.0,-83.0 31.0))"
212,-83.2,31.1,"POLYGON((-83.2 31.1,-83.2 31.2,-83.1 31.2,-83.1 31.1,-83.2 31.1))"
611,-83.1,31.1,"POLYGON((-83.1 31.1,-83.1 31.2,-83.0 31.2,-83.0 31.1,-83.1 31.1))"
107,-83.0,31.1,"POLYGON((-83.0 31.1,-83.0 31.2,-82.9 31.2,-82.9 31.1,-83.0 31.1))"
