count,lon,lat,area
663,-83.9,33.3,"POLYGON((-83.9 33.3,-83.9 33.4,-83.8 33.4,-83.8 33.3,-83.9 33.3))"
13,-84.1,33.4,"POLYGON((-84.1 33.4,-84.1 33.5,-84.0 33.5,-84.0 33.4,-84.1 33.4))"
1478,-84.0,33.4,"POLYGON((-84.0 33.4,-84.0 33.5,-83.9 33.5,-83.9 33.4,-84.0 33.4))"
2411,-83.9,33.4,"POLYGON((-83.9 33.4,-83.9 33.5,-83.8 33.5,-83.8 33.4,-83.9 33.4))"
182,-83.8,33.4,"POLYGON((-83.8 33.4,-83.8 33.5,-83.7 33.5,-83.7 33.4,-83.8 33.4))"
18,-83.7,33.4,"POLYGON((-83.7 33.4,-83.7 33.5,-83.6 33.5,-83.6 33.4,-83.7 33.4))"
1875,-84.1,33.5,"POLYGON((-84.1 33.5,-84.1 33.6,-84.0 33.6,-84.0 33.5,-84.1 33.5))"
14114,-84.0,33.5,"POLYGON((-84.0 33.5,-84.0 33.6,-83.9 33.6,-83.9 33.5,-84.0 33.5))"
9696,-83.9,33.5,"POLYGON((-83.9 33.5,-83.9 33.6,-83.8 33.6,-83.8 33.5,-83.9 33.5))"
2884,-83.8,33.5,"POLYGON((-83.8 33.5,-83.8 33.6,-83.7 33.6,-83.7 33.5,-83.8 33.5))"
386,-83.7,33.5,"POLYGON((-83.7 33.5,-83.7 33.6,-83.6 33.6,-83.6 33.5,-83.7 33.5))"
5504,-84.0,33.6,"POLYGON((-84.0 33.6,-84.0 33.7,-83.9 33.7,-83.9 33.6,-84.0 33.6))"
6021,-83.9,33.6,"POLYGON((-83.9 33.6,-83.9 33.7,-83.8 33.7,-83.8 33.6,-83.9 33.6))"
1075,-83.8,33.6,"POLYGON((-83.8 33.6,-83.8 33.7,-83.7 33.7,-83.7 33.6,-83.8 33.6))"
13,-83.7,33.6,"POLYGON((-83.7 33.6,-83.7 33.7,-83.6 33.7,-83.6 33.6,-83.7 33.6))"
239,-84.0,33.7,"POLYGON((-84.0 33.7,-84.0 33.8,-83.9 33.8,-83.9 33.7,-84.0 33.7))"
371,-83.9,33.7,"POLYGON((-83.9 33.7,-83.9 33.8,-83.8 33.8,-83.8 33.7,-83.9 33.7))"
