count,lon,lat,area
2,-85.0,30.7,"POLYGON((-85.0 30.7,-85.0 30.8,-84.9 30.8,-84.9 30.7,-85.0 30.7))"
1271,-84.9,30.7,"POLYGON((-84.9 30.7,-84.9 30.8,-84.8 30.8,-84.8 30.7,-84.9 30.7))"
288,-85.0,30.8,"POLYGON((-85.0 30.8,-85.0 30.9,-84.9 30.9,-84.9 30.8,-85.0 30.8))"
1461,-84.9,30.8,"POLYGON((-84.9 30.8,-84.9 30.9,-84.8 30.9,-84.8 30.8,-84.9 30.8))"
621,-84.8,30.8,"POLYGON((-84.8 30.8,-84.8 30.9,-84.7 30.9,-84.7 30.8,-84.8 30.8))"
1,-85.1,30.9,"POLYGON((-85.1 30.9,-85.1 31.0,-85.0 31.0,-85.0 30.9,-85.1 30.9))"
394,-85.0,30.9,"POLYGON((-85.0 30.9,-85.0 31.0,-84.9 31.0,-84.9 30.9,-85.0 30.9))"
434,-84.9,30.9,"POLYGON((-84.9 30.9,-84.9 31.0,-84.8 31.0,-84.8 30.9,-84.9 30.9))"
160,-84.8,30.9,"POLYGON((-84.8 30.9,-84.8 31.0,-84.7 31.0,-84.7 30.9,-84.8 30.9))"
14,-85.1,31.0,"POLYGON((-85.1 31.0,-85.1 31.1,-85.0 31.1,-85.0 31.0,-85.1 31.0))"
808,-85.0,31.0,"POLYGON((-85.0 31.0,-85.0 31.1,-84.9 31.1,-84.9 31.0,-85.0 31.0))"
2486,-84.9,31.0,"POLYGON((-84.9 31.0,-84.9 31.1,-84.8 31.1,-84.8 31.0,-84.9 31.0))"
327,-84.8,31.0,"POLYGON((-84.8 31.0,-84.8 31.1,-84.7 31.1,-84.7 31.0,-84.8 31.0))"
