count,lon,lat,area
40,-82.0,31.7,"POLYGON((-82.0 31.7,-82.0 31.8,-81.9 31.8,-81.9 31.7,-82.0 31.7))"
96,-82.2,31.8,"POLYGON((-82.2 31.8,-82.2 31.9,-82.1 31.9,-82.1 31.8,-82.2 31.8))"
92,-82.1,31.8,"POLYGON((-82.1 31.8,-82.1 31.9,-82.0 31.9,-82.0 31.8,-82.1 31.8))"
367,-82.0,31.8,"POLYGON((-82.0 31.8,-82.0 31.9,-81.9 31.9,-81.9 31.8,-82.0 31.8))"
18,-81.9,31.8,"POLYGON((-81.9 31.8,-81.9 31.9,-81.8 31.9,-81.8 31.8,-81.9 31.8))"
101,-82.3,31.9,"POLYGON((-82.3 31.9,-82.3 32.0,-82.2 32.0,-82.2 31.9,-82.3 31.9))"
547,-82.2,31.9,"POLYGON((-82.2 31.9,-82.2 32.0,-82.1 32.0,-82.1 31.9,-82.2 31.9))"
807,-82.1,31.9,"POLYGON((-82.1 31.9,-82.1 32.0,-82.0 32.0,-82.0 31.9,-82.1 31.9))"
3524,-82.0,31.9,"POLYGON((-82.0 31.9,-82.0 32.0,-81.9 32.0,-81.9 31.9,-82.0 31.9))"
264,-81.9,31.9,"POLYGON((-81.9 31.9,-81.9 32.0,-81.8 32.0,-81.8 31.9,-81.9 31.9))"
52,-82.3,32.0,"POLYGON((-82.3 32.0,-82.3 32.1,-82.2 32.1,-82.2 32.0,-82.3 32.0))"
2411,-82.2,32.0,"POLYGON((-82.2 32.0,-82.2 32.1,-82.1 32.1,-82.1 32.0,-82.2 32.0))"
627,-82.1,32.0,"POLYGON((-82.1 32.0,-82.1 32.1,-82.0 32.1,-82.0 32.0,-82.1 32.0))"
560,-82.0,32.0,"POLYGON((-82.0 32.0,-82.0 32.1,-81.9 32.1,-81.9 32.0,-82.0 32.0))"
363,-81.9,32.0,"POLYGON((-81.9 32.0,-81.9 32.1,-81.8 32.1,-81.8 32.0,-81.9 32.0))"
1,-82.3,32.1,"POLYGON((-82.3 32.1,-82.3 32.2,-82.2 32.2,-82.2 32.1,-82.3 32.1))"
1597,-82.2,32.1,"POLYGON((-82.2 32.1,-82.2 32.2,-82.1 32.2,-82.1 32.1,-82.2 32.1))"
1052,-82.1,32.1,"POLYGON((-82.1 32.1,-82.1 32.2,-82.0 32.2,-82.0 32.1,-82.1 32.1))"
93,-82.0,32.1,"POLYGON((-82.0 32.1,-82.0 32.2,-81.9 32.2,-81.9 32.1,-82.0 32.1))"
350,-82.3,32.2,"POLYGON((-82.3 32.2,-82.3 32.3,-82.2 32.3,-82.2 32.2,-82.3 32.2))"
1351,-82.2,32.2,"POLYGON((-82.2 32.2,-82.2 32.3,-82.1 32.3,-82.1 32.2,-82.2 32.2))"
575,-82.1,32.2,"POLYGON((-82.1 32.2,-82.1 32.3,-82.0 32.3,-82.0 32.2,-82.1 32.2))"
112,-82.3,32.3,"POLYGON((-82.3 32.3,-82.3 32.4,-82.2 32.4,-82.2 32.3,-82.3 32.3))"
68,-82.2,32.3,"POLYGON((-82.2 32.3,-82.2 32.4,-82.1 32.4,-82.1 32.3,-82.2 32.3))"
