count,lon,lat,area
72,-83.7,31.5,"POLYGON((-83.7 31.5,-83.7 31.6,-83.6 31.6,-83.6 31.5,-83.7 31.5))"
44,-83.6,31.5,"POLYGON((-83.6 31.5,-83.6 31.6,-83.5 31.6,-83.5 31.5,-83.6 31.5))"
392,-83.8,31.6,"POLYGON((-83.8 31.6,-83.8 31.7,-83.7 31.7,-83.7 31.6,-83.8 31.6))"
1994,-83.7,31.6,"POLYGON((-83.7 31.6,-83.7 31.7,-83.6 31.7,-83.6 31.6,-83.7 31.6))"
627,-83.6,31.6,"POLYGON((-83.6 31.6,-83.6 31.7,-83.5 31.7,-83.5 31.6,-83.6 31.6))"
25,-83.5,31.6,"POLYGON((-83.5 31.6,-83.5 31.7,-83.4 31.7,-83.4 31.6,-83.5 31.6))"
322,-83.8,31.7,"POLYGON((-83.8 31.7,-83.8 31.8,-83.7 31.8,-83.7 31.7,-83.8 31.7))"
1894,-83.7,31.7,"POLYGON((-83.7 31.7,-83.7 31.8,-83.6 31.8,-83.6 31.7,-83.7 31.7))"
417,-83.6,31.7,"POLYGON((-83.6 31.7,-83.6 31.8,-83.5 31.8,-83.5 31.7,-83.6 31.7))"
180,-83.5,31.7,"POLYGON((-83.5 31.7,-83.5 31.8,-83.4 31.8,-83.4 31.7,-83.5 31.7))"
7,-83.9,31.8,"POLYGON((-83.9 31.8,-83.9 31.9,-83.8 31.9,-83.8 31.8,-83.9 31.8))"
29,-83.8,31.8,"POLYGON((-83.8 31.8,-83.8 31.9,-83.7 31.9,-83.7 31.8,-83.8 31.8))"
78,-83.7,31.8,"POLYGON((-83.7 31.8,-83.7 31.9,-83.6 31.9,-83.6 31.8,-83.7 31.8))"
249,-83.6,31.8,"POLYGON((-83.6 31.8,-83.6 31.9,-83.5 31.9,-83.5 31.8,-83.6 31.8))"
281,-83.5,31.8,"POLYGON((-83.5 31.8,-83.5 31.9,-83.4 31.9,-83.4 31.8,-83.5 31.8))"
