count,lon,lat,area
8,-92.6,42.2,"POLYGON((-92.6 42.2,-92.6 42.3,-92.5 42.3,-92.5 42.2,-92.6 42.2))"
27,-92.5,42.2,"POLYGON((-92.5 42.2,-92.5 42.3,-92.4 42.3,-92.4 42.2,-92.5 42.2))"
23,-92.4,42.2,"POLYGON((-92.4 42.2,-92.4 42.3,-92.3 42.3,-92.3 42.2,-92.4 42.2))"
21,-92.3,42.2,"POLYGON((-92.3 42.2,-92.3 42.3,-92.2 42.3,-92.2 42.2,-92.3 42.2))"
27,-92.2,42.2,"POLYGON((-92.2 42.2,-92.2 42.3,-92.1 42.3,-92.1 42.2,-92.2 42.2))"
7,-92.1,42.2,"POLYGON((-92.1 42.2,-92.1 42.3,-92.0 42.3,-92.0 42.2,-92.1 42.2))"
265,-92.6,42.3,"POLYGON((-92.6 42.3,-92.6 42.4,-92.5 42.4,-92.5 42.3,-92.6 42.3))"
919,-92.5,42.3,"POLYGON((-92.5 42.3,-92.5 42.4,-92.4 42.4,-92.4 42.3,-92.5 42.3))"
858,-92.4,42.3,"POLYGON((-92.4 42.3,-92.4 42.4,-92.3 42.4,-92.3 42.3,-92.4 42.3))"
1237,-92.3,42.3,"POLYGON((-92.3 42.3,-92.3 42.4,-92.2 42.4,-92.2 42.3,-92.3 42.3))"
2009,-92.2,42.3,"POLYGON((-92.2 42.3,-92.2 42.4,-92.1 42.4,-92.1 42.3,-92.2 42.3))"
340,-92.1,42.3,"POLYGON((-92.1 42.3,-92.1 42.4,-92.0 42.4,-92.0 42.3,-92.1 42.3))"
333,-92.6,42.4,"POLYGON((-92.6 42.4,-92.6 42.5,-92.5 42.5,-92.5 42.4,-92.6 42.4))"
5297,-92.5,42.4,"POLYGON((-92.5 42.4,-92.5 42.5,-92.4 42.5,-92.4 42.4,-92.5 42.4))"
18636,-92.4,42.4,"POLYGON((-92.4 42.4,-92.4 42.5,-92.3 42.5,-92.3 42.4,-92.4 42.4))"
7212,-92.3,42.4,"POLYGON((-92.3 42.4,-92.3 42.5,-92.2 42.5,-92.2 42.4,-92.3 42.4))"
829,-92.2,42.4,"POLYGON((-92.2 42.4,-92.2 42.5,-92.1 42.5,-92.1 42.4,-92.2 42.4))"
366,-92.1,42.4,"POLYGON((-92.1 42.4,-92.1 42.5,-92.0 42.5,-92.0 42.4,-92.1 42.4))"
616,-92.6,42.5,"POLYGON((-92.6 42.5,-92.6 42.6,-92.5 42.6,-92.5 42.5,-92.6 42.5))"
13293,-92.5,42.5,"POLYGON((-92.5 42.5,-92.5 42.6,-92.4 42.6,-92.4 42.5,-92.5 42.5))"
10637,-92.4,42.5,"POLYGON((-92.4 42.5,-92.4 42.6,-92.3 42.6,-92.3 42.5,-92.4 42.5))"
1047,-92.3,42.5,"POLYGON((-92.3 42.5,-92.3 42.6,-92.2 42.6,-92.2 42.5,-92.3 42.5))"
1428,-92.2,42.5,"POLYGON((-92.2 42.5,-92.2 42.6,-92.1 42.6,-92.1 42.5,-92.2 42.5))"
169,-92.1,42.5,"POLYGON((-92.1 42.5,-92.1 42.6,-92.0 42.6,-92.0 42.5,-92.1 42.5))"
425,-92.6,42.6,"POLYGON((-92.6 42.6,-92.6 42.7,-92.5 42.7,-92.5 42.6,-92.6 42.6))"
629,-92.5,42.6,"POLYGON((-92.5 42.6,-92.5 42.7,-92.4 42.7,-92.4 42.6,-92.5 42.6))"
424,-92.4,42.6,"POLYGON((-92.4 42.6,-92.4 42.7,-92.3 42.7,-92.3 42.6,-92.4 42.6))"
321,-92.3,42.6,"POLYGON((-92.3 42.6,-92.3 42.7,-92.2 42.7,-92.2 42.6,-92.3 42.6))"
352,-92.2,42.6,"POLYGON((-92.2 42.6,-92.2 42.7,-92.1 42.7,-92.1 42.6,-92.2 42.6))"
68,-92.1,42.6,"POLYGON((-92.1 42.6,-92.1 42.7,-92.0 42.7,-92.0 42.6,-92.1 42.6))"
