count,lon,lat,area
10,-113.5,42.6,"POLYGON((-113.5 42.6,-113.5 42.7,-113.4 42.7,-113.4 42.6,-113.5 42.6))"
18,-113.4,42.6,"POLYGON((-113.4 42.6,-113.4 42.7,-113.3 42.7,-113.3 42.6,-113.4 42.6))"
27,-113.3,42.6,"POLYGON((-113.3 42.6,-113.3 42.7,-113.2 42.7,-113.2 42.6,-113.3 42.6))"
2,-113.2,42.6,"POLYGON((-113.2 42.6,-113.2 42.7,-113.1 42.7,-113.1 42.6,-113.2 42.6))"
69,-113.5,42.7,"POLYGON((-113.5 42.7,-113.5 42.8,-113.4 42.8,-113.4 42.7,-113.5 42.7))"
61,-113.4,42.7,"POLYGON((-113.4 42.7,-113.4 42.8,-113.3 42.8,-113.3 42.7,-113.4 42.7))"
48,-113.3,42.7,"POLYGON((-113.3 42.7,-113.3 42.8,-113.2 42.8,-113.2 42.7,-113.3 42.7))"
8,-113.2,42.7,"POLYGON((-113.2 42.7,-113.2 42.8,-113.1 42.8,-113.1 42.7,-113.2 42.7))"
21,-113.5,42.8,"POLYGON((-113.5 42.8,-113.5 42.9,-113.4 42.9,-113.4 42.8,-113.5 42.8))"
58,-113.4,42.8,"POLYGON((-113.4 42.8,-113.4 42.9,-113.3 42.9,-113.3 42.8,-113.4 42.8))"
23,-113.3,42.8,"POLYGON((-113.3 42.8,-113.3 42.9,-113.2 42.9,-113.2 42.8,-113.3 42.8))"
7,-113.5,42.9,"POLYGON((-113.5 42.9,-113.5 43.0,-113.4 43.0,-113.4 42.9,-113.5 42.9))"
37,-113.4,42.9,"POLYGON((-113.4 42.9,-113.4 43.0,-113.3 43.0,-113.3 42.9,-113.4 42.9))"
29,-113.3,42.9,"POLYGON((-113.3 42.9,-113.3 43.0,-113.2 43.0,-113.2 42.9,-113.3 42.9))"
7,-113.5,43.0,"POLYGON((-113.5 43.0,-113.5 43.1,-113.4 43.1,-113.4 43.0,-113.5 43.0))"
47,-113.4,43.0,"POLYGON((-113.4 43.0,-113.4 43.1,-113.3 43.1,-113.3 43.0,-113.4 43.0))"
21,-113.3,43.0,"POLYGON((-113.3 43.0,-113.3 43.1,-113.2 43.1,-113.2 43.0,-113.3 43.0))"
7,-113.5,43.1,"POLYGON((-113.5 43.1,-113.5 43.2,-113.4 43.2,-113.4 43.1,-113.5 43.1))"
