count,lon,lat,area
6303,-87.8,41.4,"POLYGON((-87.8 41.4,-87.8 41.5,-87.7 41.5,-87.7 41.4,-87.8 41.4))"
11450,-87.7,41.4,"POLYGON((-87.7 41.4,-87.7 41.5,-87.6 41.5,-87.6 41.4,-87.7 41.4))"
3553,-87.6,41.4,"POLYGON((-87.6 41.4,-87.6 41.5,-87.5 41.5,-87.5 41.4,-87.6 41.4))"
941,-88.0,41.5,"POLYGON((-88.0 41.5,-88.0 41.6,-87.9 41.6,-87.9 41.5,-88.0 41.5))"
16207,-87.9,41.5,"POLYGON((-87.9 41.5,-87.9 41.6,-87.8 41.6,-87.8 41.5,-87.9 41.5))"
24547,-87.8,41.5,"POLYGON((-87.8 41.5,-87.8 41.6,-87.7 41.6,-87.7 41.5,-87.8 41.5))"
32293,-87.7,41.5,"POLYGON((-87.7 41.5,-87.7 41.6,-87.6 41.6,-87.6 41.5,-87.7 41.5))"
21036,-87.6,41.5,"POLYGON((-87.6 41.5,-87.6 41.6,-87.5 41.6,-87.5 41.5,-87.6 41.5))"
2063,-88.1,41.6,"POLYGON((-88.1 41.6,-88.1 41.7,-88.0 41.7,-88.0 41.6,-88.1 41.6))"
6925,-88.0,41.6,"POLYGON((-88.0 41.6,-88.0 41.7,-87.9 41.7,-87.9 41.6,-88.0 41.6))"
22210,-87.9,41.6,"POLYGON((-87.9 41.6,-87.9 41.7,-87.8 41.7,-87.8 41.6,-87.9 41.6))"
38496,-87.8,41.6,"POLYGON((-87.8 41.6,-87.8 41.7,-87.7 41.7,-87.7 41.6,-87.8 41.6))"
55866,-87.7,41.6,"POLYGON((-87.7 41.6,-87.7 41.7,-87.6 41.7,-87.6 41.6,-87.7 41.6))"
23614,-87.6,41.6,"POLYGON((-87.6 41.6,-87.6 41.7,-87.5 41.7,-87.5 41.6,-87.6 41.6))"
3018,-88.0,41.7,"POLYGON((-88.0 41.7,-88.0 41.8,-87.9 41.8,-87.9 41.7,-88.0 41.7))"
25744,-87.9,41.7,"POLYGON((-87.9 41.7,-87.9 41.8,-87.8 41.8,-87.8 41.7,-87.9 41.7))"
80092,-87.8,41.7,"POLYGON((-87.8 41.7,-87.8 41.8,-87.7 41.8,-87.7 41.7,-87.8 41.7))"
103354,-87.7,41.7,"POLYGON((-87.7 41.7,-87.7 41.8,-87.6 41.8,-87.6 41.7,-87.7 41.7))"
42330,-87.6,41.7,"POLYGON((-87.6 41.7,-87.6 41.8,-87.5 41.8,-87.5 41.7,-87.6 41.7))"
5627,-88.0,41.8,"POLYGON((-88.0 41.8,-88.0 41.9,-87.9 41.9,-87.9 41.8,-88.0 41.8))"
58404,-87.9,41.8,"POLYGON((-87.9 41.8,-87.9 41.9,-87.8 41.9,-87.8 41.8,-87.9 41.8))"
87790,-87.8,41.8,"POLYGON((-87.8 41.8,-87.8 41.9,-87.7 41.9,-87.7 41.8,-87.8 41.8))"
68939,-87.7,41.8,"POLYGON((-87.7 41.8,-87.7 41.9,-87.6 41.9,-87.6 41.8,-87.7 41.8))"
1821,-87.6,41.8,"POLYGON((-87.6 41.8,-87.6 41.9,-87.5 41.9,-87.5 41.8,-87.6 41.8))"
1792,-88.3,41.9,"POLYGON((-88.3 41.9,-88.3 42.0,-88.2 42.0,-88.2 41.9,-88.3 41.9))"
3933,-88.2,41.9,"POLYGON((-88.2 41.9,-88.2 42.0,-88.1 42.0,-88.1 41.9,-88.2 41.9))"
4288,-88.1,41.9,"POLYGON((-88.1 41.9,-88.1 42.0,-88.0 42.0,-88.0 41.9,-88.1 41.9))"
3146,-88.0,41.9,"POLYGON((-88.0 41.9,-88.0 42.0,-87.9 42.0,-87.9 41.9,-88.0 41.9))"
57493,-87.9,41.9,"POLYGON((-87.9 41.9,-87.9 42.0,-87.8 42.0,-87.8 41.9,-87.9 41.9))"
