count,lon,lat,area
1161,-89.9,40.5,"POLYGON((-89.9 40.5,-89.9 40.6,-89.8 40.6,-89.8 40.5,-89.9 40.5))"
1064,-89.8,40.5,"POLYGON((-89.8 40.5,-89.8 40.6,-89.7 40.6,-89.7 40.5,-89.8 40.5))"
250,-89.7,40.5,"POLYGON((-89.7 40.5,-89.7 40.6,-89.6 40.6,-89.6 40.5,-89.7 40.5))"
465,-90.0,40.6,"POLYGON((-90.0 40.6,-90.0 40.7,-89.9 40.7,-89.9 40.6,-90.0 40.6))"
1183,-89.9,40.6,"POLYGON((-89.9 40.6,-89.9 40.7,-89.8 40.7,-89.8 40.6,-89.9 40.6))"
3577,-89.8,40.6,"POLYGON((-89.8 40.6,-89.8 40.7,-89.7 40.7,-89.7 40.6,-89.8 40.6))"
18178,-89.7,40.6,"POLYGON((-89.7 40.6,-89.7 40.7,-89.6 40.7,-89.6 40.6,-89.7 40.6))"
1227,-89.6,40.6,"POLYGON((-89.6 40.6,-89.6 40.7,-89.5 40.7,-89.5 40.6,-89.6 40.6))"
1543,-90.0,40.7,"POLYGON((-90.0 40.7,-90.0 40.8,-89.9 40.8,-89.9 40.7,-90.0 40.7))"
952,-89.9,40.7,"POLYGON((-89.9 40.7,-89.9 40.8,-89.8 40.8,-89.8 40.7,-89.9 40.7))"
1775,-89.8,40.7,"POLYGON((-89.8 40.7,-89.8 40.8,-89.7 40.8,-89.7 40.7,-89.8 40.7))"
24247,-89.7,40.7,"POLYGON((-89.7 40.7,-89.7 40.8,-89.6 40.8,-89.6 40.7,-89.7 40.7))"
15289,-89.6,40.7,"POLYGON((-89.6 40.7,-89.6 40.8,-89.5 40.8,-89.5 40.7,-89.6 40.7))"
445,-90.0,40.8,"POLYGON((-90.0 40.8,-90.0 40.9,-89.9 40.9,-89.9 40.8,-90.0 40.8))"
1270,-89.9,40.8,"POLYGON((-89.9 40.8,-89.9 40.9,-89.8 40.9,-89.8 40.8,-89.9 40.8))"
868,-89.8,40.8,"POLYGON((-89.8 40.8,-89.8 40.9,-89.7 40.9,-89.7 40.8,-89.8 40.8))"
6594,-89.7,40.8,"POLYGON((-89.7 40.8,-89.7 40.9,-89.6 40.9,-89.6 40.8,-89.7 40.8))"
3002,-89.6,40.8,"POLYGON((-89.6 40.8,-89.6 40.9,-89.5 40.9,-89.5 40.8,-89.6 40.8))"
96,-89.5,40.8,"POLYGON((-89.5 40.8,-89.5 40.9,-89.4 40.9,-89.4 40.8,-89.5 40.8))"
422,-90.0,40.9,"POLYGON((-90.0 40.9,-90.0 41.0,-89.9 41.0,-89.9 40.9,-90.0 40.9))"
450,-89.9,40.9,"POLYGON((-89.9 40.9,-89.9 41.0,-89.8 41.0,-89.8 40.9,-89.9 40.9))"
1386,-89.8,40.9,"POLYGON((-89.8 40.9,-89.8 41.0,-89.7 41.0,-89.7 40.9,-89.8 40.9))"
554,-89.7,40.9,"POLYGON((-89.7 40.9,-89.7 41.0,-89.6 41.0,-89.6 40.9,-89.7 40.9))"
1870,-89.6,40.9,"POLYGON((-89.6 40.9,-89.6 41.0,-89.5 41.0,-89.5 40.9,-89.6 40.9))"
2287,-89.5,40.9,"POLYGON((-89.5 40.9,-89.5 41.0,-89.4 41.0,-89.4 40.9,-89.5 40.9))"
