count,lon,lat,area
91,-89.2,39.2,"POLYGON((-89.2 39.2,-89.2 39.3,-89.1 39.3,-89.1 39.2,-89.2 39.2))"
148,-89.1,39.2,"POLYGON((-89.1 39.2,-89.1 39.3,-89.0 39.3,-89.0 39.2,-89.1 39.2))"
107,-89.0,39.2,"POLYGON((-89.0 39.2,-89.0 39.3,-88.9 39.3,-88.9 39.2,-89.0 39.2))"
244,-88.9,39.2,"POLYGON((-88.9 39.2,-88.9 39.3,-88.8 39.3,-88.8 39.2,-88.9 39.2))"
208,-88.8,39.2,"POLYGON((-88.8 39.2,-88.8 39.3,-88.7 39.3,-88.7 39.2,-88.8 39.2))"
129,-88.7,39.2,"POLYGON((-88.7 39.2,-88.7 39.3,-88.6 39.3,-88.6 39.2,-88.7 39.2))"
187,-88.6,39.2,"POLYGON((-88.6 39.2,-88.6 39.3,-88.5 39.3,-88.5 39.2,-88.6 39.2))"
60,-88.5,39.2,"POLYGON((-88.5 39.2,-88.5 39.3,-88.4 39.3,-88.4 39.2,-88.5 39.2))"
14,-89.2,39.3,"POLYGON((-89.2 39.3,-89.2 39.4,-89.1 39.4,-89.1 39.3,-89.2 39.3))"
614,-89.1,39.3,"POLYGON((-89.1 39.3,-89.1 39.4,-89.0 39.4,-89.0 39.3,-89.1 39.3))"
238,-89.0,39.3,"POLYGON((-89.0 39.3,-89.0 39.4,-88.9 39.4,-88.9 39.3,-89.0 39.3))"
331,-88.9,39.3,"POLYGON((-88.9 39.3,-88.9 39.4,-88.8 39.4,-88.8 39.3,-88.9 39.3))"
351,-88.8,39.3,"POLYGON((-88.8 39.3,-88.8 39.4,-88.7 39.4,-88.7 39.3,-88.8 39.3))"
149,-88.7,39.3,"POLYGON((-88.7 39.3,-88.7 39.4,-88.6 39.4,-88.6 39.3,-88.7 39.3))"
232,-88.6,39.3,"POLYGON((-88.6 39.3,-88.6 39.4,-88.5 39.4,-88.5 39.3,-88.6 39.3))"
231,-88.5,39.3,"POLYGON((-88.5 39.3,-88.5 39.4,-88.4 39.4,-88.4 39.3,-88.5 39.3))"
24,-89.1,39.4,"POLYGON((-89.1 39.4,-89.1 39.5,-89.0 39.5,-89.0 39.4,-89.1 39.4))"
231,-89.0,39.4,"POLYGON((-89.0 39.4,-89.0 39.5,-88.9 39.5,-88.9 39.4,-89.0 39.4))"
345,-88.9,39.4,"POLYGON((-88.9 39.4,-88.9 39.5,-88.8 39.5,-88.8 39.4,-88.9 39.4))"
475,-88.8,39.4,"POLYGON((-88.8 39.4,-88.8 39.5,-88.7 39.5,-88.7 39.4,-88.8 39.4))"
142,-88.7,39.4,"POLYGON((-88.7 39.4,-88.7 39.5,-88.6 39.5,-88.6 39.4,-88.7 39.4))"
60,-88.6,39.4,"POLYGON((-88.6 39.4,-88.6 39.5,-88.5 39.5,-88.5 39.4,-88.6 39.4))"
18,-88.5,39.4,"POLYGON((-88.5 39.4,-88.5 39.5,-88.4 39.5,-88.4 39.4,-88.5 39.4))"
24,-89.1,39.5,"POLYGON((-89.1 39.5,-89.1 39.6,-89.0 39.6,-89.0 39.5,-89.1 39.5))"
117,-89.0,39.5,"POLYGON((-89.0 39.5,-89.0 39.6,-88.9 39.6,-88.9 39.5,-89.0 39.5))"
83,-88.9,39.5,"POLYGON((-88.9 39.5,-88.9 39.6,-88.8 39.6,-88.8 39.5,-88.9 39.5))"
74,-88.8,39.5,"POLYGON((-88.8 39.5,-88.8 39.6,-88.7 39.6,-88.7 39.5,-88.8 39.5))"
24,-88.7,39.5,"POLYGON((-88.7 39.5,-88.7 39.6,-88.6 39.6,-88.6 39.5,-88.7 39.5))"
39,-89.1,39.6,"POLYGON((-89.1 39.6,-89.1 39.7,-89.0 39.7,-89.0 39.6,-89.1 39.6))"
72,-89.0,39.6,"POLYGON((-89.0 39.6,-89.0 39.7,-88.9 39.7,-88.9 39.6,-89.0 39.6))"
28,-88.9,39.6,"POLYGON((-88.9 39.6,-88.9 39.7,-88.8 39.7,-88.8 39.6,-88.9 39.6))"
