count,lon,lat,area
1,-85.7,-90.0,"POLYGON((-85.7 -90.0,-85.7 -89.9,-85.6 -89.9,-85.6 -90.0,-85.7 -90.0))"
6477,-86.3,39.9,"POLYGON((-86.3 39.9,-86.3 40.0,-86.2 40.0,-86.2 39.9,-86.3 39.9))"
27437,-86.2,39.9,"POLYGON((-86.2 39.9,-86.2 40.0,-86.1 40.0,-86.1 39.9,-86.2 39.9))"
24639,-86.1,39.9,"POLYGON((-86.1 39.9,-86.1 40.0,-86.0 40.0,-86.0 39.9,-86.1 39.9))"
24344,-86.0,39.9,"POLYGON((-86.0 39.9,-86.0 40.0,-85.9 40.0,-85.9 39.9,-86.0 39.9))"
5189,-85.9,39.9,"POLYGON((-85.9 39.9,-85.9 40.0,-85.8 40.0,-85.8 39.9,-85.9 39.9))"
1214,-86.3,40.0,"POLYGON((-86.3 40.0,-86.3 40.1,-86.2 40.1,-86.2 40.0,-86.3 40.0))"
19581,-86.2,40.0,"POLYGON((-86.2 40.0,-86.2 40.1,-86.1 40.1,-86.1 40.0,-86.2 40.0))"
23185,-86.1,40.0,"POLYGON((-86.1 40.0,-86.1 40.1,-86.0 40.1,-86.0 40.0,-86.1 40.0))"
11406,-86.0,40.0,"POLYGON((-86.0 40.0,-86.0 40.1,-85.9 40.1,-85.9 40.0,-86.0 40.0))"
439,-85.9,40.0,"POLYGON((-85.9 40.0,-85.9 40.1,-85.8 40.1,-85.8 40.0,-85.9 40.0))"
1772,-86.3,40.1,"POLYGON((-86.3 40.1,-86.3 40.2,-86.2 40.2,-86.2 40.1,-86.3 40.1))"
873,-86.2,40.1,"POLYGON((-86.2 40.1,-86.2 40.2,-86.1 40.2,-86.1 40.1,-86.2 40.1))"
5114,-86.1,40.1,"POLYGON((-86.1 40.1,-86.1 40.2,-86.0 40.2,-86.0 40.1,-86.1 40.1))"
1120,-86.0,40.1,"POLYGON((-86.0 40.1,-86.0 40.2,-85.9 40.2,-85.9 40.1,-86.0 40.1))"
178,-85.9,40.1,"POLYGON((-85.9 40.1,-85.9 40.2,-85.8 40.2,-85.8 40.1,-85.9 40.1))"
29,-86.3,40.2,"POLYGON((-86.3 40.2,-86.3 40.3,-86.2 40.3,-86.2 40.2,-86.3 40.2))"
113,-86.2,40.2,"POLYGON((-86.2 40.2,-86.2 40.3,-86.1 40.3,-86.1 40.2,-86.2 40.2))"
485,-86.1,40.2,"POLYGON((-86.1 40.2,-86.1 40.3,-86.0 40.3,-86.0 40.2,-86.1 40.2))"
65,-86.0,40.2,"POLYGON((-86.0 40.2,-86.0 40.3,-85.9 40.3,-85.9 40.2,-86.0 40.2))"
50,-85.9,40.2,"POLYGON((-85.9 40.2,-85.9 40.3,-85.8 40.3,-85.8 40.2,-85.9 40.2))"
