count,lon,lat,area
69,-95.6,39.4,"POLYGON((-95.6 39.4,-95.6 39.5,-95.5 39.5,-95.5 39.4,-95.6 39.4))"
80,-95.5,39.4,"POLYGON((-95.5 39.4,-95.5 39.5,-95.4 39.5,-95.4 39.4,-95.5 39.4))"
110,-95.4,39.4,"POLYGON((-95.4 39.4,-95.4 39.5,-95.3 39.5,-95.3 39.4,-95.4 39.4))"
194,-95.3,39.4,"POLYGON((-95.3 39.4,-95.3 39.5,-95.2 39.5,-95.2 39.4,-95.3 39.4))"
194,-95.2,39.4,"POLYGON((-95.2 39.4,-95.2 39.5,-95.1 39.5,-95.1 39.4,-95.2 39.4))"
67,-95.1,39.4,"POLYGON((-95.1 39.4,-95.1 39.5,-95.0 39.5,-95.0 39.4,-95.1 39.4))"
1,-95.0,39.4,"POLYGON((-95.0 39.4,-95.0 39.5,-94.9 39.5,-94.9 39.4,-95.0 39.4))"
174,-95.6,39.5,"POLYGON((-95.6 39.5,-95.6 39.6,-95.5 39.6,-95.5 39.5,-95.6 39.5))"
146,-95.5,39.5,"POLYGON((-95.5 39.5,-95.5 39.6,-95.4 39.6,-95.4 39.5,-95.5 39.5))"
567,-95.4,39.5,"POLYGON((-95.4 39.5,-95.4 39.6,-95.3 39.6,-95.3 39.5,-95.4 39.5))"
184,-95.3,39.5,"POLYGON((-95.3 39.5,-95.3 39.6,-95.2 39.6,-95.2 39.5,-95.3 39.5))"
4747,-95.2,39.5,"POLYGON((-95.2 39.5,-95.2 39.6,-95.1 39.6,-95.1 39.5,-95.2 39.5))"
10,-95.1,39.5,"POLYGON((-95.1 39.5,-95.1 39.6,-95.0 39.6,-95.0 39.5,-95.1 39.5))"
49,-95.6,39.6,"POLYGON((-95.6 39.6,-95.6 39.7,-95.5 39.7,-95.5 39.6,-95.6 39.6))"
56,-95.5,39.6,"POLYGON((-95.5 39.6,-95.5 39.7,-95.4 39.7,-95.4 39.6,-95.5 39.6))"
119,-95.4,39.6,"POLYGON((-95.4 39.6,-95.4 39.7,-95.3 39.7,-95.3 39.6,-95.4 39.6))"
61,-95.3,39.6,"POLYGON((-95.3 39.6,-95.3 39.7,-95.2 39.7,-95.2 39.6,-95.3 39.6))"
84,-95.2,39.6,"POLYGON((-95.2 39.6,-95.2 39.7,-95.1 39.7,-95.1 39.6,-95.2 39.6))"
4,-95.1,39.6,"POLYGON((-95.1 39.6,-95.1 39.7,-95.0 39.7,-95.0 39.6,-95.1 39.6))"
