count,lon,lat,area
11,-96.3,36.9,"POLYGON((-96.3 36.9,-96.3 37.0,-96.2 37.0,-96.2 36.9,-96.3 36.9))"
41,-96.6,37.0,"POLYGON((-96.6 37.0,-96.6 37.1,-96.5 37.1,-96.5 37.0,-96.6 37.0))"
231,-96.5,37.0,"POLYGON((-96.5 37.0,-96.5 37.1,-96.4 37.1,-96.4 37.0,-96.5 37.0))"
162,-96.4,37.0,"POLYGON((-96.4 37.0,-96.4 37.1,-96.3 37.1,-96.3 37.0,-96.4 37.0))"
319,-96.3,37.0,"POLYGON((-96.3 37.0,-96.3 37.1,-96.2 37.1,-96.2 37.0,-96.3 37.0))"
545,-96.2,37.0,"POLYGON((-96.2 37.0,-96.2 37.1,-96.1 37.1,-96.1 37.0,-96.2 37.0))"
590,-96.1,37.0,"POLYGON((-96.1 37.0,-96.1 37.1,-96.0 37.1,-96.0 37.0,-96.1 37.0))"
84,-96.0,37.0,"POLYGON((-96.0 37.0,-96.0 37.1,-95.9 37.1,-95.9 37.0,-96.0 37.0))"
277,-96.6,37.1,"POLYGON((-96.6 37.1,-96.6 37.2,-96.5 37.2,-96.5 37.1,-96.6 37.1))"
380,-96.5,37.1,"POLYGON((-96.5 37.1,-96.5 37.2,-96.4 37.2,-96.4 37.1,-96.5 37.1))"
183,-96.4,37.1,"POLYGON((-96.4 37.1,-96.4 37.2,-96.3 37.2,-96.3 37.1,-96.4 37.1))"
205,-96.3,37.1,"POLYGON((-96.3 37.1,-96.3 37.2,-96.2 37.2,-96.2 37.1,-96.3 37.1))"
1105,-96.2,37.1,"POLYGON((-96.2 37.1,-96.2 37.2,-96.1 37.2,-96.1 37.1,-96.2 37.1))"
200,-96.1,37.1,"POLYGON((-96.1 37.1,-96.1 37.2,-96.0 37.2,-96.0 37.1,-96.1 37.1))"
66,-96.0,37.1,"POLYGON((-96.0 37.1,-96.0 37.2,-95.9 37.2,-95.9 37.1,-96.0 37.1))"
20,-96.6,37.2,"POLYGON((-96.6 37.2,-96.6 37.3,-96.5 37.3,-96.5 37.2,-96.6 37.2))"
144,-96.5,37.2,"POLYGON((-96.5 37.2,-96.5 37.3,-96.4 37.3,-96.4 37.2,-96.5 37.2))"
161,-96.4,37.2,"POLYGON((-96.4 37.2,-96.4 37.3,-96.3 37.3,-96.3 37.2,-96.4 37.2))"
113,-96.3,37.2,"POLYGON((-96.3 37.2,-96.3 37.3,-96.2 37.3,-96.2 37.2,-96.3 37.2))"
146,-96.2,37.2,"POLYGON((-96.2 37.2,-96.2 37.3,-96.1 37.3,-96.1 37.2,-96.2 37.2))"
188,-96.1,37.2,"POLYGON((-96.1 37.2,-96.1 37.3,-96.0 37.3,-96.0 37.2,-96.1 37.2))"
81,-96.0,37.2,"POLYGON((-96.0 37.2,-96.0 37.3,-95.9 37.3,-95.9 37.2,-96.0 37.2))"
1,-96.6,37.3,"POLYGON((-96.6 37.3,-96.6 37.4,-96.5 37.4,-96.5 37.3,-96.6 37.3))"
1,-96.5,37.3,"POLYGON((-96.5 37.3,-96.5 37.4,-96.4 37.4,-96.4 37.3,-96.5 37.3))"
1,-96.4,37.3,"POLYGON((-96.4 37.3,-96.4 37.4,-96.3 37.4,-96.3 37.3,-96.4 37.3))"
