count,lon,lat,area
88,-98.5,37.7,"POLYGON((-98.5 37.7,-98.5 37.8,-98.4 37.8,-98.4 37.7,-98.5 37.7))"
121,-98.4,37.7,"POLYGON((-98.4 37.7,-98.4 37.8,-98.3 37.8,-98.3 37.7,-98.4 37.7))"
146,-98.3,37.7,"POLYGON((-98.3 37.7,-98.3 37.8,-98.2 37.8,-98.2 37.7,-98.3 37.7))"
132,-98.2,37.7,"POLYGON((-98.2 37.7,-98.2 37.8,-98.1 37.8,-98.1 37.7,-98.2 37.7))"
558,-98.1,37.7,"POLYGON((-98.1 37.7,-98.1 37.8,-98.0 37.8,-98.0 37.7,-98.1 37.7))"
175,-98.0,37.7,"POLYGON((-98.0 37.7,-98.0 37.8,-97.9 37.8,-97.9 37.7,-98.0 37.7))"
194,-97.9,37.7,"POLYGON((-97.9 37.7,-97.9 37.8,-97.8 37.8,-97.8 37.7,-97.9 37.7))"
449,-97.8,37.7,"POLYGON((-97.8 37.7,-97.8 37.8,-97.7 37.8,-97.7 37.7,-97.8 37.7))"
3,-97.7,37.7,"POLYGON((-97.7 37.7,-97.7 37.8,-97.6 37.8,-97.6 37.7,-97.7 37.7))"
444,-98.5,37.8,"POLYGON((-98.5 37.8,-98.5 37.9,-98.4 37.9,-98.4 37.8,-98.5 37.8))"
261,-98.4,37.8,"POLYGON((-98.4 37.8,-98.4 37.9,-98.3 37.9,-98.3 37.8,-98.4 37.8))"
199,-98.3,37.8,"POLYGON((-98.3 37.8,-98.3 37.9,-98.2 37.9,-98.2 37.8,-98.3 37.8))"
513,-98.2,37.8,"POLYGON((-98.2 37.8,-98.2 37.9,-98.1 37.9,-98.1 37.8,-98.2 37.8))"
227,-98.1,37.8,"POLYGON((-98.1 37.8,-98.1 37.9,-98.0 37.9,-98.0 37.8,-98.1 37.8))"
258,-98.0,37.8,"POLYGON((-98.0 37.8,-98.0 37.9,-97.9 37.9,-97.9 37.8,-98.0 37.8))"
260,-97.9,37.8,"POLYGON((-97.9 37.8,-97.9 37.9,-97.8 37.9,-97.8 37.8,-97.9 37.8))"
442,-97.8,37.8,"POLYGON((-97.8 37.8,-97.8 37.9,-97.7 37.9,-97.7 37.8,-97.8 37.8))"
1,-97.7,37.8,"POLYGON((-97.7 37.8,-97.7 37.9,-97.6 37.9,-97.6 37.8,-97.7 37.8))"
355,-98.5,37.9,"POLYGON((-98.5 37.9,-98.5 38.0,-98.4 38.0,-98.4 37.9,-98.5 37.9))"
323,-98.4,37.9,"POLYGON((-98.4 37.9,-98.4 38.0,-98.3 38.0,-98.3 37.9,-98.4 37.9))"
328,-98.3,37.9,"POLYGON((-98.3 37.9,-98.3 38.0,-98.2 38.0,-98.2 37.9,-98.3 37.9))"
256,-98.2,37.9,"POLYGON((-98.2 37.9,-98.2 38.0,-98.1 38.0,-98.1 37.9,-98.2 37.9))"
567,-98.1,37.9,"POLYGON((-98.1 37.9,-98.1 38.0,-98.0 38.0,-98.0 37.9,-98.1 37.9))"
462,-98.0,37.9,"POLYGON((-98.0 37.9,-98.0 38.0,-97.9 38.0,-97.9 37.9,-98.0 37.9))"
647,-97.9,37.9,"POLYGON((-97.9 37.9,-97.9 38.0,-97.8 38.0,-97.8 37.9,-97.9 37.9))"
778,-97.8,37.9,"POLYGON((-97.8 37.9,-97.8 38.0,-97.7 38.0,-97.7 37.9,-97.8 37.9))"
157,-98.5,38.0,"POLYGON((-98.5 38.0,-98.5 38.1,-98.4 38.1,-98.4 38.0,-98.5 38.0))"
251,-98.4,38.0,"POLYGON((-98.4 38.0,-98.4 38.1,-98.3 38.1,-98.3 38.0,-98.4 38.0))"
264,-98.3,38.0,"POLYGON((-98.3 38.0,-98.3 38.1,-98.2 38.1,-98.2 38.0,-98.3 38.0))"
277,-98.2,38.0,"POLYGON((-98.2 38.0,-98.2 38.1,-98.1 38.1,-98.1 38.0,-98.2 38.0))"
366,-98.1,38.0,"POLYGON((-98.1 38.0,-98.1 38.1,-98.0 38.1,-98.0 38.0,-98.1 38.0))"
17237,-98.0,38.0,"POLYGON((-98.0 38.0,-98.0 38.1,-97.9 38.1,-97.9 38.0,-98.0 38.0))"
3310,-97.9,38.0,"POLYGON((-97.9 38.0,-97.9 38.1,-97.8 38.1,-97.8 38.0,-97.9 38.0))"
521,-97.8,38.0,"POLYGON((-97.8 38.0,-97.8 38.1,-97.7 38.1,-97.7 38.0,-97.8 38.0))"
55,-98.5,38.1,"POLYGON((-98.5 38.1,-98.5 38.2,-98.4 38.2,-98.4 38.1,-98.5 38.1))"
125,-98.4,38.1,"POLYGON((-98.4 38.1,-98.4 38.2,-98.3 38.2,-98.3 38.1,-98.4 38.1))"
168,-98.3,38.1,"POLYGON((-98.3 38.1,-98.3 38.2,-98.2 38.2,-98.2 38.1,-98.3 38.1))"
182,-98.2,38.1,"POLYGON((-98.2 38.1,-98.2 38.2,-98.1 38.2,-98.1 38.1,-98.2 38.1))"
850,-98.1,38.1,"POLYGON((-98.1 38.1,-98.1 38.2,-98.0 38.2,-98.0 38.1,-98.1 38.1))"
1575,-98.0,38.1,"POLYGON((-98.0 38.1,-98.0 38.2,-97.9 38.2,-97.9 38.1,-98.0 38.1))"
894,-97.9,38.1,"POLYGON((-97.9 38.1,-97.9 38.2,-97.8 38.2,-97.8 38.1,-97.9 38.1))"
965,-97.8,38.1,"POLYGON((-97.8 38.1,-97.8 38.2,-97.7 38.2,-97.7 38.1,-97.8 38.1))"
