count,lon,lat,area
56,-99.6,38.3,"POLYGON((-99.6 38.3,-99.6 38.4,-99.5 38.4,-99.5 38.3,-99.6 38.3))"
95,-99.5,38.3,"POLYGON((-99.5 38.3,-99.5 38.4,-99.4 38.4,-99.4 38.3,-99.5 38.3))"
79,-99.4,38.3,"POLYGON((-99.4 38.3,-99.4 38.4,-99.3 38.4,-99.3 38.3,-99.4 38.3))"
87,-99.3,38.3,"POLYGON((-99.3 38.3,-99.3 38.4,-99.2 38.4,-99.2 38.3,-99.3 38.3))"
74,-99.2,38.3,"POLYGON((-99.2 38.3,-99.2 38.4,-99.1 38.4,-99.1 38.3,-99.2 38.3))"
65,-99.1,38.3,"POLYGON((-99.1 38.3,-99.1 38.4,-99.0 38.4,-99.0 38.3,-99.1 38.3))"
210,-99.6,38.4,"POLYGON((-99.6 38.4,-99.6 38.5,-99.5 38.5,-99.5 38.4,-99.6 38.4))"
193,-99.5,38.4,"POLYGON((-99.5 38.4,-99.5 38.5,-99.4 38.5,-99.4 38.4,-99.5 38.4))"
373,-99.4,38.4,"POLYGON((-99.4 38.4,-99.4 38.5,-99.3 38.5,-99.3 38.4,-99.4 38.4))"
187,-99.3,38.4,"POLYGON((-99.3 38.4,-99.3 38.5,-99.2 38.5,-99.2 38.4,-99.3 38.4))"
264,-99.2,38.4,"POLYGON((-99.2 38.4,-99.2 38.5,-99.1 38.5,-99.1 38.4,-99.2 38.4))"
135,-99.1,38.4,"POLYGON((-99.1 38.4,-99.1 38.5,-99.0 38.5,-99.0 38.4,-99.1 38.4))"
389,-99.6,38.5,"POLYGON((-99.6 38.5,-99.6 38.6,-99.5 38.6,-99.5 38.5,-99.6 38.5))"
125,-99.5,38.5,"POLYGON((-99.5 38.5,-99.5 38.6,-99.4 38.6,-99.4 38.5,-99.5 38.5))"
1070,-99.4,38.5,"POLYGON((-99.4 38.5,-99.4 38.6,-99.3 38.6,-99.3 38.5,-99.4 38.5))"
225,-99.3,38.5,"POLYGON((-99.3 38.5,-99.3 38.6,-99.2 38.6,-99.2 38.5,-99.3 38.5))"
308,-99.2,38.5,"POLYGON((-99.2 38.5,-99.2 38.6,-99.1 38.6,-99.1 38.5,-99.2 38.5))"
399,-99.1,38.5,"POLYGON((-99.1 38.5,-99.1 38.6,-99.0 38.6,-99.0 38.5,-99.1 38.5))"
111,-99.6,38.6,"POLYGON((-99.6 38.6,-99.6 38.7,-99.5 38.7,-99.5 38.6,-99.6 38.6))"
141,-99.5,38.6,"POLYGON((-99.5 38.6,-99.5 38.7,-99.4 38.7,-99.4 38.6,-99.5 38.6))"
271,-99.4,38.6,"POLYGON((-99.4 38.6,-99.4 38.7,-99.3 38.7,-99.3 38.6,-99.4 38.6))"
159,-99.3,38.6,"POLYGON((-99.3 38.6,-99.3 38.7,-99.2 38.7,-99.2 38.6,-99.3 38.6))"
179,-99.2,38.6,"POLYGON((-99.2 38.6,-99.2 38.7,-99.1 38.7,-99.1 38.6,-99.2 38.6))"
90,-99.1,38.6,"POLYGON((-99.1 38.6,-99.1 38.7,-99.0 38.7,-99.0 38.6,-99.1 38.6))"
