count,lon,lat,area
8,-82.9,38.2,"POLYGON((-82.9 38.2,-82.9 38.3,-82.8 38.3,-82.8 38.2,-82.9 38.2))"
329,-82.8,38.2,"POLYGON((-82.8 38.2,-82.8 38.3,-82.7 38.3,-82.7 38.2,-82.8 38.2))"
171,-82.7,38.2,"POLYGON((-82.7 38.2,-82.7 38.3,-82.6 38.3,-82.6 38.2,-82.7 38.2))"
257,-82.6,38.2,"POLYGON((-82.6 38.2,-82.6 38.3,-82.5 38.3,-82.5 38.2,-82.6 38.2))"
1,-83.0,38.3,"POLYGON((-83.0 38.3,-83.0 38.4,-82.9 38.4,-82.9 38.3,-83.0 38.3))"
80,-82.9,38.3,"POLYGON((-82.9 38.3,-82.9 38.4,-82.8 38.4,-82.8 38.3,-82.9 38.3))"
1838,-82.8,38.3,"POLYGON((-82.8 38.3,-82.8 38.4,-82.7 38.4,-82.7 38.3,-82.8 38.3))"
1977,-82.7,38.3,"POLYGON((-82.7 38.3,-82.7 38.4,-82.6 38.4,-82.6 38.3,-82.7 38.3))"
182,-82.6,38.3,"POLYGON((-82.6 38.3,-82.6 38.4,-82.5 38.4,-82.5 38.3,-82.6 38.3))"
22,-83.2,38.4,"POLYGON((-83.2 38.4,-83.2 38.5,-83.1 38.5,-83.1 38.4,-83.2 38.4))"
215,-83.1,38.4,"POLYGON((-83.1 38.4,-83.1 38.5,-83.0 38.5,-83.0 38.4,-83.1 38.4))"
441,-83.0,38.4,"POLYGON((-83.0 38.4,-83.0 38.5,-82.9 38.5,-82.9 38.4,-83.0 38.4))"
681,-82.9,38.4,"POLYGON((-82.9 38.4,-82.9 38.5,-82.8 38.5,-82.8 38.4,-82.9 38.4))"
3285,-82.8,38.4,"POLYGON((-82.8 38.4,-82.8 38.5,-82.7 38.5,-82.7 38.4,-82.8 38.4))"
15833,-82.7,38.4,"POLYGON((-82.7 38.4,-82.7 38.5,-82.6 38.5,-82.6 38.4,-82.7 38.4))"
382,-82.6,38.4,"POLYGON((-82.6 38.4,-82.6 38.5,-82.5 38.5,-82.5 38.4,-82.6 38.4))"
85,-83.2,38.5,"POLYGON((-83.2 38.5,-83.2 38.6,-83.1 38.6,-83.1 38.5,-83.2 38.5))"
300,-83.1,38.5,"POLYGON((-83.1 38.5,-83.1 38.6,-83.0 38.6,-83.0 38.5,-83.1 38.5))"
665,-83.0,38.5,"POLYGON((-83.0 38.5,-83.0 38.6,-82.9 38.6,-82.9 38.5,-83.0 38.5))"
2361,-82.9,38.5,"POLYGON((-82.9 38.5,-82.9 38.6,-82.8 38.6,-82.8 38.5,-82.9 38.5))"
7298,-82.8,38.5,"POLYGON((-82.8 38.5,-82.8 38.6,-82.7 38.6,-82.7 38.5,-82.8 38.5))"
1034,-82.7,38.5,"POLYGON((-82.7 38.5,-82.7 38.6,-82.6 38.6,-82.6 38.5,-82.7 38.5))"
251,-83.1,38.6,"POLYGON((-83.1 38.6,-83.1 38.7,-83.0 38.7,-83.0 38.6,-83.1 38.6))"
897,-83.0,38.6,"POLYGON((-83.0 38.6,-83.0 38.7,-82.9 38.7,-82.9 38.6,-83.0 38.6))"
809,-82.9,38.6,"POLYGON((-82.9 38.6,-82.9 38.7,-82.8 38.7,-82.8 38.6,-82.9 38.6))"
289,-83.1,38.7,"POLYGON((-83.1 38.7,-83.1 38.8,-83.0 38.8,-83.0 38.7,-83.1 38.7))"
1795,-83.0,38.7,"POLYGON((-83.0 38.7,-83.0 38.8,-82.9 38.8,-82.9 38.7,-83.0 38.7))"
146,-82.9,38.7,"POLYGON((-82.9 38.7,-82.9 38.8,-82.8 38.8,-82.8 38.7,-82.9 38.7))"
