count,lon,lat,area
106,-87.8,37.6,"POLYGON((-87.8 37.6,-87.8 37.7,-87.7 37.7,-87.7 37.6,-87.8 37.6))"
482,-87.7,37.6,"POLYGON((-87.7 37.6,-87.7 37.7,-87.6 37.7,-87.6 37.6,-87.7 37.6))"
619,-87.6,37.6,"POLYGON((-87.6 37.6,-87.6 37.7,-87.5 37.7,-87.5 37.6,-87.6 37.6))"
113,-87.5,37.6,"POLYGON((-87.5 37.6,-87.5 37.7,-87.4 37.7,-87.4 37.6,-87.5 37.6))"
55,-87.9,37.7,"POLYGON((-87.9 37.7,-87.9 37.8,-87.8 37.8,-87.8 37.7,-87.9 37.7))"
766,-87.8,37.7,"POLYGON((-87.8 37.7,-87.8 37.8,-87.7 37.8,-87.7 37.7,-87.8 37.7))"
1259,-87.7,37.7,"POLYGON((-87.7 37.7,-87.7 37.8,-87.6 37.8,-87.6 37.7,-87.7 37.7))"
978,-87.6,37.7,"POLYGON((-87.6 37.7,-87.6 37.8,-87.5 37.8,-87.5 37.7,-87.6 37.7))"
830,-87.5,37.7,"POLYGON((-87.5 37.7,-87.5 37.8,-87.4 37.8,-87.4 37.7,-87.5 37.7))"
266,-87.4,37.7,"POLYGON((-87.4 37.7,-87.4 37.8,-87.3 37.8,-87.3 37.7,-87.4 37.7))"
19,-87.3,37.7,"POLYGON((-87.3 37.7,-87.3 37.8,-87.2 37.8,-87.2 37.7,-87.3 37.7))"
5,-87.9,37.8,"POLYGON((-87.9 37.8,-87.9 37.9,-87.8 37.9,-87.8 37.8,-87.9 37.8))"
251,-87.8,37.8,"POLYGON((-87.8 37.8,-87.8 37.9,-87.7 37.9,-87.7 37.8,-87.8 37.8))"
1767,-87.7,37.8,"POLYGON((-87.7 37.8,-87.7 37.9,-87.6 37.9,-87.6 37.8,-87.7 37.8))"
14358,-87.6,37.8,"POLYGON((-87.6 37.8,-87.6 37.9,-87.5 37.9,-87.5 37.8,-87.6 37.8))"
1821,-87.5,37.8,"POLYGON((-87.5 37.8,-87.5 37.9,-87.4 37.9,-87.4 37.8,-87.5 37.8))"
470,-87.4,37.8,"POLYGON((-87.4 37.8,-87.4 37.9,-87.3 37.9,-87.3 37.8,-87.4 37.8))"
24,-87.6,37.9,"POLYGON((-87.6 37.9,-87.6 38.0,-87.5 38.0,-87.5 37.9,-87.6 37.9))"
3,-87.5,37.9,"POLYGON((-87.5 37.9,-87.5 38.0,-87.4 38.0,-87.4 37.9,-87.5 37.9))"
