count,lon,lat,area
676,-85.5,38.2,"POLYGON((-85.5 38.2,-85.5 38.3,-85.4 38.3,-85.4 38.2,-85.5 38.2))"
637,-85.7,38.3,"POLYGON((-85.7 38.3,-85.7 38.4,-85.6 38.4,-85.6 38.3,-85.7 38.3))"
4443,-85.6,38.3,"POLYGON((-85.6 38.3,-85.6 38.4,-85.5 38.4,-85.5 38.3,-85.6 38.3))"
7673,-85.5,38.3,"POLYGON((-85.5 38.3,-85.5 38.4,-85.4 38.4,-85.4 38.3,-85.5 38.3))"
3629,-85.4,38.3,"POLYGON((-85.4 38.3,-85.4 38.4,-85.3 38.4,-85.3 38.3,-85.4 38.3))"
15,-85.3,38.3,"POLYGON((-85.3 38.3,-85.3 38.4,-85.2 38.4,-85.2 38.3,-85.3 38.3))"
570,-85.7,38.4,"POLYGON((-85.7 38.4,-85.7 38.5,-85.6 38.5,-85.6 38.4,-85.7 38.4))"
1531,-85.6,38.4,"POLYGON((-85.6 38.4,-85.6 38.5,-85.5 38.5,-85.5 38.4,-85.6 38.4))"
1524,-85.5,38.4,"POLYGON((-85.5 38.4,-85.5 38.5,-85.4 38.5,-85.4 38.4,-85.5 38.4))"
3971,-85.4,38.4,"POLYGON((-85.4 38.4,-85.4 38.5,-85.3 38.5,-85.3 38.4,-85.4 38.4))"
113,-85.5,38.5,"POLYGON((-85.5 38.5,-85.5 38.6,-85.4 38.6,-85.4 38.5,-85.5 38.5))"
59,-85.4,38.5,"POLYGON((-85.4 38.5,-85.4 38.6,-85.3 38.6,-85.3 38.5,-85.4 38.5))"
