count,lon,lat,area
72,-90.1,29.1,"POLYGON((-90.1 29.1,-90.1 29.2,-90.0 29.2,-90.0 29.1,-90.1 29.1))"
5,-90.1,29.2,"POLYGON((-90.1 29.2,-90.1 29.3,-90.0 29.3,-90.0 29.2,-90.1 29.2))"
52,-90.0,29.2,"POLYGON((-90.0 29.2,-90.0 29.3,-89.9 29.3,-89.9 29.2,-90.0 29.2))"
800,-90.2,29.6,"POLYGON((-90.2 29.6,-90.2 29.7,-90.1 29.7,-90.1 29.6,-90.2 29.6))"
255,-90.1,29.6,"POLYGON((-90.1 29.6,-90.1 29.7,-90.0 29.7,-90.0 29.6,-90.1 29.6))"
712,-90.2,29.7,"POLYGON((-90.2 29.7,-90.2 29.8,-90.1 29.8,-90.1 29.7,-90.2 29.7))"
421,-90.1,29.7,"POLYGON((-90.1 29.7,-90.1 29.8,-90.0 29.8,-90.0 29.7,-90.1 29.7))"
709,-90.3,29.8,"POLYGON((-90.3 29.8,-90.3 29.9,-90.2 29.9,-90.2 29.8,-90.3 29.8))"
19430,-90.2,29.8,"POLYGON((-90.2 29.8,-90.2 29.9,-90.1 29.9,-90.1 29.8,-90.2 29.8))"
29302,-90.1,29.8,"POLYGON((-90.1 29.8,-90.1 29.9,-90.0 29.9,-90.0 29.8,-90.1 29.8))"
27866,-90.3,29.9,"POLYGON((-90.3 29.9,-90.3 30.0,-90.2 30.0,-90.2 29.9,-90.3 29.9))"
38936,-90.2,29.9,"POLYGON((-90.2 29.9,-90.2 30.0,-90.1 30.0,-90.1 29.9,-90.2 29.9))"
12392,-90.1,29.9,"POLYGON((-90.1 29.9,-90.1 30.0,-90.0 30.0,-90.0 29.9,-90.1 29.9))"
23674,-90.3,30.0,"POLYGON((-90.3 30.0,-90.3 30.1,-90.2 30.1,-90.2 30.0,-90.3 30.0))"
18464,-90.2,30.0,"POLYGON((-90.2 30.0,-90.2 30.1,-90.1 30.1,-90.1 30.0,-90.2 30.0))"
