count,lon,lat,area
1735,-92.1,30.0,"POLYGON((-92.1 30.0,-92.1 30.1,-92.0 30.1,-92.0 30.0,-92.1 30.0))"
3696,-92.0,30.0,"POLYGON((-92.0 30.0,-92.0 30.1,-91.9 30.1,-91.9 30.0,-92.0 30.0))"
430,-92.3,30.1,"POLYGON((-92.3 30.1,-92.3 30.2,-92.2 30.2,-92.2 30.1,-92.3 30.1))"
5114,-92.2,30.1,"POLYGON((-92.2 30.1,-92.2 30.2,-92.1 30.2,-92.1 30.1,-92.2 30.1))"
32476,-92.1,30.1,"POLYGON((-92.1 30.1,-92.1 30.2,-92.0 30.2,-92.0 30.1,-92.1 30.1))"
9787,-92.0,30.1,"POLYGON((-92.0 30.1,-92.0 30.2,-91.9 30.2,-91.9 30.1,-92.0 30.1))"
195,-92.3,30.2,"POLYGON((-92.3 30.2,-92.3 30.3,-92.2 30.3,-92.2 30.2,-92.3 30.2))"
5464,-92.2,30.2,"POLYGON((-92.2 30.2,-92.2 30.3,-92.1 30.3,-92.1 30.2,-92.2 30.2))"
30738,-92.1,30.2,"POLYGON((-92.1 30.2,-92.1 30.3,-92.0 30.3,-92.0 30.2,-92.1 30.2))"
5192,-92.0,30.2,"POLYGON((-92.0 30.2,-92.0 30.3,-91.9 30.3,-91.9 30.2,-92.0 30.2))"
557,-92.2,30.3,"POLYGON((-92.2 30.3,-92.2 30.4,-92.1 30.4,-92.1 30.3,-92.2 30.3))"
8095,-92.1,30.3,"POLYGON((-92.1 30.3,-92.1 30.4,-92.0 30.4,-92.0 30.3,-92.1 30.3))"
986,-92.0,30.3,"POLYGON((-92.0 30.3,-92.0 30.4,-91.9 30.4,-91.9 30.3,-92.0 30.3))"
