count,lon,lat,area
17,-91.4,29.7,"POLYGON((-91.4 29.7,-91.4 29.8,-91.3 29.8,-91.3 29.7,-91.4 29.7))"
54,-91.3,29.7,"POLYGON((-91.3 29.7,-91.3 29.8,-91.2 29.8,-91.2 29.7,-91.3 29.7))"
765,-91.2,29.7,"POLYGON((-91.2 29.7,-91.2 29.8,-91.1 29.8,-91.1 29.7,-91.2 29.7))"
13,-91.1,29.7,"POLYGON((-91.1 29.7,-91.1 29.8,-91.0 29.8,-91.0 29.7,-91.1 29.7))"
94,-91.4,29.8,"POLYGON((-91.4 29.8,-91.4 29.9,-91.3 29.9,-91.3 29.8,-91.4 29.8))"
218,-91.3,29.8,"POLYGON((-91.3 29.8,-91.3 29.9,-91.2 29.9,-91.2 29.8,-91.3 29.8))"
211,-91.2,29.8,"POLYGON((-91.2 29.8,-91.2 29.9,-91.1 29.9,-91.1 29.8,-91.2 29.8))"
6,-91.1,29.8,"POLYGON((-91.1 29.8,-91.1 29.9,-91.0 29.9,-91.0 29.8,-91.1 29.8))"
1,-91.5,29.9,"POLYGON((-91.5 29.9,-91.5 30.0,-91.4 30.0,-91.4 29.9,-91.5 29.9))"
118,-91.4,29.9,"POLYGON((-91.4 29.9,-91.4 30.0,-91.3 30.0,-91.3 29.9,-91.4 29.9))"
215,-91.3,29.9,"POLYGON((-91.3 29.9,-91.3 30.0,-91.2 30.0,-91.2 29.9,-91.3 29.9))"
881,-92.0,30.0,"POLYGON((-92.0 30.0,-92.0 30.1,-91.9 30.1,-91.9 30.0,-92.0 30.0))"
1364,-91.9,30.0,"POLYGON((-91.9 30.0,-91.9 30.1,-91.8 30.1,-91.8 30.0,-91.9 30.0))"
83,-91.8,30.0,"POLYGON((-91.8 30.0,-91.8 30.1,-91.7 30.1,-91.7 30.0,-91.8 30.0))"
30,-91.7,30.0,"POLYGON((-91.7 30.0,-91.7 30.1,-91.6 30.1,-91.6 30.0,-91.7 30.0))"
144,-91.6,30.0,"POLYGON((-91.6 30.0,-91.6 30.1,-91.5 30.1,-91.5 30.0,-91.6 30.0))"
45,-91.5,30.0,"POLYGON((-91.5 30.0,-91.5 30.1,-91.4 30.1,-91.4 30.0,-91.5 30.0))"
18,-91.4,30.0,"POLYGON((-91.4 30.0,-91.4 30.1,-91.3 30.1,-91.3 30.0,-91.4 30.0))"
499,-92.0,30.1,"POLYGON((-92.0 30.1,-92.0 30.2,-91.9 30.2,-91.9 30.1,-92.0 30.1))"
6265,-91.9,30.1,"POLYGON((-91.9 30.1,-91.9 30.2,-91.8 30.2,-91.8 30.1,-91.9 30.1))"
1551,-91.8,30.1,"POLYGON((-91.8 30.1,-91.8 30.2,-91.7 30.2,-91.7 30.1,-91.8 30.1))"
433,-91.7,30.1,"POLYGON((-91.7 30.1,-91.7 30.2,-91.6 30.2,-91.6 30.1,-91.7 30.1))"
317,-91.6,30.1,"POLYGON((-91.6 30.1,-91.6 30.2,-91.5 30.2,-91.5 30.1,-91.6 30.1))"
64,-91.5,30.1,"POLYGON((-91.5 30.1,-91.5 30.2,-91.4 30.2,-91.4 30.1,-91.5 30.1))"
3,-91.4,30.1,"POLYGON((-91.4 30.1,-91.4 30.2,-91.3 30.2,-91.3 30.1,-91.4 30.1))"
3705,-92.0,30.2,"POLYGON((-92.0 30.2,-92.0 30.3,-91.9 30.3,-91.9 30.2,-92.0 30.2))"
7710,-91.9,30.2,"POLYGON((-91.9 30.2,-91.9 30.3,-91.8 30.3,-91.8 30.2,-91.9 30.2))"
1244,-91.8,30.2,"POLYGON((-91.8 30.2,-91.8 30.3,-91.7 30.3,-91.7 30.2,-91.8 30.2))"
764,-91.7,30.2,"POLYGON((-91.7 30.2,-91.7 30.3,-91.6 30.3,-91.6 30.2,-91.7 30.2))"
119,-91.6,30.2,"POLYGON((-91.6 30.2,-91.6 30.3,-91.5 30.3,-91.5 30.2,-91.6 30.2))"
4,-91.5,30.2,"POLYGON((-91.5 30.2,-91.5 30.3,-91.4 30.3,-91.4 30.2,-91.5 30.2))"
2852,-92.0,30.3,"POLYGON((-92.0 30.3,-92.0 30.4,-91.9 30.4,-91.9 30.3,-92.0 30.3))"
6269,-91.9,30.3,"POLYGON((-91.9 30.3,-91.9 30.4,-91.8 30.4,-91.8 30.3,-91.9 30.3))"
867,-91.8,30.3,"POLYGON((-91.8 30.3,-91.8 30.4,-91.7 30.4,-91.7 30.3,-91.8 30.3))"
458,-91.7,30.3,"POLYGON((-91.7 30.3,-91.7 30.4,-91.6 30.4,-91.6 30.3,-91.7 30.3))"
147,-92.0,30.4,"POLYGON((-92.0 30.4,-92.0 30.5,-91.9 30.5,-91.9 30.4,-92.0 30.4))"
330,-91.9,30.4,"POLYGON((-91.9 30.4,-91.9 30.5,-91.8 30.5,-91.8 30.4,-91.9 30.4))"
12,-91.8,30.4,"POLYGON((-91.8 30.4,-91.8 30.5,-91.7 30.5,-91.7 30.4,-91.8 30.4))"
49,-91.7,30.4,"POLYGON((-91.7 30.4,-91.7 30.5,-91.6 30.5,-91.6 30.4,-91.7 30.4))"
